node,x,y
1,0.5,0.0
2,0.0,0.0
3,-0.5,-4.99999987e-05
4,-0.5,-0.5
5,0.5,-0.5
6,0.5,0.5
7,-0.5,0.5
8,-0.5,4.99999987e-05
9,0.495049506,0.0
10,0.490099013,0.0
11,0.485148519,0.0
12,0.480198026,0.0
13,0.475247532,0.0
14,0.470297039,0.0
15,0.465346545,0.0
16,0.460396051,0.0
17,0.455445558,0.0
18,0.450495064,0.0
19,0.445544541,0.0
20,0.440594047,0.0
21,0.435643554,0.0
22,0.43069306,0.0
23,0.425742567,0.0
24,0.420792073,0.0
25,0.415841579,0.0
26,0.410891086,0.0
27,0.405940592,0.0
28,0.400990099,0.0
29,0.396039605,0.0
30,0.391089112,0.0
31,0.386138618,0.0
32,0.381188124,0.0
33,0.376237631,0.0
34,0.371287137,0.0
35,0.366336644,0.0
36,0.36138615,0.0
37,0.356435657,0.0
38,0.351485163,0.0
39,0.34653464,0.0
40,0.341584146,0.0
41,0.336633652,0.0
42,0.331683159,0.0
43,0.326732665,0.0
44,0.321782172,0.0
45,0.316831678,0.0
46,0.311881185,0.0
47,0.306930691,0.0
48,0.301980197,0.0
49,0.297029704,0.0
50,0.29207921,0.0
51,0.287128717,0.0
52,0.282178223,0.0
53,0.27722773,0.0
54,0.272277236,0.0
55,0.267326742,0.0
56,0.262376249,0.0
57,0.257425755,0.0
58,0.252475262,0.0
59,0.247524753,0.0
60,0.24257426,0.0
61,0.237623766,0.0
62,0.232673272,0.0
63,0.227722779,0.0
64,0.22277227,0.0
65,0.217821777,0.0
66,0.212871283,0.0
67,0.20792079,0.0
68,0.202970296,0.0
69,0.198019803,0.0
70,0.193069309,0.0
71,0.188118815,0.0
72,0.183168322,0.0
73,0.178217828,0.0
74,0.17326732,0.0
75,0.168316826,0.0
76,0.163366333,0.0
77,0.158415839,0.0
78,0.153465346,0.0
79,0.148514852,0.0
80,0.143564358,0.0
81,0.138613865,0.0
82,0.133663371,0.0
83,0.128712878,0.0
84,0.123762377,0.0
85,0.118811883,0.0
86,0.113861389,0.0
87,0.108910888,0.0
88,0.103960395,0.0
89,0.0990099013,0.0
90,0.0940594077,0.0
91,0.0891089141,0.0
92,0.0841584131,0.0
93,0.0792079195,0.0
94,0.074257426,0.0
95,0.0693069324,0.0
96,0.0643564388,0.0
97,0.0594059415,0.0
98,0.0544554442,0.0
99,0.0495049506,0.0
100,0.0445544571,0.0
101,0.0396039598,0.0
102,0.0346534662,0.0
103,0.0297029708,0.0
104,0.0247524753,0.0
105,0.0198019799,0.0
106,0.0148514854,0.0
107,0.00990098994,0.0
108,0.00495049497,0.0
109,-0.00540865399,-5.40865358e-07
110,-0.014423077,-1.44230773e-06
111,-0.0384615399,-3.84615396e-06
112,-0.0769230798,-7.69230792e-06
113,-0.115384616,-1.15384619e-05
114,-0.15384616,-1.53846158e-05
115,-0.192307696,-1.92307689e-05
116,-0.230769232,-2.30769238e-05
117,-0.269230783,-2.69230768e-05
118,-0.307692319,-3.07692317e-05
119,-0.346153855,-3.46153829e-05
120,-0.384615391,-3.84615378e-05
121,-0.423076928,-4.23076926e-05
122,-0.461538464,-4.61538475e-05
123,-0.5,-0.0417125002
124,-0.5,-0.0833749995
125,-0.5,-0.125037506
126,-0.5,-0.166700006
127,-0.5,-0.208362505
128,-0.5,-0.250025004
129,-0.5,-0.291687489
130,-0.5,-0.333350003
131,-0.5,-0.375012487
132,-0.5,-0.416675001
133,-0.5,-0.458337486
134,-0.460000008,-0.5
135,-0.419999987,-0.5
136,-0.379999995,-0.5
137,-0.340000004,-0.5
138,-0.300000012,-0.5
139,-0.25999999,-0.5
140,-0.219999999,-0.5
141,-0.180000007,-0.5
142,-0.140000001,-0.5
143,-0.100000001,-0.5
144,-0.0599999987,-0.5
145,-0.0199999996,-0.5
146,0.0199999996,-0.5
147,0.0599999987,-0.5
148,0.100000001,-0.5
149,0.140000001,-0.5
150,0.180000007,-0.5
151,0.219999999,-0.5
152,0.25999999,-0.5
153,0.300000012,-0.5
154,0.340000004,-0.5
155,0.379999995,-0.5
156,0.419999987,-0.5
157,0.460000008,-0.5
158,0.5,-0.461538464
159,0.5,-0.423076928
160,0.5,-0.384615391
161,0.5,-0.346153855
162,0.5,-0.307692319
163,0.5,-0.269230783
164,0.5,-0.230769232
165,0.5,-0.192307696
166,0.5,-0.15384616
167,0.5,-0.115384616
168,0.5,-0.0769230798
169,0.5,-0.0384615399
170,0.5,-0.014423077
171,0.5,-0.00540865399
172,0.5,0.00540865399
173,0.5,0.014423077
174,0.5,0.0384615399
175,0.5,0.0769230798
176,0.5,0.115384616
177,0.5,0.15384616
178,0.5,0.192307696
179,0.5,0.230769232
180,0.5,0.269230783
181,0.5,0.307692319
182,0.5,0.346153855
183,0.5,0.384615391
184,0.5,0.423076928
185,0.5,0.461538464
186,0.460000008,0.5
187,0.419999987,0.5
188,0.379999995,0.5
189,0.340000004,0.5
190,0.300000012,0.5
191,0.25999999,0.5
192,0.219999999,0.5
193,0.180000007,0.5
194,0.140000001,0.5
195,0.100000001,0.5
196,0.0599999987,0.5
197,0.0199999996,0.5
198,-0.0199999996,0.5
199,-0.0599999987,0.5
200,-0.100000001,0.5
201,-0.140000001,0.5
202,-0.180000007,0.5
203,-0.219999999,0.5
204,-0.25999999,0.5
205,-0.300000012,0.5
206,-0.340000004,0.5
207,-0.379999995,0.5
208,-0.419999987,0.5
209,-0.460000008,0.5
210,-0.5,0.458337486
211,-0.5,0.416675001
212,-0.5,0.375012487
213,-0.5,0.333350003
214,-0.5,0.291687489
215,-0.5,0.250025004
216,-0.5,0.208362505
217,-0.5,0.166700006
218,-0.5,0.125037506
219,-0.5,0.0833749995
220,-0.5,0.0417125002
221,-0.461538464,4.61538475e-05
222,-0.423076928,4.23076926e-05
223,-0.384615391,3.84615378e-05
224,-0.346153855,3.46153829e-05
225,-0.307692319,3.07692317e-05
226,-0.269230783,2.69230768e-05
227,-0.230769232,2.30769238e-05
228,-0.192307696,1.92307689e-05
