source_table,event_index,visualization_label,physical_element,source_storage_ip,previous_global_frame,current_global_frame,previous_kstep,previous_kinc,current_kstep,current_kinc,previous_phase_after_u1,current_phase_after_u1,phase_drop,prior_category,diagnostic_category
sdv15_unresolved_event_mapping,32,84130,16426,3,195,196,     2,   136,     2,   138,0.9749787633012438,0.9761366768185042,-0.001157913517260467,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,34,84131,16427,4,196,197,     2,   138,     2,   139,1.0019779894890892,1.0021572423147957,-0.0001792528257065218,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,35,84136,16432,3,185,186,     2,   122,     2,   123,0.9958471658083315,0.9970696947785559,-0.0012225289702243458,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,36,84137,16433,3,186,187,     2,   123,     2,   125,0.9950237246201453,0.9975690588576563,-0.002545334237511021,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,38,84134,16430,3,183,184,     2,   119,     2,   121,0.9954252228797219,0.9973604170875245,-0.0019351942078026374,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,39,84131,16427,3,188,189,     2,   126,     2,   128,0.9983766781525826,0.9989140200243002,-0.0005373418717176115,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,40,84138,16434,4,186,187,     2,   123,     2,   125,0.9932510423428742,0.9971281342443679,-0.0038770919014936567,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,41,84137,16433,4,186,187,     2,   123,     2,   125,0.9963999768235027,0.9978568359928588,-0.0014568591693561173,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,42,84130,16426,3,196,197,     2,   138,     2,   139,0.9761366768185042,0.9765740841613002,-0.00043740734279595905,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,43,84130,16426,3,186,187,     2,   123,     2,   125,0.96079676103323,0.9640105647521213,-0.0032138037188913504,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,44,84136,16432,3,186,187,     2,   123,     2,   125,0.9970696947785559,0.9979933903782726,-0.0009236955997167229,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,45,84137,16433,4,185,186,     2,   122,     2,   123,0.9945256694503959,0.9963999768235027,-0.0018743073731067872,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,47,84131,16427,4,198,199,     2,   140,     2,   142,1.0022841667210731,1.0023409063268596,-5.673960578644888e-05,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,48,84140,16436,3,188,189,     2,   126,     2,   128,0.9909098263232928,0.9966594065643202,-0.005749580241027341,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,49,84138,16434,3,186,187,     2,   123,     2,   125,0.9897842364990495,0.9962112829337584,-0.006427046434708927,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,50,84140,16436,4,188,189,     2,   126,     2,   128,0.9939838104285723,0.9974391265398226,-0.003455316111250273,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,51,84677,16973,1,192,193,     2,   132,     2,   133,0.9999112474766682,1.0003717533433552,-0.0004605058666869999,insufficient_output_evidence,sdv15_completed_increment_monotone
