step,frame,u2_mm,rf2_kN
Step-1,0,0.0,-0.0
Step-1,1,4.999999873689376e-05,0.006722011137753725
Step-1,2,9.999999747378752e-05,0.01344391144812107
Step-1,3,0.0001500000071246177,0.020165547728538513
Step-1,4,0.00019999999494757503,0.026886768639087677
Step-1,5,0.0002500000118743628,0.033607419580221176
Step-1,6,0.0003000000142492354,0.04032735526561737
Step-1,7,0.0003499999875202775,0.047046415507793427
Step-1,8,0.00039999998989515007,0.053764455020427704
Step-1,9,0.00044999999227002263,0.06048131734132767
Step-1,10,0.0005000000237487257,0.06719684600830078
Step-1,11,0.0005499999970197678,0.0739108994603157
Step-1,12,0.0006000000284984708,0.0806233212351799
Step-1,13,0.0006500000017695129,0.08733396232128143
Step-1,14,0.000699999975040555,0.09404265880584717
Step-1,15,0.000750000006519258,0.10074926912784576
Step-1,16,0.0007999999797903001,0.10745363682508469
Step-1,17,0.0008500000112690032,0.114155612885952
Step-1,18,0.0008999999845400453,0.12085504084825516
Step-1,19,0.0009500000160187483,0.12755177915096283
Step-1,20,0.0010000000474974513,0.13424564898014069
Step-1,21,0.0010499999625608325,0.14093652367591858
Step-1,22,0.0010999999940395355,0.14762423932552338
Step-1,23,0.0011500000255182385,0.15430864691734314
Step-1,24,0.0012000000569969416,0.16098959743976593
Step-1,25,0.0012499999720603228,0.16766692698001862
Step-1,26,0.0013000000035390258,0.17434048652648926
Step-1,27,0.0013500000350177288,0.18101012706756592
Step-1,28,0.00139999995008111,0.18767568469047546
Step-1,29,0.001449999981559813,0.19433702528476715
Step-1,30,0.001500000013038516,0.20099397003650665
Step-1,31,0.001550000044517219,0.20764639973640442
Step-1,32,0.0015999999595806003,0.21429412066936493
Step-1,33,0.0016499999910593033,0.22093699872493744
Step-1,34,0.0017000000225380063,0.22757488489151
Step-1,35,0.0017500000540167093,0.2342076301574707
Step-1,36,0.0017999999690800905,0.2408350557088852
Step-1,37,0.0018500000005587935,0.24745701253414154
Step-1,38,0.0019000000320374966,0.2540733516216278
Step-1,39,0.0019499999471008778,0.26068392395973206
Step-1,40,0.0020000000949949026,0.26728859543800354
Step-1,41,0.002050000010058284,0.27388715744018555
Step-1,42,0.002099999925121665,0.28047946095466614
Step-1,43,0.00215000007301569,0.28706538677215576
Step-1,44,0.002199999988079071,0.2936447560787201
Step-1,45,0.0022499999031424522,0.3002174198627472
Step-1,46,0.002300000051036477,0.30678319931030273
Step-1,47,0.0023499999660998583,0.31334197521209717
Step-1,48,0.002400000113993883,0.31989356875419617
Step-1,49,0.0024500000290572643,0.3264378011226654
Step-1,50,0.0024999999441206455,0.33297452330589294
Step-1,51,0.0025500000920146704,0.33950358629226685
Step-1,52,0.0026000000070780516,0.3460248112678528
Step-1,53,0.0026499999221414328,0.3525380790233612
Step-1,54,0.0027000000700354576,0.3590431809425354
Step-1,55,0.002749999985098839,0.3655399680137634
Step-1,56,0.00279999990016222,0.37202829122543335
Step-1,57,0.002850000048056245,0.37850797176361084
Step-1,58,0.002899999963119626,0.3849788308143616
Step-1,59,0.002950000111013651,0.391440749168396
Step-1,60,0.003000000026077032,0.397893488407135
Step-1,61,0.0030499999411404133,0.40433695912361145
Step-1,62,0.003100000089034438,0.4107709228992462
Step-1,63,0.0031500000040978193,0.41719526052474976
Step-1,64,0.0031999999191612005,0.42360976338386536
Step-1,65,0.0032500000670552254,0.4300142824649811
Step-1,66,0.0032999999821186066,0.4364086389541626
Step-1,67,0.0033499998971819878,0.4427926242351532
Step-1,68,0.0034000000450760126,0.44916608929634094
Step-1,69,0.003449999960139394,0.4555288851261139
Step-1,70,0.0035000001080334187,0.46188074350357056
Step-1,71,0.0035500000230968,0.4682215452194214
Step-1,72,0.003599999938160181,0.47455108165740967
Step-1,73,0.003650000086054206,0.4808691740036011
Step-1,74,0.003700000001117587,0.4871756136417389
Step-1,75,0.0037499999161809683,0.4934702217578888
Step-1,76,0.003800000064074993,0.49975278973579407
Step-1,77,0.0038499999791383743,0.506023108959198
Step-1,78,0.0038999998942017555,0.5122809410095215
Step-1,79,0.003949999809265137,0.5185261368751526
Step-1,80,0.004000000189989805,0.5247584581375122
Step-1,81,0.004050000105053186,0.5309776663780212
Step-1,82,0.004100000020116568,0.5371835231781006
Step-1,83,0.004149999935179949,0.5433757901191711
Step-1,84,0.00419999985024333,0.5495542883872986
Step-1,85,0.0042500002309679985,0.555718719959259
Step-1,86,0.00430000014603138,0.5618688464164734
Step-1,87,0.004350000061094761,0.5680043697357178
Step-1,88,0.004399999976158142,0.5741249918937683
Step-1,89,0.004449999891221523,0.5802304744720459
Step-1,90,0.0044999998062849045,0.5863205194473267
Step-1,91,0.004550000187009573,0.5923947691917419
Step-1,92,0.004600000102072954,0.5984529256820679
Step-1,93,0.004650000017136335,0.6044946312904358
Step-1,94,0.004699999932199717,0.6105194091796875
Step-1,95,0.004749999847263098,0.6165269613265991
Step-1,96,0.004800000227987766,0.6225168704986572
Step-1,97,0.0048500001430511475,0.6284886002540588
Step-1,98,0.004900000058114529,0.634441614151001
Step-1,99,0.00494999997317791,0.6403754949569702
Step-1,100,0.004999999888241291,0.6462895274162292
Step-2,0,0.004999999888241291,0.6462895274162292
Step-2,1,0.0050200000405311584,0.6486494541168213
Step-2,2,0.005040000192821026,0.6510060429573059
Step-2,3,0.005059999879449606,0.6533592343330383
Step-2,4,0.00506999995559454,0.6545345783233643
Step-2,5,0.005090000107884407,0.656882643699646
Step-2,6,0.005109999794512987,0.659227192401886
Step-2,7,0.005119999870657921,0.6603981256484985
Step-2,8,0.005140000022947788,0.6627373695373535
Step-2,9,0.005160000175237656,0.6650729179382324
Step-2,10,0.005169999785721302,0.6662392616271973
Step-2,11,0.005189999938011169,0.6685692071914673
Step-2,12,0.005210000090301037,0.6708953380584717
Step-2,13,0.005229999776929617,0.6732175946235657
Step-2,14,0.005239999853074551,0.6743772029876709
Step-2,15,0.005260000005364418,0.6766934394836426
Step-2,16,0.005280000157654285,0.67900550365448
Step-2,17,0.005289999768137932,0.6801599860191345
Step-2,18,0.005309999920427799,0.6824657917022705
Step-2,19,0.005330000072717667,0.6847671866416931
Step-2,20,0.0053400001488626,0.6859162449836731
Step-2,21,0.00535999983549118,0.6882109045982361
Step-2,22,0.005379999987781048,0.6905009150505066
Step-2,23,0.005400000140070915,0.6927860975265503
Step-2,24,0.005410000216215849,0.6939268708229065
Step-2,25,0.005429999902844429,0.6962046027183533
Step-2,26,0.005450000055134296,0.6984771490097046
Step-2,27,0.00546000013127923,0.6996114253997803
Step-2,28,0.00547999981790781,0.7018758058547974
Step-2,29,0.005499999970197678,0.7041345238685608
Step-2,30,0.005510000046342611,0.7052616477012634
Step-2,31,0.005530000198632479,0.7075114250183105
Step-2,32,0.005549999885261059,0.7097548246383667
Step-2,33,0.005570000037550926,0.7119916081428528
Step-2,34,0.00558000011369586,0.7131074070930481
Step-2,35,0.00559999980032444,0.7153335809707642
Step-2,36,0.005619999952614307,0.717552125453949
Step-2,37,0.005630000028759241,0.7186583280563354
Step-2,38,0.0056500001810491085,0.7208645343780518
Step-2,39,0.005669999867677689,0.7230618000030518
Step-2,40,0.005679999943822622,0.72415691614151
Step-2,41,0.00570000009611249,0.7263394594192505
Step-2,42,0.00571999978274107,0.7285110950469971
Step-2,43,0.005739999935030937,0.7306708097457886
Step-2,44,0.005750000011175871,0.7317456603050232
Step-2,45,0.005770000163465738,0.7338851690292358
Step-2,46,0.005789999850094318,0.7360091805458069
Step-2,47,0.005799999926239252,0.7370650172233582
Step-2,48,0.0058200000785291195,0.7391621470451355
Step-2,49,0.005840000230818987,0.7412381768226624
Step-2,50,0.005849999841302633,0.7422668933868408
Step-2,51,0.005869999993592501,0.7443045973777771
Step-2,52,0.005890000145882368,0.7463111281394958
Step-2,53,0.005909999832510948,0.74828040599823
Step-2,54,0.005919999908655882,0.7492498159408569
Step-2,55,0.005940000060945749,0.7511478066444397
Step-2,56,0.005960000213235617,0.7529836297035217
Step-2,57,0.005969999823719263,0.7538700699806213
Step-2,58,0.0059899999760091305,0.755577802658081
Step-2,59,0.006010000128298998,0.7571683526039124
Step-2,60,0.006020000204443932,0.757917582988739
Step-2,61,0.006039999891072512,0.7592618465423584
Step-2,62,0.006060000043362379,0.7603715658187866
Step-2,63,0.0060800001956522465,0.7611792683601379
Step-2,64,0.006089999806135893,0.7614342570304871
Step-2,65,0.00610999995842576,0.7617020010948181
Step-2,66,0.006130000110715628,0.7616789937019348
Step-2,67,0.006140000186860561,0.7616368532180786
Step-2,68,0.0061599998734891415,0.7615123391151428
Step-2,69,0.006180000025779009,0.7614303827285767
Step-2,70,0.0061900001019239426,0.7613824009895325
Step-2,71,0.006209999788552523,0.7613351345062256
Step-2,72,0.00622999994084239,0.7612897157669067
Step-2,73,0.0062500000931322575,0.7612364292144775
Step-2,74,0.006260000169277191,0.7612223029136658
Step-2,75,0.006279999855905771,0.7611445784568787
