physical_element,source_storage_ip,previous_kstep,previous_kinc,current_kstep,current_kinc,previous_time2,current_time2,previous_phase_after_u1,current_phase_after_u1,phase_drop,previous_sdv16_history,current_sdv16_history,sdv16_drop
17004,2,2,163,2,164,1.9588235294117613,1.9647058823529377,0.9990427271552014,0.9990332728235446,9.454331656777448e-06,166.87816196290123,166.87816196290123,0.0
17004,2,2,164,2,165,1.9647058823529377,1.9705882352941142,0.9990332728235446,0.9989939479789086,3.932484463597952e-05,166.87816196290123,166.87816196290123,0.0
17004,2,2,165,2,166,1.9705882352941142,1.9764705882352906,0.9989939479789086,0.998927351377377,6.659660153163216e-05,166.87816196290123,166.87816196290123,0.0
17004,2,2,166,2,167,1.9764705882352906,1.982352941176467,0.998927351377377,0.9988517961205092,7.555525686775422e-05,166.87816196290123,166.87816196290123,0.0
17004,2,2,167,2,168,1.982352941176467,1.9882352941176435,0.9988517961205092,0.9987820152092514,6.978091125786623e-05,166.87816196290123,166.87816196290123,0.0
17004,2,2,168,2,169,1.9882352941176435,1.99411764705882,0.9987820152092514,0.9987289936262163,5.302158303510662e-05,166.87816196290123,166.87816196290123,0.0
17004,2,2,169,2,170,1.99411764705882,1.9999999999999964,0.9987289936262163,0.9986899970804172,3.899654579908596e-05,166.87816196290123,166.87816196290123,0.0
16453,4,2,167,2,168,1.982352941176467,1.9882352941176435,1.000233185122958,1.0002319888946198,1.196228338162797e-06,963.0522211684782,1024.8170389801921,-61.7648178117139
16453,4,2,168,2,169,1.9882352941176435,1.99411764705882,1.0002319888946198,1.000230305484822,1.6834097977813656e-06,1024.8170389801921,1075.0209153736048,-50.203876393412656
16453,4,2,169,2,170,1.99411764705882,1.9999999999999964,1.000230305484822,1.0002283806326373,1.9248521847536892e-06,1075.0209153736048,1120.6376718600911,-45.61675648648634
16428,4,2,134,2,135,1.7882352941176443,1.7941176470588207,0.9996124133399601,0.9996065387822133,5.874557746810005e-06,262.41181652790857,266.59021934258135,-4.178402814672779
16428,4,2,135,2,136,1.7941176470588207,1.7999999999999972,0.9996065387822133,0.9995734174136426,3.3121368570698806e-05,266.59021934258135,268.6812257113632,-2.091006368781848
16428,4,2,136,2,137,1.7999999999999972,1.8058823529411736,0.9995734174136426,0.9995147869162442,5.86304973984042e-05,268.6812257113632,268.6812257113632,0.0
16428,4,2,137,2,138,1.8058823529411736,1.81176470588235,0.9995147869162442,0.9994374523720837,7.733454416047891e-05,268.6812257113632,268.6812257113632,0.0
16428,4,2,138,2,139,1.81176470588235,1.8176470588235265,0.9994374523720837,0.999340513396576,9.69389755076655e-05,268.6812257113632,268.6812257113632,0.0
