index,baseline_u2_mm,baseline_rf2_kN,diagnostic_u2_mm,diagnostic_rf2_kN,rf2_difference
0,0.0,-0.0,0.0,-0.0,0.0
1,4.99999987369e-05,0.00672201113775,4.999999873689376e-05,0.006722011137753725,3.725318664660193e-15
2,9.99999974738e-05,0.0134439114481,9.999999747378752e-05,0.01344391144812107,2.1071686062690276e-14
3,0.000150000007125,0.0201655477285,0.0001500000071246177,0.020165547728538513,3.851433061363707e-14
4,0.000199999994948,0.0268867686391,0.00019999999494757503,0.026886768639087677,-1.2323475573339238e-14
5,0.000250000011874,0.0336074195802,0.0002500000118743628,0.033607419580221176,2.117750419472486e-14
6,0.000300000014249,0.0403273552656,0.0003000000142492354,0.04032735526561737,1.7368051441479793e-14
7,0.00034999998752,0.0470464155078,0.0003499999875202775,0.047046415507793427,-6.571132527000145e-15
8,0.000399999989895,0.0537644550204,0.00039999998989515007,0.053764455020427704,2.7707003358301563e-14
9,0.00044999999227,0.0604813173413,0.00044999999227002263,0.06048131734132767,2.766536999487812e-14
10,0.000500000023749,0.0671968460083,0.0005000000237487257,0.06719684600830078,7.771561172376096e-16
11,0.00054999999702,0.0739108994603,0.0005499999970197678,0.0739108994603157,1.5709655798445965e-14
12,0.000600000028498,0.0806233212352,0.0006000000284984708,0.0806233212351799,-2.0095036745715333e-14
13,0.00065000000177,0.0873339623213,0.0006500000017695129,0.08733396232128143,-1.8568480086855743e-14
14,0.000699999975041,0.0940426588058,0.000699999975040555,0.09404265880584717,4.717060075876134e-14
15,0.000750000006519,0.100749269128,0.000750000006519258,0.10074926912784576,-1.5423773369604987e-13
16,0.00079999997979,0.107453636825,0.0007999999797903001,0.10745363682508469,8.468226120328382e-14
17,0.000850000011269,0.114155612886,0.0008500000112690032,0.114155612885952,-4.8003268027230206e-14
18,0.00089999998454,0.120855040848,0.0008999999845400453,0.12085504084825516,2.551570066344766e-13
19,0.000950000016019,0.127551779151,0.0009500000160187483,0.12755177915096283,-3.7164715749327115e-14
20,0.0010000000475,0.13424564898,0.0010000000474974513,0.13424564898014069,1.4069301279562296e-13
21,0.00104999996256,0.140936523676,0.0010499999625608325,0.14093652367591858,-8.14071032806396e-14
22,0.00109999999404,0.147624239326,0.0010999999940395355,0.14762423932552338,-4.766187444715797e-13
23,0.00115000002552,0.154308646917,0.0011500000255182385,0.15430864691734314,3.4314218133602026e-13
24,0.001200000057,0.16098959744,0.0012000000569969416,0.16098959743976593,-2.3406276916659863e-13
25,0.00124999997206,0.16766692698,0.0012499999720603228,0.16766692698001862,1.8623991238087e-14
26,0.00130000000354,0.174340486526,0.0013000000035390258,0.17434048652648926,4.892475313766909e-13
27,0.00135000003502,0.181010127068,0.0013500000350177288,0.18101012706756592,-4.340694470528206e-13
28,0.00139999995008,0.18767568469,0.00139999995008111,0.18767568469047546,4.754530102957233e-13
29,0.00144999998156,0.194337025285,0.001449999981559813,0.19433702528476715,-2.3284152383951096e-13
30,0.00150000001304,0.200993970037,0.001500000013038516,0.20099397003650665,-4.933553565678039e-13
31,0.00155000004452,0.207646399736,0.001550000044517219,0.20764639973640442,4.044264922953289e-13
32,0.00159999995958,0.214294120669,0.0015999999595806003,0.21429412066936493,3.6493030819428895e-13
33,0.00164999999106,0.220936998725,0.0016499999910593033,0.22093699872493744,-6.256106743762757e-14
34,0.00170000002254,0.227574884892,0.0017000000225380063,0.22757488489151,-4.899969319183128e-13
35,0.00175000005402,0.234207630157,0.0017500000540167093,0.2342076301574707,4.707068068654507e-13
36,0.00179999996908,0.240835055709,0.0017999999690800905,0.2408350557088852,-1.1479706074624119e-13
37,0.00185000000056,0.247457012534,0.0018500000005587935,0.24745701253414154,1.4155343563970746e-13
38,0.00190000003204,0.254073351622,0.0019000000320374966,0.2540733516216278,-3.7220226900558373e-13
39,0.0019499999471,0.26068392396,0.0019499999471008778,0.26068392395973206,-2.6795232699328153e-13
40,0.00200000009499,0.267288595438,0.0020000000949949026,0.26728859543800354,3.552713678800501e-15
41,0.00205000001006,0.27388715744,0.002050000010058284,0.27388715744018555,1.8557377856609492e-13
42,0.00209999992512,0.280479460955,0.002099999925121665,0.28047946095466614,-3.3384406350478457e-13
43,0.00215000007302,0.287065386772,0.00215000007301569,0.28706538677215576,1.5576429035490946e-13
44,0.00219999998808,0.293644756079,0.002199999988079071,0.2936447560787201,-2.7988722450800196e-13
45,0.00224999990314,0.300217419863,0.0022499999031424522,0.3002174198627472,-2.5279778270714814e-13
46,0.00230000005104,0.30678319931,0.002300000051036477,0.30678319931030273,3.027578188152802e-13
47,0.0023499999661,0.313341975212,0.0023499999660998583,0.31334197521209717,9.71445146547012e-14
48,0.00240000011399,0.319893568754,0.002400000113993883,0.31989356875419617,1.9617640845126516e-13
49,0.00245000002906,0.326437801123,0.0024500000290572643,0.3264378011226654,-3.346212196220222e-13
50,0.00249999994412,0.332974523306,0.0024999999441206455,0.33297452330589294,-1.0708101072509635e-13
51,0.00255000009201,0.339503586292,0.0025500000920146704,0.33950358629226685,2.6684210396865637e-13
52,0.00260000000708,0.346024811268,0.0026000000070780516,0.3460248112678528,-1.4721557306529576e-13
53,0.00264999992214,0.352538079023,0.0026499999221414328,0.3525380790233612,3.612110610617947e-13
54,0.00270000007004,0.359043180943,0.0027000000700354576,0.3590431809425354,-4.645728246543968e-13
55,0.0027499999851,0.365539968014,0.002749999985098839,0.3655399680137634,-2.3658852654762086e-13
56,0.00279999990016,0.372028291225,0.00279999990016222,0.37202829122543335,4.3337555766242986e-13
57,0.00285000004806,0.378507971764,0.002850000048056245,0.37850797176361084,-3.8913317013111737e-13
58,0.00289999996312,0.384978830814,0.002899999963119626,0.3849788308143616,3.615996391204135e-13
59,0.00295000011101,0.391440749168,0.002950000111013651,0.391440749168396,3.9601655288379334e-13
60,0.00300000002608,0.397893488407,0.003000000026077032,0.397893488407135,1.3500311979441904e-13
61,0.00304999994114,0.404336959124,0.0030499999411404133,0.40433695912361145,-3.8852254746757353e-13
62,0.00310000008903,0.410770922899,0.003100000089034438,0.4107709228992462,2.4619195571062846e-13
63,0.0031500000041,0.417195260525,0.0031500000040978193,0.41719526052474976,-2.502442697505103e-13
64,0.00319999991916,0.423609763384,0.0031999999191612005,0.42360976338386536,-1.346700528870315e-13
65,0.00325000006706,0.430014282465,0.0032500000670552254,0.4300142824649811,-1.892930256985892e-14
66,0.00329999998212,0.436408638954,0.0032999999821186066,0.4364086389541626,1.6259216195635418e-13
