target_element,target_ip,x,y,H_old,H_raw,H_bounded,H_exact_reference,support
1,1,-0.334,-0.28300000000000003,0.087405,0.12095268725194272,0.12095268725194272,0.1311211902967824,source_element:1:ip:1;source_element:4:ip:1;source_element:2:ip:1;source_element:5:ip:1
2,1,-0.08399999999999999,-0.28300000000000003,0.093655,0.14602762842586345,0.14602762842586345,0.16753986426110828,source_element:2:ip:1;source_element:1:ip:1;source_element:5:ip:1;source_element:4:ip:1
3,1,0.16599999999999998,-0.28300000000000003,0.099905,0.1321110012288914,0.1321110012288914,0.11009605585524539,source_element:2:ip:1;source_element:3:ip:1;source_element:5:ip:1;source_element:6:ip:1
4,1,0.41600000000000004,-0.28300000000000003,0.106155,0.10954477175519836,0.10954477175519836,0.106155,source_element:3:ip:1;source_element:6:ip:1;source_element:2:ip:1;source_element:5:ip:1
5,1,-0.334,0.21699999999999997,0.094905,0.1641154015212961,0.1641154015212961,0.17864482649604285,source_element:7:ip:1;source_element:4:ip:1;source_element:8:ip:1;source_element:5:ip:1
6,1,-0.08399999999999999,0.21699999999999997,0.10115500000000001,0.18706121193507527,0.18706121193507527,0.236398835975148,source_element:8:ip:1;source_element:5:ip:1;source_element:7:ip:1;source_element:4:ip:1
7,1,0.16599999999999998,0.21699999999999997,0.107405,0.15541674497386782,0.15541674497386782,0.1453024314647068,source_element:8:ip:1;source_element:9:ip:1;source_element:5:ip:1;source_element:6:ip:1
8,1,0.41600000000000004,0.21699999999999997,0.113655,0.12395601138136249,0.12395601138136249,0.113655,source_element:9:ip:1;source_element:6:ip:1;source_element:8:ip:1;source_element:5:ip:1
