target_element,target_ip,area
1,1,0.12500000000000003
2,1,0.125
3,1,0.12499999999999999
4,1,0.12500000000000006
5,1,0.12499999999999999
6,1,0.125
7,1,0.12499999999999999
8,1,0.125
