element,integration_point,SDV15_D2A,SDV15_F0,SDV15_F3,abs_SDV15_F0_minus_D2A,SDV15_F3_minus_F0,SDV16_D2A,SDV16_F0,SDV16_F3,abs_SDV16_F0_minus_D2A,SDV16_F3_minus_F0
1,1,0.263172451421,0.263172451421,0.263172451421,0.0,0.0,0.120952688158,0.120952688158,0.120952688158,0.0,0.0
2,1,0.380029794517,0.380029794517,0.380029794517,0.0,0.0,0.146027624607,0.146027624607,0.146027624607,0.0,0.0
3,1,0.459138655793,0.459138655793,0.459138655793,0.0,0.0,0.132110998034,0.132110998034,0.132110998034,0.0,0.0
4,1,0.402906310811,0.402906310811,0.402906310811,0.0,0.0,0.109544768929,0.109544768929,0.109544768929,0.0,0.0
5,1,0.253166412659,0.253166412659,0.253166412659,0.0,0.0,0.164115399122,0.164115399122,0.164115399122,0.0,0.0
6,1,0.350941314447,0.350941314447,0.350941314447,0.0,0.0,0.187061205506,0.187061205506,0.187061205506,0.0,0.0
7,1,0.41899492152,0.41899492152,0.41899492152,0.0,0.0,0.155416741967,0.155416741967,0.155416741967,0.0,0.0
8,1,0.37274266104,0.37274266104,0.37274266104,0.0,0.0,0.123956009746,0.123956009746,0.123956009746,0.0,0.0
