element,integration_point,x,y,SDV15_F0,SDV15_F1,SDV15_F2,SDV15_F3,SDV16_F0,SDV16_F1,SDV16_F2,SDV16_F3
1,1,-0.334,-0.283,0.263172451421,0.263172451421,0.263172451421,0.263172451421,0.120952688158,0.120952688158,0.120952688158,0.120952688158
2,1,-0.084,-0.283,0.380029794517,0.380029794517,0.380029794517,0.380029794517,0.146027624607,0.146027624607,0.146027624607,0.146027624607
3,1,0.166,-0.283,0.459138655793,0.459138655793,0.459138655793,0.459138655793,0.132110998034,0.132110998034,0.132110998034,0.132110998034
4,1,0.416,-0.283,0.402906310811,0.402906310811,0.402906310811,0.402906310811,0.109544768929,0.109544768929,0.109544768929,0.109544768929
5,1,-0.334,0.217,0.253166412659,0.253166412659,0.253166412659,0.253166412659,0.164115399122,0.164115399122,0.164115399122,0.164115399122
6,1,-0.084,0.217,0.350941314447,0.350941314447,0.350941314447,0.350941314447,0.187061205506,0.187061205506,0.187061205506,0.187061205506
7,1,0.166,0.217,0.41899492152,0.41899492152,0.41899492152,0.41899492152,0.155416741967,0.155416741967,0.155416741967,0.155416741967
8,1,0.416,0.217,0.37274266104,0.37274266104,0.37274266104,0.37274266104,0.123956009746,0.123956009746,0.123956009746,0.123956009746
