step,frame,U2,RF2
origin,0,0.0,0.0
Step-1,0,0.0,-0.0
Step-1,10,9.99999974738e-05,0.0134915038943
Step-1,20,0.000199999994948,0.0269809979945
Step-1,30,0.000300000014249,0.0404661633074
Step-1,40,0.000399999989895,0.0539446808398
Step-1,50,0.000500000023749,0.067414239049
Step-1,60,0.000600000028498,0.0808725133538
Step-1,70,0.000699999975041,0.0943171903491
Step-1,80,0.00079999997979,0.107745967805
Step-1,90,0.00089999998454,0.121156528592
Step-1,100,0.0010000000475,0.134546563029
Step-1,110,0.00109999999404,0.147913753986
Step-1,120,0.001200000057,0.161255821586
Step-1,130,0.00130000000354,0.174570456147
Step-1,140,0.00139999995008,0.187855347991
Step-1,150,0.00150000001304,0.201108217239
Step-1,160,0.00159999995958,0.214326769114
Step-1,170,0.00170000002254,0.227508708835
Step-1,180,0.00179999996908,0.240651756525
Step-1,190,0.00190000003204,0.253753632307
Step-1,200,0.00200000009499,0.266812026501
Step-1,210,0.00209999992512,0.279824674129
Step-1,220,0.00219999998808,0.292789310217
Step-1,230,0.00230000005104,0.305703639984
Step-1,240,0.00240000011399,0.318565398455
Step-1,250,0.00249999994412,0.331372261047
Step-1,260,0.00260000000708,0.34412202239
Step-1,270,0.00270000007004,0.356812298298
Step-1,280,0.00279999990016,0.369440853596
Step-1,290,0.00289999996312,0.382005393505
Step-1,300,0.00300000002608,0.394503563643
Step-1,310,0.00310000008903,0.406933069229
Step-1,320,0.00319999991916,0.419291555882
Step-1,330,0.00329999998212,0.431576699018
Step-1,340,0.00340000004508,0.443786025047
Step-1,350,0.00350000010803,0.455917209387
Step-1,360,0.00359999993816,0.467967748642
Step-1,370,0.00370000000112,0.47993516922
Step-1,380,0.00380000006407,0.491816908121
Step-1,390,0.0038999998942,0.503610372543
Step-1,400,0.00400000018999,0.515312850475
Step-1,410,0.00410000002012,0.526921629906
Step-1,420,0.00419999985024,0.538433730602
Step-1,430,0.00430000014603,0.549846231937
Step-1,440,0.00439999997616,0.561155855656
Step-1,450,0.00449999980628,0.572359323502
Step-1,460,0.00460000010207,0.583452999592
Step-1,470,0.0046999999322,0.594432890415
Step-1,480,0.00480000022799,0.605294823647
Step-1,490,0.00490000005811,0.61603397131
Step-1,500,0.00499999988824,0.626645028591
Step-2,0,0.00499999988824,0.626645028591
Step-2,100,0.00510000018403,0.636677145958
Step-2,200,0.00520000001416,0.646978735924
Step-2,300,0.00529999984428,0.65712428093
Step-2,400,0.00540000014007,0.667100965977
Step-2,500,0.0054999999702,0.676891744137
Step-2,600,0.00559999980032,0.686472833157
Step-2,700,0.00570000009611,0.695808887482
Step-2,800,0.00579999992624,0.704841971397
Step-2,900,0.00590000022203,0.713462054729
Step-2,1000,0.00600000005215,0.721405863762
Step-2,1100,0.00609999988228,0.72760784626
Step-2,1200,0.00620000017807,0.671650350094
Step-2,1300,0.0063000000082,0.52214384079
Step-2,1400,0.00639999983832,0.35079485178
Step-2,1500,0.00650000013411,0.145653665066
Step-2,1600,0.00659999996424,0.00151506473776
Step-2,1700,0.00669999979436,0.00148311851081
Step-2,1800,0.00680000009015,0.00145251583308
Step-2,1900,0.00689999992028,0.0014232522808
Step-2,2000,0.00700000021607,0.00139523053076
