step,frame,step_time,u1,rf1,d_max
Step-1,0,0.0,0.0,-0.0,0.0
Step-1,10,0.009999999776482582,9.999999747378752e-05,0.004600626416504383,4.114723560633138e-05
Step-1,20,0.019999999552965164,0.00019999999494757503,0.009200996719300747,0.00018340391397941858
Step-1,30,0.029999999329447746,0.0003000000142492354,0.013800837099552155,0.00042734737507998943
Step-1,40,0.03999999910593033,0.00039999998989515007,0.01839987188577652,0.0007731002988293767
Step-1,50,0.05000000074505806,0.0005000000237487257,0.02299782820045948,0.001220838981680572
Step-1,60,0.05999999865889549,0.0006000000284984708,0.02759443037211895,0.0017707936931401491
Step-1,70,0.07000000029802322,0.000699999975040555,0.03218940272927284,0.002423249650746584
Step-1,80,0.07999999821186066,0.0007999999797903001,0.03678246960043907,0.0031785471364855766
Step-1,90,0.09000000357627869,0.0008999999845400453,0.0413733571767807,0.00403708266094327
Step-1,100,0.10000000149011612,0.0010000000474974513,0.045961786061525345,0.004999310709536076
Step-1,110,0.10999999940395355,0.0010999999940395355,0.05054748058319092,0.00606574397534132
Step-1,120,0.11999999731779099,0.0012000000569969416,0.05513015761971474,0.00723695382475853
Step-1,130,0.12999999523162842,0.0013000000035390258,0.059709545224905014,0.008513575419783592
Step-1,140,0.14000000059604645,0.00139999995008111,0.06428536027669907,0.00989630538970232
Step-1,150,0.15000000596046448,0.001500000013038516,0.06885732710361481,0.011385904625058174
Step-1,160,0.1599999964237213,0.0015999999595806003,0.07342515885829926,0.012983204796910286
Step-1,170,0.17000000178813934,0.0017000000225380063,0.07798856496810913,0.01468910276889801
Step-1,180,0.18000000715255737,0.0017999999690800905,0.08254727721214294,0.016504570841789246
Step-1,190,0.1899999976158142,0.0019000000320374966,0.08710100501775742,0.01843065395951271
Step-1,200,0.20000000298023224,0.0020000000949949026,0.09164945036172867,0.02046847715973854
Step-1,210,0.20999999344348907,0.002099999925121665,0.09619233757257462,0.022619247436523438
Step-1,220,0.2199999988079071,0.002199999988079071,0.10072936862707138,0.02488425374031067
Step-1,230,0.23000000417232513,0.002300000051036477,0.10526025295257568,0.027264876291155815
Step-1,240,0.23999999463558197,0.002400000113993883,0.10978469252586365,0.029762592166662216
Step-1,250,0.25,0.0024999999441206455,0.11430239677429199,0.032378971576690674
Step-1,260,0.25999999046325684,0.0026000000070780516,0.11881306022405624,0.035115692764520645
Step-1,270,0.27000001072883606,0.0027000000700354576,0.12331638485193253,0.03797454014420509
Step-1,280,0.2800000011920929,0.00279999990016222,0.12781205773353577,0.04095742106437683
