node,x,y,active_lower_bound,d_lower_bound,d_F0,d_F1,d_F2,d_F3,F3_minus_F1,F3_minus_lower_bound
6,-0.4375,-0.5,True,0.00019137869072657814,0.00019137869072657817,0.00019137869072657812,0.00019137869072657812,0.00019137869072657812,0.0,-2.710505431213761e-20
9,-0.4,-0.5,True,6.495327271787614e-05,6.495327271787614e-05,6.495327271787614e-05,6.495327271787614e-05,6.495327271787615e-05,1.3552527156068805e-20,1.3552527156068805e-20
11,-0.375,-0.5,True,3.1352191837018283e-05,3.135219183701828e-05,3.135219183701828e-05,3.1352191837018283e-05,3.1352191837018283e-05,6.776263578034403e-21,0.0
13,-0.35,-0.5,True,3.220688234487778e-05,3.220688234487778e-05,3.220688234487778e-05,3.220688234487778e-05,3.220688234487778e-05,0.0,0.0
14,-0.3375,-0.5,True,4.7070538080622995e-05,4.7070538080622995e-05,4.7070538080622995e-05,4.7070538080623015e-05,4.7070538080623e-05,6.776263578034403e-21,6.776263578034403e-21
16,-0.3125,-0.5,True,0.00010838553270897932,0.00010838553270897929,0.00010838553270897929,0.00010838553270897929,0.0001083855327089793,1.3552527156068805e-20,-1.3552527156068805e-20
19,-0.275,-0.5,True,0.00028719375827603987,0.00028719375827603987,0.0002871937582760399,0.00028719375827603987,0.0002871937582760399,0.0,5.421010862427522e-20
23,-0.22499999999999998,-0.5,True,0.0006599303369579841,0.0006599303369579841,0.0006599303369579841,0.0006599303369579842,0.0006599303369579842,1.0842021724855044e-19,1.0842021724855044e-19
26,-0.1875,-0.5,True,0.0011356733770969429,0.001135673377096943,0.001135673377096943,0.0011356733770969429,0.0011356733770969429,-2.168404344971009e-19,0.0
29,-0.15000000000000002,-0.5,True,0.0017974831222285176,0.0017974831222285176,0.0017974831222285176,0.0017974831222285173,0.0017974831222285173,-2.168404344971009e-19,-2.168404344971009e-19
32,-0.11249999999999999,-0.5,True,0.0026750133376179856,0.002675013337617986,0.002675013337617986,0.0026750133376179856,0.002675013337617985,-8.673617379884035e-19,-4.336808689942018e-19
35,-0.07500000000000001,-0.5,True,0.0037133045688111177,0.003713304568811117,0.0037133045688111186,0.0037133045688111177,0.0037133045688111177,-8.673617379884035e-19,0.0
39,-0.025000000000000022,-0.5,True,0.005062373675752916,0.005062373675752916,0.005062373675752917,0.005062373675752917,0.0050623736757529165,-8.673617379884035e-19,8.673617379884035e-19
51,0.125,-0.5,True,0.009608482824157324,0.00960848282415732,0.00960848282415732,0.009608482824157322,0.009608482824157324,3.469446951953614e-18,0.0
