node,x,y,active_lower_bound,d_F1,d_lower_bound,bound_error,residual_Kd_minus_f,multiplier_if_active
1,-0.5,-0.5,False,0.00036864133223632093,0.00029949358368940466,6.914774854691627e-05,-8.271806125530277e-25,
2,-0.4875,-0.5,False,0.00035086221410741297,0.0003024925259331761,4.836968817423687e-05,5.790264287871194e-24,
3,-0.475,-0.5,False,0.0003204043954042067,0.0002955967444676714,2.4807650936535313e-05,2.481541837659083e-24,
4,-0.4625,-0.5,False,0.00028047126406817436,0.00026722675648941995,1.3244507578754402e-05,4.1359030627651384e-24,
5,-0.45,-0.5,False,0.00023072566359592928,0.0002224358839329488,8.289779662980473e-06,-5.790264287871194e-24,
6,-0.4375,-0.5,True,0.00019137869072657812,0.00019137869072657814,-2.710505431213761e-20,9.165555210839014e-10,9.165555210839014e-10
7,-0.425,-0.5,False,0.00013132407318566284,0.0001161364884991698,1.5187584686493044e-05,0.0,
8,-0.4125,-0.5,False,9.296971224648863e-05,8.79515102431872e-05,5.018202003301427e-06,6.203854594147708e-25,
9,-0.4,-0.5,True,6.495327271787614e-05,6.495327271787614e-05,0.0,1.431559791994932e-10,1.431559791994932e-10
10,-0.3875,-0.5,False,4.181620640199759e-05,3.758110448235131e-05,4.235101919646282e-06,-2.0679515313825692e-25,
11,-0.375,-0.5,True,3.135219183701828e-05,3.1352191837018283e-05,-6.776263578034403e-21,8.283426571435203e-11,8.283426571435203e-11
12,-0.3625,-0.5,False,2.5666741828164792e-05,2.522101618820705e-05,4.45725639957742e-07,-1.809457589959748e-25,
13,-0.35,-0.5,True,3.220688234487778e-05,3.220688234487778e-05,0.0,1.1634970065014775e-10,1.1634970065014775e-10
14,-0.3375,-0.5,True,4.7070538080622995e-05,4.7070538080622995e-05,0.0,7.23296194307216e-11,7.23296194307216e-11
15,-0.325,-0.5,False,6.916404540953513e-05,6.438624773248023e-05,4.777797677054901e-06,1.0339757656912846e-24,
16,-0.3125,-0.5,True,0.00010838553270897929,0.00010838553270897932,-2.710505431213761e-20,4.0037804536944977e-10,4.0037804536944977e-10
17,-0.3,-0.5,False,0.00014664247859031787,0.00014284154402430084,3.8009345660170335e-06,4.1359030627651384e-25,
18,-0.2875,-0.5,False,0.00020126701469545095,0.00019060262595818102,1.0664388737269932e-05,-8.271806125530277e-24,
19,-0.275,-0.5,True,0.0002871937582760399,0.00028719375827603987,5.421010862427522e-20,1.438272239912042e-09,1.438272239912042e-09
20,-0.2625,-0.5,False,0.00034471038984857456,0.0003372200696517562,7.490320196818358e-06,-5.790264287871194e-24,
21,-0.25,-0.5,False,0.00043318750564180954,0.00042072627579494326,1.2461229846866273e-05,8.271806125530277e-25,
22,-0.2375,-0.5,False,0.0005373917326390356,0.0004707810871710676,6.661064546796802e-05,3.308722450212111e-24,
23,-0.22499999999999998,-0.5,True,0.0006599303369579841,0.0006599303369579841,0.0,2.3171251166091667e-10,2.3171251166091667e-10
24,-0.21250000000000002,-0.5,False,0.0007896549896639458,0.0007820540160651615,7.6009735987843515e-06,6.617444900424222e-24,
25,-0.2,-0.5,False,0.0009353485160437363,0.0008722413111892593,6.310720485447699e-05,-2.6469779601696886e-23,
26,-0.1875,-0.5,True,0.001135673377096943,0.0011356733770969429,2.168404344971009e-19,1.6469742348369628e-09,1.6469742348369628e-09
27,-0.175,-0.5,False,0.001308710760777772,0.0013007805621114677,7.930198666304287e-06,-1.3234889800848443e-23,
28,-0.16249999999999998,-0.5,False,0.0015181640582949028,0.001451437533904035,6.672652439086778e-05,9.926167350636332e-24,
29,-0.15000000000000002,-0.5,True,0.0017974831222285176,0.0017974831222285176,0.0,2.6408366544617745e-09,2.6408366544617745e-09
30,-0.1375,-0.5,False,0.0020102980933806936,0.001987924842223107,2.2373251157586493e-05,2.9778502051908996e-23,
31,-0.125,-0.5,False,0.002288555287748873,0.002206932456870471,8.162283087840205e-05,6.617444900424222e-24,
32,-0.11249999999999999,-0.5,True,0.002675013337617986,0.0026750133376179856,4.336808689942018e-19,5.3327491942869265e-09,5.3327491942869265e-09
33,-0.09999999999999998,-0.5,False,0.0028920793358975976,0.0028725424232713395,1.9536912626258104e-05,-1.9852334701272664e-23,
34,-0.08750000000000002,-0.5,False,0.00321489137162712,0.0031443379708513534,7.055340077576642e-05,1.9852334701272664e-23,
