element,umat_element,integration_point,x,y,SDV15_d,SDV16_H,S,E,LE
1,7861,1,0.49137624353170395,-0.0036304780514910817,0.008338434621691704,0.0007403814233839512,,,
1,7861,2,0.49137624353170395,-0.0036304780514910817,0.008356338366866112,0.0007371745305135846,,,
1,7861,3,0.49137624353170395,-0.0036304780514910817,0.00831074919551611,0.0007341707241721451,,,
1,7861,4,0.49137624353170395,-0.0036304780514910817,0.008327633142471313,0.0007314932299777865,,,
2,7862,1,0.4676136448979378,-0.00354233430698514,0.00866936519742012,0.0007846363005228341,,,
2,7862,2,0.4676136448979378,-0.00354233430698514,0.008664121851325035,0.0007850361871533096,,,
2,7862,3,0.4676136448979378,-0.00354233430698514,0.00871750246733427,0.000789760728366673,,,
2,7862,4,0.4676136448979378,-0.00354233430698514,0.008711841888725758,0.0007902366924099624,,,
3,7863,1,0.4592261090874672,-0.12695098854601383,0.009850353933870792,0.0008801434305496514,,,
3,7863,2,0.4592261090874672,-0.12695098854601383,0.009837576188147068,0.0008881432586349547,,,
3,7863,3,0.4592261090874672,-0.12695098854601383,0.009591901674866676,0.0008742566569708288,,,
3,7863,4,0.4592261090874672,-0.12695098854601383,0.0094915721565485,0.0008846417767927051,,,
4,7864,1,0.45268892496824265,-0.21165737882256508,0.010760555043816566,0.000997614348307252,,,
4,7864,2,0.45268892496824265,-0.21165737882256508,0.010874222032725811,0.0009971843101084232,,,
4,7864,3,0.45268892496824265,-0.21165737882256508,0.011104940436780453,0.000997680239379406,,,
4,7864,4,0.45268892496824265,-0.21165737882256508,0.011148066259920597,0.0009972973493859172,,,
5,7865,1,0.48186057060956955,-0.25063831359148026,0.011348349042236805,0.0010564577532932162,,,
5,7865,2,0.48186057060956955,-0.25063831359148026,0.011358284391462803,0.0010449645342305303,,,
5,7865,3,0.48186057060956955,-0.25063831359148026,0.011763814836740494,0.0010570171289145947,,,
5,7865,4,0.48186057060956955,-0.25063831359148026,0.01174413226544857,0.0010465922532603145,,,
6,7866,1,0.44985780864953995,-0.331746369600296,0.012562238611280918,0.0011577558470889926,,,
6,7866,2,0.44985780864953995,-0.331746369600296,0.012461505830287933,0.0011387551203370094,,,
6,7866,3,0.44985780864953995,-0.331746369600296,0.012822267599403858,0.0011592174414545298,,,
6,7866,4,0.44985780864953995,-0.331746369600296,0.01265303511172533,0.0011418418725952506,,,
7,7867,1,0.48245374858379364,-0.3665578216314316,0.013303629122674465,0.0012439010897651315,,,
7,7867,2,0.48245374858379364,-0.3665578216314316,0.013131311163306236,0.0012101534521207213,,,
7,7867,3,0.48245374858379364,-0.3665578216314316,0.013581007719039917,0.0012444898020476103,,,
7,7867,4,0.48245374858379364,-0.3665578216314316,0.01336497999727726,0.0012117251753807068,,,
8,7868,1,0.48168646544218063,-0.404631070792675,0.013681946322321892,0.0012449220521375537,,,
8,7868,2,0.48168646544218063,-0.404631070792675,0.013961715623736382,0.001286107930354774,,,
8,7868,3,0.48168646544218063,-0.404631070792675,0.013512522913515568,0.0012432958465069532,,,
8,7868,4,0.48168646544218063,-0.404631070792675,0.013757341541349888,0.0012855137465521693,,,
9,7869,1,0.48032620549201965,-0.48093975335359573,0.01426766999065876,0.00132750254124403,,,
9,7869,2,0.48032620549201965,-0.48093975335359573,0.01392678264528513,0.0012759597739204764,,,
9,7869,3,0.48032620549201965,-0.48093975335359573,0.014310268685221672,0.0013279173290356994,,,
9,7869,4,0.48032620549201965,-0.48093975335359573,0.013957261107861996,0.0012773675844073296,,,
10,7870,1,0.4283537417650223,-0.002471009036526084,0.009225616231560707,0.0008393871830776334,,,
10,7870,2,0.4283537417650223,-0.002471009036526084,0.009226656518876553,0.0008392501040361822,,,
10,7870,3,0.4283537417650223,-0.002471009036526084,0.009256480261683464,0.000842180335894227,,,
10,7870,4,0.4283537417650223,-0.002471009036526084,0.009257711470127106,0.0008420175290666521,,,
11,7871,1,0.4217192679643631,-0.05980958882719278,0.009454031474888325,0.000862794928252697,,,
11,7871,2,0.4217192679643631,-0.05980958882719278,0.009503021836280823,0.0008659294690005481,,,
11,7871,3,0.4217192679643631,-0.05980958882719278,0.009501452557742596,0.0008624347392469645,,,
11,7871,4,0.4217192679643631,-0.05980958882719278,0.009548915550112724,0.0008652983815409243,,,
12,7872,1,0.422455370426178,-0.16359704732894897,0.01051000040024519,0.0009528430528007448,,,
12,7872,2,0.422455370426178,-0.16359704732894897,0.010431971400976181,0.000942239654250443,,,
12,7872,3,0.422455370426178,-0.16359704732894897,0.01064048521220684,0.0009734777850098908,,,
12,7872,4,0.422455370426178,-0.16359704732894897,0.01059976126998663,0.0009577808668836951,,,
13,7873,1,0.4227288290858269,-0.20825395360589027,0.011180873960256577,0.001014801673591137,,,
13,7873,2,0.4227288290858269,-0.20825395360589027,0.01093935314565897,0.0010120838414877653,,,
13,7873,3,0.4227288290858269,-0.20825395360589027,0.01122738141566515,0.001006690552458167,,,
13,7873,4,0.4227288290858269,-0.20825395360589027,0.011003627441823483,0.0010020678164437413,,,
14,7874,1,0.3801627978682518,-0.2609855830669403,0.011873169802129269,0.001079062931239605,,,
14,7874,2,0.3801627978682518,-0.2609855830669403,0.011723972856998444,0.001078027649782598,,,
14,7874,3,0.3801627978682518,-0.2609855830669403,0.011891143396496773,0.0010761874727904797,,,
14,7874,4,0.3801627978682518,-0.2609855830669403,0.011762935668230057,0.001075117033906281,,,
15,7875,1,0.41731300204992294,-0.3308790251612663,0.01229955069720745,0.0011182844173163176,,,
15,7875,2,0.41731300204992294,-0.3308790251612663,0.012422244064509869,0.001125549548305571,,,
15,7875,3,0.41731300204992294,-0.3308790251612663,0.01239111926406622,0.0011366707039996982,,,
15,7875,4,0.41731300204992294,-0.3308790251612663,0.012545849196612835,0.0011413480388000607,,,
16,7876,1,0.41078101843595505,-0.3670813888311386,0.012506192550063133,0.0011414838954806328,,,
16,7876,2,0.41078101843595505,-0.3670813888311386,0.012612851336598396,0.0011437329230830073,,,
16,7876,3,0.41078101843595505,-0.3670813888311386,0.012650141492486,0.001158466562628746,,,
16,7876,4,0.41078101843595505,-0.3670813888311386,0.012780344113707542,0.001160913147032261,,,
17,7877,1,0.4446290582418442,-0.4055698961019516,0.01331820897758007,0.001219998812302947,,,
17,7877,2,0.4446290582418442,-0.4055698961019516,0.013032153248786926,0.001189709291793406,,,
17,7877,3,0.4446290582418442,-0.4055698961019516,0.013461940921843052,0.0012219513300806284,,,
17,7877,4,0.4446290582418442,-0.4055698961019516,0.013140643015503883,0.0011924736900255084,,,
