step,frame,u2_mm,rf2_kN
Step-1,0,0,-0
Step-1,1,4.99999987369e-05,0.00672201113775
Step-1,2,9.99999974738e-05,0.0134439114481
Step-1,3,0.000150000007125,0.0201655477285
Step-1,4,0.000199999994948,0.0268867686391
Step-1,5,0.000250000011874,0.0336074195802
Step-1,6,0.000300000014249,0.0403273552656
Step-1,7,0.00034999998752,0.0470464155078
Step-1,8,0.000399999989895,0.0537644550204
Step-1,9,0.00044999999227,0.0604813173413
Step-1,10,0.000500000023749,0.0671968460083
Step-1,11,0.00054999999702,0.0739108994603
Step-1,12,0.000600000028498,0.0806233212352
Step-1,13,0.00065000000177,0.0873339623213
Step-1,14,0.000699999975041,0.0940426588058
Step-1,15,0.000750000006519,0.100749269128
Step-1,16,0.00079999997979,0.107453636825
Step-1,17,0.000850000011269,0.114155612886
Step-1,18,0.00089999998454,0.120855040848
Step-1,19,0.000950000016019,0.127551779151
Step-1,20,0.0010000000475,0.13424564898
Step-1,21,0.00104999996256,0.140936523676
Step-1,22,0.00109999999404,0.147624239326
Step-1,23,0.00115000002552,0.154308646917
Step-1,24,0.001200000057,0.16098959744
Step-1,25,0.00124999997206,0.16766692698
Step-1,26,0.00130000000354,0.174340486526
Step-1,27,0.00135000003502,0.181010127068
Step-1,28,0.00139999995008,0.18767568469
Step-1,29,0.00144999998156,0.194337025285
Step-1,30,0.00150000001304,0.200993970037
Step-1,31,0.00155000004452,0.207646399736
Step-1,32,0.00159999995958,0.214294120669
Step-1,33,0.00164999999106,0.220936998725
Step-1,34,0.00170000002254,0.227574884892
Step-1,35,0.00175000005402,0.234207630157
Step-1,36,0.00179999996908,0.240835055709
Step-1,37,0.00185000000056,0.247457012534
Step-1,38,0.00190000003204,0.254073351622
Step-1,39,0.0019499999471,0.26068392396
Step-1,40,0.00200000009499,0.267288595438
Step-1,41,0.00205000001006,0.27388715744
Step-1,42,0.00209999992512,0.280479460955
Step-1,43,0.00215000007302,0.287065386772
Step-1,44,0.00219999998808,0.293644756079
Step-1,45,0.00224999990314,0.300217419863
Step-1,46,0.00230000005104,0.30678319931
Step-1,47,0.0023499999661,0.313341975212
Step-1,48,0.00240000011399,0.319893568754
Step-1,49,0.00245000002906,0.326437801123
Step-1,50,0.00249999994412,0.332974523306
Step-1,51,0.00255000009201,0.339503586292
Step-1,52,0.00260000000708,0.346024811268
Step-1,53,0.00264999992214,0.352538079023
