step,frame,step_time,target_abs_u2,rp_u2,rp_rf2,element,integration_point,sdv14,sdv15,sdv16
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7861,1,0.02207907661795616,0.022160854190587997,0.001992651727050543
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7861,2,0.022129397839307785,0.022211384028196335,0.0019834835547953844
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7861,3,0.02200153097510338,0.022082986310124397,0.001974896527826786
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7861,4,0.02204902097582817,0.022130673751235008,0.0019672438502311707
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7862,1,0.023008625954389572,0.023094264790415764,0.002120076445862651
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7862,2,0.022993775084614754,0.02307935245335102,0.0021212378051131964
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7862,3,0.023144284263253212,0.02323049120604992,0.0021349508315324783
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7862,4,0.023128246888518333,0.02321438491344452,0.002136333379894495
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7863,1,0.02642831951379776,0.026528796181082726,0.002406130079180002
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7863,2,0.02639472484588623,0.026495061814785004,0.0024281954392790794
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7863,3,0.025675009936094284,0.025772184133529663,0.0023898433428257704
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7863,4,0.025389324873685837,0.02548527717590332,0.0024184975773096085
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7864,1,0.029102306813001633,0.029214592650532722,0.002764649223536253
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7864,2,0.029443174600601196,0.02955702319741249,0.002766325604170561
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7864,3,0.03011658973991871,0.03023337386548519,0.0027644846122711897
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7864,4,0.030252454802393913,0.03036990761756897,0.00276601267978549
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7865,1,0.03082040324807167,0.03094022534787655,0.0029442308004945517
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7865,2,0.0308584775775671,0.030978523194789886,0.002912727650254965
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7865,3,0.03204484283924103,0.03217010572552681,0.002945770975202322
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7865,4,0.032000236213207245,0.03212537616491318,0.0029172133654356003
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7866,1,0.03443657234311104,0.03457266837358475,0.0032629542984068394
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7866,2,0.034150250256061554,0.03428512066602707,0.0032066686544567347
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7866,3,0.035210028290748596,0.03534959256649017,0.0032672989182174206
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7866,4,0.03471962362527847,0.034857042133808136,0.0032158426474779844
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7867,1,0.0366118960082531,0.03675760701298714,0.003527052002027631
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7867,2,0.036118559539318085,0.0362621545791626,0.0034264884889125824
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7867,3,0.0374380387365818,0.03758746385574341,0.0035287966020405293
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7867,4,0.03681594878435135,0.036962684243917465,0.00343119353055954
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7868,1,0.03776198998093605,0.03791298344731331,0.003535652067512274
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7868,2,0.03857230767607689,0.03872683644294739,0.0036594972480088472
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7868,3,0.037256304174661636,0.037405021488666534,0.0035307477228343487
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7868,4,0.03796333074569702,0.03811511769890785,0.003657721681520343
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7869,1,0.03948456048965454,0.03964318707585335,0.003790060058236122
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7869,2,0.038494035601615906,0.0386483334004879,0.0036338134668767452
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7869,3,0.03961164131760597,0.03977084532380104,0.003791314084082842
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7869,4,0.03858569264411926,0.038740403950214386,0.0036380798555910587
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7870,1,0.024590205401182175,0.024682551622390747,0.0022809060756117105
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7870,2,0.02459319867193699,0.024685557931661606,0.002280495362356305
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7870,3,0.02467937581241131,0.02477210946381092,0.0022892833221703768
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7870,4,0.02468293346464634,0.024775683879852295,0.0022887950763106346
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7871,1,0.025258105248212814,0.02535339444875717,0.0023518665693700314
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7871,2,0.025401197373867035,0.02549711801111698,0.0023616058751940727
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7871,3,0.02539721690118313,0.025493120774626732,0.0023507303558290005
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7871,4,0.025536097586154938,0.025632617995142937,0.0023596263490617275
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7872,1,0.028368361294269562,0.02847745083272457,0.0026295618154108524
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7872,2,0.028140420094132423,0.02824852056801319,0.002598580438643694
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7872,3,0.028759241104125977,0.0288701169192791,0.0026900421362370253
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7872,4,0.02864186465740204,0.028752246871590614,0.002644137479364872
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7873,1,0.030356470495462418,0.03047444298863411,0.0028175371699035168
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7873,2,0.02964051254093647,0.029755281284451485,0.0028103250078856945
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7873,3,0.030504783615469933,0.030623504891991615,0.002796172397211194
