source_file,step,frame,target_abs_u2,rp_u2,phase_threshold,damaged_element_count,connected_component_count,connected,crack_initiation_x,crack_initiation_y,crack_extension,max_vertical_deviation,mean_path_deviation,approximately_horizontal,reference_path
matched_state_01_Step-1_frame_0020_contour_sdv14_sdv15_sdv16.csv,Step-1,20,0.002,0.0020000000949949026,0.95,0,,False,,,0.0,,,,qualitative horizontal ligament y=0
matched_state_02_Step-1_frame_0050_contour_sdv14_sdv15_sdv16.csv,Step-1,50,0.005,0.004999999888241291,0.95,0,,False,,,0.0,,,,qualitative horizontal ligament y=0
matched_state_03_Step-2_frame_0010_contour_sdv14_sdv15_sdv16.csv,Step-2,10,0.006,0.006000000052154064,0.95,0,,False,,,0.0,,,,qualitative horizontal ligament y=0
matched_state_04_Step-2_frame_0020_contour_sdv14_sdv15_sdv16.csv,Step-2,20,0.007,0.007000000216066837,0.95,136,136,True,0.002643507694,-0.0036113240050000004,0.49713271849999996,0.01005856843,0.004411853957941176,True,qualitative horizontal ligament y=0
