metric,value
curve_rows,72.0
peak_rf2,0.7276078462600708
u2_at_peak,0.0060999998822808
final_u2,0.0070000002160668
final_rf2,0.0013952305307611
final_max_sdv15,1.0104930400848389
final_max_sdv16,337.7801818847656
min_sdv15_curve_summary,0.0
max_sdv15_curve_summary,1.0104930400848389
