state_file,step,frame,rp_u2,phase_threshold,aggregation_rule,damaged_element_count
matched_state_04_Step-2_frame_0100_contour_sdv14_sdv15_sdv16.csv,Step-2,100,0.0066999997943639755,0.8,mean,427
matched_state_04_Step-2_frame_0100_contour_sdv14_sdv15_sdv16.csv,Step-2,100,0.0066999997943639755,0.8,max,480
matched_state_04_Step-2_frame_0100_contour_sdv14_sdv15_sdv16.csv,Step-2,100,0.0066999997943639755,0.9,min,204
matched_state_04_Step-2_frame_0100_contour_sdv14_sdv15_sdv16.csv,Step-2,100,0.0066999997943639755,0.9,mean,278
matched_state_04_Step-2_frame_0100_contour_sdv14_sdv15_sdv16.csv,Step-2,100,0.0066999997943639755,0.9,max,309
matched_state_04_Step-2_frame_0100_contour_sdv14_sdv15_sdv16.csv,Step-2,100,0.0066999997943639755,0.95,min,126
matched_state_04_Step-2_frame_0100_contour_sdv14_sdv15_sdv16.csv,Step-2,100,0.0066999997943639755,0.95,mean,193
matched_state_04_Step-2_frame_0100_contour_sdv14_sdv15_sdv16.csv,Step-2,100,0.0066999997943639755,0.95,max,204
matched_state_04_Step-2_frame_0100_contour_sdv14_sdv15_sdv16.csv,Step-2,100,0.0066999997943639755,0.99,min,89
matched_state_04_Step-2_frame_0100_contour_sdv14_sdv15_sdv16.csv,Step-2,100,0.0066999997943639755,0.99,mean,94
matched_state_04_Step-2_frame_0100_contour_sdv14_sdv15_sdv16.csv,Step-2,100,0.0066999997943639755,0.99,max,97
