step,initial_displacement_mm,final_displacement_mm,displacement_change_mm,nominal_increment_mm,increment_count,provenance_status
Step-1,0.0,0.005,0.005,1e-05,500,exact_from_supplementary_endpoint_and_count_increment_derived_by_arithmetic
Step-2,0.005,0.0067,0.0017,1e-05,170,endpoint_measured_from_fig7_increment_from_paper_interpretation_count_derived
