u_mm,simulation_rf_kN,reference_rf_kN,signed_error_kN,relative_error,step,frame,status
0,-0,,,,Step-1,0,outside_reference_range
4.99999987369e-05,0.00672201113775,,,,Step-1,1,outside_reference_range
9.99999974738e-05,0.0134439114481,,,,Step-1,2,outside_reference_range
0.000150000007125,0.0201655477285,,,,Step-1,3,outside_reference_range
0.000199999994948,0.0268867686391,,,,Step-1,4,outside_reference_range
0.000250000011874,0.0336074195802,,,,Step-1,5,outside_reference_range
0.000300000014249,0.0403273552656,,,,Step-1,6,outside_reference_range
0.00034999998752,0.0470464155078,,,,Step-1,7,outside_reference_range
0.000399999989895,0.0537644550204,,,,Step-1,8,outside_reference_range
0.00044999999227,0.0604813173413,,,,Step-1,9,outside_reference_range
0.000500000023749,0.0671968460083,,,,Step-1,10,outside_reference_range
0.00054999999702,0.0739108994603,,,,Step-1,11,outside_reference_range
0.000600000028498,0.0806233212352,0.00995020634519,0.07067311489,7.10267832025,Step-1,12,compared
0.00065000000177,0.0873339623213,0.0174141619913,0.06991980033,4.01511139985,Step-1,13,compared
0.000699999975041,0.0940426588058,0.0248781176373,0.0691645411685,2.78013562669,Step-1,14,compared
0.000750000006519,0.100749269128,0.0323420819726,0.0684071871552,2.11511390062,Step-1,15,compared
0.00079999997979,0.107453636825,0.0396312111704,0.0678224256547,1.71133870633,Step-1,16,compared
0.000850000011269,0.114155612886,0.0469083150591,0.0672472978269,1.43359013732,Step-1,17,compared
0.00089999998454,0.120855040848,0.0518130610278,0.0690419798204,1.33252076698,Step-1,18,compared
0.000950000016019,0.127551779151,0.0609096544358,0.0666421247151,1.09411431295,Step-1,19,compared
0.0010000000475,0.13424564898,0.0700062478438,0.0642394011363,0.917623828085,Step-1,20,compared
0.00104999996256,0.140936523676,0.0753613090033,0.0655752146727,0.870144315962,Step-1,21,compared
0.00109999999404,0.147624239326,0.0826386605713,0.0649855787542,0.7863822853,Step-1,22,compared
0.00115000002552,0.154308646917,0.0899160121393,0.064392634778,0.716142022382,Step-1,23,compared
0.001200000057,0.16098959744,0.0971933637074,0.0637962337324,0.656384667625,Step-1,24,compared
0.00124999997206,0.16766692698,0.104470782607,0.063196144373,0.604916923143,Step-1,25,compared
0.00130000000354,0.174340486526,0.111747891115,0.0625925954119,0.560123280964,Step-1,26,compared
0.00135000003502,0.181010127068,0.119148229576,0.0618618974919,0.519201147279,Step-1,27,compared
0.00139999995008,0.18767568469,0.127464351632,0.060211333058,0.472377823971,Step-1,28,compared
0.00144999998156,0.194337025285,0.130360636455,0.0639763888294,0.490764624728,Step-1,29,compared
0.00150000001304,0.200993970037,0.139093967896,0.0619000021405,0.445022908447,Step-1,30,compared
0.00155000004452,0.207646399736,0.14611908284,0.0615273168967,0.421076533612,Step-1,31,compared
0.00159999995958,0.214294120669,0.153209832591,0.0610842880785,0.398696918113,Step-1,32,compared
0.00164999999106,0.220936998725,0.160300598851,0.0606363998735,0.378266833112,Step-1,33,compared
0.00170000002254,0.227574884892,0.167391365112,0.0601835197794,0.359537779856,Step-1,34,compared
0.00175000005402,0.234207630157,0.175929987862,0.058277642295,0.331254739474,Step-1,35,compared
0.00179999996908,0.240835055709,0.183207747118,0.0576273085908,0.314546243253,Step-1,36,compared
0.00185000000056,0.247457012534,0.18668927059,0.0607677419444,0.325502058862,Step-1,37,compared
0.00190000003204,0.254073351622,0.194349643579,0.059723708043,0.307300321952,Step-1,38,compared
0.0019499999471,0.26068392396,0.202009998732,0.0586739252278,0.290450599456,Step-1,39,compared
0.00200000009499,0.267288595438,0.209670389557,0.0576182058815,0.274803733628,Step-1,40,compared
0.00205000001006,0.27388715744,0.21769399654,0.0561931609,0.258129125254,Step-1,41,compared
0.00209999992512,0.280479460955,0.225737366388,0.0547420945668,0.242503469597,Step-1,42,compared
0.00215000007302,0.287065386772,0.233780773691,0.0532846130816,0.227925557095,Step-1,43,compared
0.00219999998808,0.293644756079,0.23637382461,0.0572709314686,0.242289650992,Step-1,44,compared
0.00224999990314,0.300217419863,0.244638894316,0.0555785255469,0.22718597426,Step-1,45,compared
0.00230000005104,0.30678319931,0.253128873239,0.0536543260716,0.211964464524,Step-1,46,compared
0.0023499999661,0.313341975212,0.257885851635,0.0554561235771,0.215041357351,Step-1,47,compared
0.00240000011399,0.319893568754,0.267909105947,0.0519844628077,0.194037685371,Step-1,48,compared
0.00245000002906,0.326437801123,0.275186058445,0.051251742678,0.186243965147,Step-1,49,compared
0.00249999994412,0.332974523306,0.281751583872,0.051222939434,0.181801779887,Step-1,50,compared
0.00255000009201,0.339503586292,0.288842366642,0.0506612196502,0.175394005524,Step-1,51,compared
0.00260000000708,0.346024811268,0.295933116393,0.0500916948747,0.169266946144,Step-1,52,compared
0.00264999992214,0.352538079023,0.303023866144,0.049514212879,0.163400373406,Step-1,53,compared
0.00270000007004,0.359043180943,0.308872092033,0.05017108891,0.162433221402,Step-1,54,compared
0.0027499999851,0.365539968014,0.315832755936,0.0497072120778,0.157384600373,Step-1,55,compared
0.00279999990016,0.372028291225,0.323081085077,0.0489472061486,0.151501305429,Step-1,56,compared
0.00285000004806,0.378507971764,0.331813146081,0.0466948256826,0.140726267883,Step-1,57,compared
0.00289999996312,0.384978830814,0.337576022122,0.0474028086922,0.140421136531,Step-1,58,compared
0.00295000011101,0.391440749168,0.342638834745,0.0488019144233,0.142429606555,Step-1,59,compared
0.00300000002608,0.397893488407,0.349984968989,0.0479085194182,0.136887362782,Step-1,60,compared
0.00304999994114,0.404336959124,0.357261879031,0.0470750800925,0.131766311648,Step-1,61,compared
0.00310000008903,0.410770922899,0.364538822959,0.0462320999401,0.126823528876,Step-1,62,compared
0.0031500000041,0.417195260525,0.371815733001,0.0453795275235,0.122048432855,Step-1,63,compared
0.00319999991916,0.423609763384,0.378591892242,0.0450178711414,0.118908703709,Step-1,64,compared
0.00325000006706,0.430014282465,0.386252727132,0.0437615553326,0.11329772519,Step-1,65,compared
0.00329999998212,0.436408638954,0.391536620921,0.0448720180332,0.114604907014,Step-1,66,compared
0.00334999989718,0.442792624235,0.398223893837,0.0445687303979,0.11191877506,Step-1,67,compared
0.00340000004508,0.449166089296,0.404911197894,0.0442548914028,0.109295301372,Step-1,68,compared
0.00344999996014,0.455528885126,0.41159847081,0.0439304143164,0.106731237922,Step-1,69,compared
0.00350000010803,0.461880743504,0.417367139753,0.044513603751,0.106653350279,Step-1,70,compared
0.0035500000231,0.468221545219,0.424261459682,0.0439600855372,0.103615552471,Step-1,71,compared
