step,frame,step_time,rp_u2,rp_rf2,max_sdv14,max_sdv15,max_sdv16,description
Step-1,0,0.0,0.0,-0.0,0.0,0.0,0.0,Increment      0: Step Time =    0.000
Step-1,1,0.009999999776482582,9.999999747378752e-05,0.013491503894329071,5.6750814110273495e-05,7.182561967056245e-05,3.9985377952689305e-05,Increment     10: Step Time =   1.0000E-02
Step-1,2,0.019999999552965164,0.00019999999494757503,0.026980997994542122,0.0002873312623705715,0.00032014938187785447,0.00017827194824349135,Increment     20: Step Time =   2.0000E-02
Step-1,3,0.029999999329447746,0.0003000000142492354,0.04046616330742836,0.0006954297423362732,0.0007460124907083809,0.0004155895730946213,Increment     30: Step Time =   3.0000E-02
Step-1,4,0.03999999910593033,0.00039999998989515007,0.05394468083977699,0.0012813187204301357,0.0013497001491487026,0.0007523574749939144,Increment     40: Step Time =   4.0000E-02
Step-1,5,0.05000000074505806,0.0005000000237487257,0.06741423904895782,0.0020454018376767635,0.0021316304337233305,0.0011891803005710244,Increment     50: Step Time =   5.0000E-02
Step-1,6,0.05999999865889549,0.0006000000284984708,0.08087251335382462,0.0029882178641855717,0.003092354629188776,0.0017268509836867452,Increment     60: Step Time =   6.0000E-02
Step-1,7,0.07000000029802322,0.000699999975040555,0.09431719034910202,0.004110440611839294,0.004232560284435749,0.0023663558531552553,Increment     70: Step Time =   7.0000E-02
Step-1,8,0.07999999821186066,0.0007999999797903001,0.10774596780538559,0.0054128835909068584,0.005553075578063726,0.0031088795512914658,Increment     80: Step Time =   8.0000E-02
Step-1,9,0.09000000357627869,0.0008999999845400453,0.12115652859210968,0.006896503269672394,0.0070548709481954575,0.003955811727792025,Increment     90: Step Time =   9.0000E-02
Step-1,10,0.10000000149011612,0.0010000000474974513,0.13454656302928925,0.008562403731048107,0.008739065378904343,0.004908755421638489,Increment    100: Step Time =   0.1000
Step-1,11,0.10999999940395355,0.0010999999940395355,0.14791375398635864,0.010411839932203293,0.01060693059116602,0.005969536956399679,Increment    110: Step Time =   0.1100
Step-1,12,0.11999999731779099,0.0012000000569969416,0.1612558215856552,0.012446227483451366,0.012659898027777672,0.007140215486288071,Increment    120: Step Time =   0.1200
Step-1,13,0.12999999523162842,0.0013000000035390258,0.1745704561471939,0.014667145907878876,0.014899563044309616,0.008423096500337124,Increment    130: Step Time =   0.1300
Step-1,14,0.14000000059604645,0.00139999995008111,0.18785534799098969,0.01707634888589382,0.017327696084976196,0.009820745326578617,Increment    140: Step Time =   0.1400
Step-1,15,0.15000000596046448,0.001500000013038516,0.20110821723937988,0.01967576891183853,0.019946252927184105,0.011336004361510277,Increment    150: Step Time =   0.1500
Step-1,16,0.1599999964237213,0.0015999999595806003,0.21432676911354065,0.022467534989118576,0.022757379338145256,0.012972012162208557,Increment    160: Step Time =   0.1600
Step-1,17,0.17000000178813934,0.0017000000225380063,0.22750870883464813,0.025453977286815643,0.02576342411339283,0.014732221141457558,Increment    170: Step Time =   0.1700
Step-1,18,0.18000000715255737,0.0017999999690800905,0.24065175652503967,0.028637638315558434,0.028966955840587616,0.016620425507426262,Increment    180: Step Time =   0.1800
Step-1,19,0.1899999976158142,0.0019000000320374966,0.2537536323070526,0.03202129527926445,0.03237077221274376,0.018640784546732903,Increment    190: Step Time =   0.1900
Step-1,20,0.20000000298023224,0.0020000000949949026,0.2668120265007019,0.035607967525720596,0.03597792237997055,0.0207978542894125,Increment    200: Step Time =   0.2000
Step-1,21,0.20999999344348907,0.002099999925121665,0.2798246741294861,0.03940093517303467,0.039791714400053024,0.02309662289917469,Increment    210: Step Time =   0.2100
Step-1,22,0.2199999988079071,0.002199999988079071,0.2927893102169037,0.04340377077460289,0.043815743178129196,0.025542547926306725,Increment    220: Step Time =   0.2200
Step-1,23,0.23000000417232513,0.002300000051036477,0.30570363998413086,0.047620344907045364,0.048053912818431854,0.028141601011157036,Increment    230: Step Time =   0.2300
Step-1,24,0.23999999463558197,0.002400000113993883,0.31856539845466614,0.05205485597252846,0.05251046270132065,0.030900316312909126,Increment    240: Step Time =   0.2400
Step-1,25,0.25,0.0024999999441206455,0.3313722610473633,0.056711867451667786,0.05718998983502388,0.03382585197687149,Increment    250: Step Time =   0.2500
Step-1,26,0.25999999046325684,0.0026000000070780516,0.3441220223903656,0.061596330255270004,0.06209748983383179,0.03692605346441269,Increment    260: Step Time =   0.2600
Step-1,27,0.27000001072883606,0.0027000000700354576,0.3568122982978821,0.06671362370252609,0.06723838299512863,0.04020952060818672,Increment    270: Step Time =   0.2700
Step-1,28,0.2800000011920929,0.00279999990016222,0.36944085359573364,0.07206960022449493,0.07261855900287628,0.043685704469680786,Increment    280: Step Time =   0.2800
Step-1,29,0.28999999165534973,0.002899999963119626,0.38200539350509644,0.0776706114411354,0.07824444770812988,0.04736500605940819,Increment    290: Step Time =   0.2900
Step-1,30,0.30000001192092896,0.003000000026077032,0.39450356364250183,0.08352358639240265,0.08412302285432816,0.0512588769197464,Increment    300: Step Time =   0.3000
Step-1,31,0.3100000023841858,0.003100000089034438,0.406933069229126,0.08963608741760254,0.09026192128658295,0.0553799644112587,Increment    310: Step Time =   0.3100
Step-1,32,0.3199999928474426,0.0031999999191612005,0.41929155588150024,0.09601636976003647,0.09666945785284042,0.059742268174886703,Increment    320: Step Time =   0.3200
Step-1,33,0.33000001311302185,0.0032999999821186066,0.4315766990184784,0.10267346352338791,0.10335476696491241,0.06436129659414291,Increment    330: Step Time =   0.3300
Step-1,34,0.3400000035762787,0.0034000000450760126,0.44378602504730225,0.10961727052927017,0.1103278249502182,0.0692543238401413,Increment    340: Step Time =   0.3400
Step-1,35,0.3499999940395355,0.0035000001080334187,0.45591720938682556,0.11685867607593536,0.11759963631629944,0.07444057613611221,Increment    350: Step Time =   0.3500
Step-1,36,0.36000001430511475,0.003599999938160181,0.4679677486419678,0.12440968304872513,0.12518230080604553,0.07994160056114197,Increment    360: Step Time =   0.3600
Step-1,37,0.3700000047683716,0.003700000001117587,0.4799351692199707,0.1322835236787796,0.13308919966220856,0.08578156679868698,Increment    370: Step Time =   0.3700
Step-1,38,0.3799999952316284,0.003800000064074993,0.491816908121109,0.14049486815929413,0.14133517444133759,0.0919877141714096,Increment    380: Step Time =   0.3800
Step-1,39,0.38999998569488525,0.0038999998942017555,0.503610372543335,0.14906004071235657,0.14993669092655182,0.09859086573123932,Increment    390: Step Time =   0.3900
