step,frame,step_time,target_abs_u2,rp_u2,rp_rf2,element,integration_point,sdv14,sdv15,sdv16
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7861,1,0.9985889196395874,0.9985893368721008,141.2962646484375
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7861,2,0.9994056820869446,0.9994058609008789,128.03451538085938
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7861,3,0.9990301728248596,0.9990304708480835,112.8714370727539
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7861,4,0.9979106783866882,0.9979112148284912,103.01573944091797
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7862,1,0.9988497495651245,0.9988501071929932,134.24632263183594
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7862,2,0.99763023853302,0.9976309537887573,134.33367919921875
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7862,3,0.9988234639167786,0.9988237023353577,140.5741424560547
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7862,4,0.9971409440040588,0.9971415996551514,140.74249267578125
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7863,1,0.07589354366064072,0.07589354366064072,0.007200817111879587
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7863,2,0.07708411663770676,0.07708411663770676,0.007241004146635532
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7863,3,0.08636199682950974,0.08636199682950974,0.007189806550741196
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7863,4,0.0901918113231659,0.0901918113231659,0.007191590499132872
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7864,1,0.062040574848651886,0.062040574848651886,0.0056052845902740955
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7864,2,0.058203376829624176,0.058203376829624176,0.0052541643381118774
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7864,3,0.0597815066576004,0.0597815066576004,0.005638675764203072
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7864,4,0.0565573126077652,0.0565573126077652,0.005305774509906769
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7865,1,0.06484287977218628,0.06484287977218628,0.006351713556796312
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7865,2,0.06102164089679718,0.06102164089679718,0.005673992447555065
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7865,3,0.06354176998138428,0.06354176998138428,0.006372434087097645
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7865,4,0.05981365963816643,0.05981365963816643,0.005747276823967695
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7866,1,0.05875232070684433,0.05875232070684433,0.005598040297627449
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7866,2,0.05634482204914093,0.05634482204914093,0.00531086465343833
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7866,3,0.059265874326229095,0.059265874326229095,0.005618455354124308
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7866,4,0.05662074685096741,0.05662074685096741,0.005350901745259762
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7867,1,0.06388000398874283,0.06388000398874283,0.006354969460517168
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7867,2,0.06150335073471069,0.06150335073471069,0.0059395902790129185
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7867,3,0.06448401510715485,0.06448401510715485,0.006360708270221949
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7867,4,0.062024325132369995,0.062024325132369995,0.005955578293651342
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7868,1,0.0627874955534935,0.0627874955534935,0.006044239737093449
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7868,2,0.06541106104850769,0.06541106104850769,0.006459492724388838
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7868,3,0.06236841157078743,0.06236841157078743,0.006030069198459387
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7868,4,0.06489425897598267,0.06489425897598267,0.006454508751630783
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7869,1,0.06622443348169327,0.06622443348169327,0.006567089352756739
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7869,2,0.06338894367218018,0.06338894367218018,0.006119022145867348
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7869,3,0.06634701043367386,0.06634701043367386,0.006570545025169849
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7869,4,0.0634550005197525,0.0634550005197525,0.006130614783614874
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7870,1,0.9744158387184143,0.9744160175323486,2.0095419883728027
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7870,2,0.9065716862678528,0.9065718054771423,1.8976672887802124
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7870,3,0.9740796089172363,0.9740797877311707,1.7727408409118652
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7870,4,0.9053442478179932,0.9053443074226379,1.8658416271209717
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7871,1,0.19288551807403564,0.19288551807403564,0.014889721758663654
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7871,2,0.19642898440361023,0.19642899930477142,0.01551510114222765
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7871,3,0.16627395153045654,0.16627396643161774,0.014836654998362064
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7871,4,0.17106249928474426,0.17106249928474426,0.015381020493805408
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7872,1,0.061008110642433167,0.061008110642433167,0.005721311084926128
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7872,2,0.06312750279903412,0.06312750279903412,0.0058538350276649
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7872,3,0.05992014706134796,0.05992014706134796,0.005564246792346239
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7872,4,0.06141379103064537,0.06141379103064537,0.005708879325538874
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7873,1,0.05521269887685776,0.05521269887685776,0.005179982632398605
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7873,2,0.05661934241652489,0.05661934241652489,0.005177535116672516
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7873,3,0.054763346910476685,0.054763346910476685,0.005183523520827293
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7873,4,0.056128889322280884,0.056128889322280884,0.005186496768146753
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7874,1,0.052330829203128815,0.052330829203128815,0.0049576894380152225
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7874,2,0.05268623307347298,0.05268623307347298,0.0049537112936377525
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7874,3,0.05211114138364792,0.05211114138364792,0.004949647933244705
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7874,4,0.05257714167237282,0.05257714167237282,0.004946346860378981
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7875,1,0.053593795746564865,0.053593795746564865,0.0050238328985869884
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7875,2,0.05343710258603096,0.05343710258603096,0.005085984710603952
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7875,3,0.05496259778738022,0.05496259778738022,0.005188972223550081
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7875,4,0.055058933794498444,0.055058933794498444,0.005232235882431269
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7876,1,0.05342498794198036,0.05342498794198036,0.005044304765760899
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7876,2,0.053548578172922134,0.053548578172922134,0.0050651212222874165
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7876,3,0.05517178028821945,0.05517178028821945,0.005225329659879208
Step-2,20,0.20000000298023224,0.007,0.007000000216066837,0.0013952305307611823,7876,4,0.05538375303149223,0.05538375303149223,0.005252107046544552
