node,x,y,active_lower_bound,d_compatible,d_lb,bound_margin,residual_Kd_minus_f
1,-0.5,-0.5,True,0.000368641332236321,0.000368641332236321,0.0,-6.760559852809656e-10
2,-0.4875,-0.5,True,0.00035086221410741297,0.00035086221410741297,0.0,-1.132143550312992e-09
3,-0.475,-0.5,True,0.0003204043954042067,0.0003204043954042067,0.0,-4.134008436279826e-10
4,-0.4625,-0.5,True,0.00028047126406817436,0.00028047126406817436,0.0,-1.9137312443759338e-11
5,-0.45,-0.5,True,0.0002307256635959293,0.0002307256635959293,0.0,-2.0679515313825692e-24
6,-0.4375,-0.5,True,0.00019137869072657817,0.00019137869072657817,0.0,8.492692476947362e-10
7,-0.425,-0.5,True,0.00013132407318566282,0.00013132407318566282,0.0,-1.8029302616331097e-11
8,-0.4125,-0.5,True,9.296971224648865e-05,9.296971224648865e-05,0.0,1.4475660719677984e-24
9,-0.4,-0.5,True,6.495327271787614e-05,6.495327271787614e-05,0.0,1.431559791994932e-10
10,-0.3875,-0.5,True,4.181620640199759e-05,4.181620640199759e-05,0.0,-1.550963648536927e-25
11,-0.375,-0.5,True,3.1352191837018283e-05,3.1352191837018283e-05,0.0,8.283426571435254e-11
12,-0.3625,-0.5,True,2.5666741828164795e-05,2.5666741828164795e-05,0.0,1.809457589959748e-25
13,-0.35,-0.5,True,3.220688234487778e-05,3.220688234487778e-05,0.0,1.1634970065014755e-10
14,-0.3375,-0.5,True,4.7070538080622995e-05,4.7070538080622995e-05,0.0,7.23296194307216e-11
15,-0.325,-0.5,True,6.91640454095351e-05,6.91640454095351e-05,0.0,-6.203854594147708e-25
16,-0.3125,-0.5,True,0.00010838553270897929,0.00010838553270897929,0.0,4.0037804536944977e-10
17,-0.3,-0.5,True,0.00014664247859031787,0.00014664247859031787,0.0,4.1359030627651384e-25
18,-0.2875,-0.5,True,0.00020126701469545097,0.00020126701469545097,0.0,-1.4398364161033643e-11
19,-0.275,-0.5,True,0.00028719375827603987,0.00028719375827603987,0.0,1.3823472741774506e-09
20,-0.2625,-0.5,True,0.0003447103898485745,0.0003447103898485745,0.0,-8.171471314755314e-12
21,-0.25,-0.5,True,0.00043318750564180954,0.00043318750564180954,0.0,-1.586947878015347e-11
22,-0.2375,-0.5,True,0.0005373917326390355,0.0005373917326390355,0.0,-6.298035901466708e-11
23,-0.22499999999999998,-0.5,True,0.0006599303369579841,0.0006599303369579841,0.0,2.0924770598999032e-10
24,-0.21250000000000002,-0.5,True,0.000789654989663946,0.000789654989663946,0.0,-1.695408204221795e-11
25,-0.2,-0.5,True,0.0009353485160437363,0.0009353485160437363,0.0,-3.398949853434875e-10
26,-0.1875,-0.5,True,0.0011356733770969433,0.0011356733770969433,0.0,1.5214968533050576e-09
27,-0.175,-0.5,True,0.001308710760777772,0.001308710760777772,0.0,-8.747815897050783e-12
28,-0.16249999999999998,-0.5,True,0.0015181640582949028,0.0015181640582949028,0.0,-2.0040297354473698e-10
29,-0.15000000000000002,-0.5,True,0.0017974831222285176,0.0017974831222285176,0.0,2.538700871097316e-09
30,-0.1375,-0.5,True,0.0020102980933806936,0.0020102980933806936,0.0,-3.3766438502161034e-11
31,-0.125,-0.5,True,0.0022885552877488736,0.0022885552877488736,0.0,-1.525096001854909e-10
32,-0.11249999999999999,-0.5,True,0.0026750133376179856,0.0026750133376179856,0.0,5.261286161505329e-09
33,-0.09999999999999998,-0.5,True,0.0028920793358975976,0.0028920793358975976,0.0,-6.197715898665494e-11
34,-0.08750000000000002,-0.5,True,0.0032148913716271194,0.0032148913716271194,0.0,-3.6279882473626387e-10
35,-0.07500000000000001,-0.5,True,0.0037133045688111203,0.0037133045688111203,0.0,9.343160049021765e-09
36,-0.0625,-0.5,True,0.0039285885014681615,0.0039285885014681615,0.0,-1.5791874551682359e-10
37,-0.04999999999999999,-0.5,True,0.0042826965584089926,0.0042826965584089926,0.0,-2.0781685989991888e-10
38,-0.03749999999999998,-0.5,True,0.00466202109938956,0.00466202109938956,0.0,-5.650631190673377e-10
39,-0.025000000000000022,-0.5,True,0.0050623736757529165,0.0050623736757529165,0.0,1.462521581181493e-10
40,-0.012500000000000011,-0.5,True,0.0054626659750494615,0.0054626659750494615,0.0,-1.362111492374973e-10
41,0.0,-0.5,True,0.00587265075355332,0.00587265075355332,0.0,-3.050818294366098e-10
42,0.012499999999999956,-0.5,True,0.006256671209445932,0.006256671209445932,0.0,-8.324451108049227e-10
43,0.025000000000000022,-0.5,True,0.006674849787353398,0.006674849787353398,0.0,-3.9800121562562214e-10
44,0.03749999999999998,-0.5,True,0.007069931426579778,0.007069931426579778,0.0,-9.69351632152775e-10
45,0.050000000000000044,-0.5,True,0.007456541069583605,0.007456541069583605,0.0,-1.4339262453839305e-09
46,0.0625,-0.5,True,0.007855264696846137,0.007855264696846137,0.0,-1.0306555308769173e-09
47,0.07499999999999996,-0.5,True,0.008236812514943584,0.008236812514943584,0.0,-8.675822906240028e-10
48,0.08750000000000002,-0.5,True,0.008594480588415398,0.008594480588415398,0.0,-1.3890403608687782e-09
49,0.09999999999999998,-0.5,True,0.008939258426332997,0.008939258426332997,0.0,-1.5804537620339524e-09
50,0.11250000000000004,-0.5,True,0.00928319251952809,0.00928319251952809,0.0,-9.225859317943873e-10
51,0.125,-0.5,True,0.009608482824157317,0.009608482824157317,0.0,-3.693289209796583e-11
52,0.13749999999999996,-0.5,True,0.009871638243791097,0.009871638243791097,0.0,-1.7836545415486092e-09
53,0.15000000000000002,-0.5,True,0.010148516697776283,0.010148516697776283,0.0,-1.347284310090467e-09
54,0.16249999999999998,-0.5,True,0.01044904821584228,0.01044904821584228,0.0,1.5874317210884137e-09
55,0.17500000000000004,-0.5,True,0.010626786695261568,0.010626786695261568,0.0,-1.8424176822049959e-09
56,0.1875,-0.5,True,0.010844375247639038,0.010844375247639038,0.0,-1.3218782530711548e-09
57,0.19999999999999996,-0.5,True,0.011040387448703148,0.011040387448703148,0.0,-1.4088667949094777e-09
58,0.21250000000000002,-0.5,True,0.011210065826433377,0.011210065826433377,0.0,-1.715968858422182e-09
59,0.22499999999999998,-0.5,True,0.01137788704686852,0.01137788704686852,0.0,-1.3424796903163442e-09
60,0.23750000000000004,-0.5,True,0.011529545472042255,0.011529545472042255,0.0,-1.1438960889648698e-09
61,0.25,-0.5,True,0.011654636686950548,0.011654636686950548,0.0,-1.52486666310223e-09
62,0.26249999999999996,-0.5,True,0.011780148854860523,0.011780148854860523,0.0,-1.3785020030788014e-09
63,0.275,-0.5,True,0.011892727946642563,0.011892727946642563,0.0,-1.3826249999690265e-09
64,0.2875,-0.5,True,0.011997535983399813,0.011997535983399813,0.0,-1.4183203873276685e-09
65,0.30000000000000004,-0.5,True,0.012097763476914006,0.012097763476914006,0.0,-1.3488714843558356e-09
66,0.3125,-0.5,True,0.012196428306094902,0.012196428306094902,0.0,-1.223923343087304e-09
67,0.32499999999999996,-0.5,True,0.012297318076277909,0.012297318076277909,0.0,-8.115391160455151e-10
68,0.3375,-0.5,True,0.012385889323638544,0.012385889323638544,0.0,-1.228044374637369e-09
69,0.35,-0.5,True,0.012485256588679605,0.012485256588679605,0.0,-1.1720316462928476e-09
70,0.36250000000000004,-0.5,True,0.012612702346740334,0.012612702346740334,0.0,3.310792084858575e-10
71,0.375,-0.5,True,0.01270343447221319,0.01270343447221319,0.0,-1.1081559147446739e-09
72,0.38749999999999996,-0.5,True,0.012825578344308537,0.012825578344308537,0.0,-9.508308431878264e-10
73,0.4,-0.5,True,0.0129601241176245,0.0129601241176245,0.0,-9.90444251388533e-10
74,0.4125,-0.5,True,0.013112468306597479,0.013112468306597479,0.0,-1.0117349255781774e-09
75,0.42500000000000004,-0.5,True,0.013282743627490944,0.013282743627490944,0.0,-7.439719416183344e-10
76,0.4375,-0.5,True,0.013458438400212333,0.013458438400212333,0.0,-1.3331921536889777e-09
77,0.44999999999999996,-0.5,True,0.013660368459532776,0.013660368459532776,0.0,-1.0854690699254485e-09
78,0.4625,-0.5,True,0.013877582904690109,0.013877582904690109,0.0,-6.365905073120429e-10
79,0.475,-0.5,True,0.014053835680310446,0.014053835680310446,0.0,-1.461706066365808e-09
80,0.48750000000000004,-0.5,True,0.014145228127075474,0.014145228127075474,0.0,-5.015131364241208e-09
81,0.5,-0.5,True,0.014176351325428693,0.014176351325428693,0.0,-3.829150240198416e-09
82,-0.5,-0.4875,True,0.0003693266500612778,0.0003693266500612778,0.0,-1.3505142390373049e-09
83,-0.4875,-0.4875,True,0.0003526140888175487,0.0003526140888175487,0.0,-2.14648385336299e-09
84,-0.475,-0.4875,True,0.0003257028981578002,0.0003257028981578002,0.0,-4.957209336785183e-10
85,-0.4625,-0.4875,True,0.00028419103179172907,0.00028419103179172907,0.0,9.616849310494546e-13
86,-0.45,-0.4875,True,0.0002297035296179763,0.0002297035296179763,0.0,-2.09537590557963e-11
87,-0.4375,-0.4875,True,0.00017728202411725156,0.00017728202411725156,0.0,-4.793770702230993e-11
88,-0.425,-0.4875,True,0.00013461457790779646,0.00013461457790779646,0.0,-9.169675847480638e-12
89,-0.4125,-0.4875,True,9.378910255974586e-05,9.378910255974586e-05,0.0,-4.665781724085069e-12
90,-0.4,-0.4875,True,6.120033354185063e-05,6.120033354185063e-05,0.0,-1.74129344513071e-11
91,-0.3875,-0.4875,True,4.200408844570826e-05,4.200408844570826e-05,0.0,-1.0339757656912846e-24
92,-0.375,-0.4875,True,3.150301512857454e-05,3.150301512857454e-05,0.0,1.8210480554732982e-10
93,-0.3625,-0.4875,True,2.5149851095623715e-05,2.5149851095623715e-05,0.0,-5.686866711302065e-25
94,-0.35,-0.4875,True,2.9475921336512364e-05,2.9475921336512364e-05,0.0,4.652890945610781e-25
95,-0.3375,-0.4875,True,4.569423808375404e-05,4.569423808375404e-05,0.0,-2.0679515313825692e-25
96,-0.325,-0.4875,True,7.29871117008348e-05,7.29871117008348e-05,0.0,4.19591939972381e-10
97,-0.3125,-0.4875,True,0.00010009556333776229,0.00010009556333776229,0.0,-2.832218213934751e-11
98,-0.3,-0.4875,True,0.00014599297689488547,0.00014599297689488547,0.0,-1.717057436059066e-11
99,-0.2875,-0.4875,True,0.0002121406827501484,0.0002121406827501484,0.0,1.024324290229531e-09
100,-0.275,-0.4875,True,0.0002635802036285757,0.0002635802036285757,0.0,-9.647608485585333e-11
101,-0.2625,-0.4875,True,0.00034241079955035927,0.00034241079955035927,0.0,-1.4426733262157013e-10
102,-0.25,-0.4875,True,0.0004521402963518418,0.0004521402963518418,0.0,2.0380427900931674e-09
103,-0.2375,-0.4875,True,0.0005362755673451488,0.0005362755673451488,0.0,-8.857577387793282e-11
104,-0.22499999999999998,-0.4875,True,0.0006503075369197302,0.0006503075369197302,0.0,-4.0580749983784975e-10
105,-0.21250000000000002,-0.4875,True,0.0008126453691716612,0.0008126453691716612,0.0,2.3020096155795492e-09
106,-0.2,-0.4875,True,0.0009429408009238821,0.0009429408009238821,0.0,-2.7443529029284804e-10
107,-0.1875,-0.4875,True,0.0011031919572023876,0.0011031919572023876,0.0,-8.451158510475051e-10
108,-0.175,-0.4875,True,0.001314976843687863,0.001314976843687863,0.0,1.0727704774309928e-10
109,-0.16249999999999998,-0.4875,True,0.0015462825022043993,0.0015462825022043993,0.0,2.0259098129990726e-09
110,-0.15000000000000002,-0.4875,True,0.0017462886124010421,0.0017462886124010421,0.0,-9.117141328144055e-10
111,-0.1375,-0.4875,True,0.002012150159509422,0.002012150159509422,0.0,-4.863613460262413e-10
112,-0.125,-0.4875,True,0.002327146478552984,0.002327146478552984,0.0,3.300192551545323e-09
113,-0.11249999999999999,-0.4875,True,0.0025781656879901964,0.0025781656879901964,0.0,-7.219473954048442e-10
114,-0.09999999999999998,-0.4875,True,0.002884439054206258,0.002884439054206258,0.0,-9.99421780904873e-10
115,-0.08750000000000002,-0.4875,True,0.003269123896724415,0.003269123896724415,0.0,4.683061979315379e-09
116,-0.07500000000000001,-0.4875,True,0.0035554284874442926,0.0035554284874442926,0.0,-1.406818611367757e-09
117,-0.0625,-0.4875,True,0.003910834877626371,0.003910834877626371,0.0,-2.1470996027151356e-09
118,-0.04999999999999999,-0.4875,True,0.004368730521025642,0.004368730521025642,0.0,9.516075108772978e-09
119,-0.03749999999999998,-0.4875,True,0.00466134737915032,0.00466134737915032,0.0,-1.1301562901110287e-09
120,-0.025000000000000022,-0.4875,True,0.005031621291247003,0.005031621291247003,0.0,-3.2892069710855844e-09
121,-0.012500000000000011,-0.4875,True,0.005541101940046776,0.005541101940046776,0.0,8.318173755378822e-09
122,0.0,-0.4875,True,0.005881547069422739,0.005881547069422739,0.0,3.0273481275877883e-10
123,0.012499999999999956,-0.4875,True,0.0062414946241837015,0.0062414946241837015,0.0,-4.154847932424457e-09
124,0.025000000000000022,-0.4875,True,0.006708441718360719,0.006708441718360719,0.0,1.9713866572865115e-09
125,0.03749999999999998,-0.4875,True,0.007141293582901626,0.007141293582901626,0.0,5.3369253853201145e-09
126,0.050000000000000044,-0.4875,True,0.0074525024904798275,0.0074525024904798275,0.0,-4.836725975482358e-09
127,0.0625,-0.4875,True,0.007868621627685507,0.007868621627685507,0.0,-2.2270087959398007e-09
128,0.07499999999999996,-0.4875,True,0.008321589121760866,0.008321589121760866,0.0,6.723296237741464e-09
129,0.08750000000000002,-0.4875,True,0.008592491410882419,0.008592491410882419,0.0,-4.6907019082320036e-09
130,0.09999999999999998,-0.4875,True,0.008952079388732154,0.008952079388732154,0.0,-3.6744390138468062e-09
131,0.11250000000000004,-0.4875,True,0.009356665732662178,0.009356665732662178,0.0,5.194635902327987e-09
132,0.125,-0.4875,True,0.009596990100390114,0.009596990100390114,0.0,-3.7197747125650477e-09
133,0.13749999999999996,-0.4875,True,0.00986874051349065,0.00986874051349065,0.0,-4.423442827190593e-09
134,0.15000000000000002,-0.4875,True,0.010213879731070368,0.010213879731070368,0.0,4.976625984418907e-09
135,0.16249999999999998,-0.4875,True,0.010399979174773474,0.010399979174773474,0.0,-3.6491102369722475e-09
136,0.17500000000000004,-0.4875,True,0.010624658639796156,0.010624658639796156,0.0,-4.7225957472121214e-09
137,0.1875,-0.4875,True,0.010892513759912636,0.010892513759912636,0.0,2.8085255634615165e-09
138,0.19999999999999996,-0.4875,True,0.011046401675729229,0.011046401675729229,0.0,-2.7661675558265504e-09
139,0.21250000000000002,-0.4875,True,0.011210863591568697,0.011210863591568697,0.0,-4.332718102937425e-09
140,0.22499999999999998,-0.4875,True,0.011403014771948368,0.011403014771948368,0.0,-3.625638591070489e-10
141,0.23750000000000004,-0.4875,True,0.011536347414128947,0.011536347414128947,0.0,-2.1780907720626867e-09
142,0.25,-0.4875,True,0.011655703838143374,0.011655703838143374,0.0,-3.791931208533503e-09
143,0.26249999999999996,-0.4875,True,0.011786946624081567,0.011786946624081567,0.0,-2.5449911724443352e-09
144,0.275,-0.4875,True,0.011913074670691776,0.011913074670691776,0.0,-6.398409434838343e-10
145,0.2875,-0.4875,True,0.011996205475237418,0.011996205475237418,0.0,-3.3221032096401363e-09
146,0.30000000000000004,-0.4875,True,0.012101323235882134,0.012101323235882134,0.0,-2.659426276264012e-09
147,0.3125,-0.4875,True,0.01221277544610636,0.01221277544610636,0.0,-6.821650772056722e-10
148,0.32499999999999996,-0.4875,True,0.012290952422098307,0.012290952422098307,0.0,-2.7918188334790083e-09
149,0.3375,-0.4875,True,0.012385169109344188,0.012385169109344188,0.0,-2.625609155181595e-09
150,0.35,-0.4875,True,0.012500788796488088,0.012500788796488088,0.0,-4.4415397193213723e-10
151,0.36250000000000004,-0.4875,True,0.012587444228675288,0.012587444228675288,0.0,-2.665654609458067e-09
152,0.375,-0.4875,True,0.012699904163489172,0.012699904163489172,0.0,-2.6811287575298713e-09
153,0.38749999999999996,-0.4875,True,0.012844974486826807,0.012844974486826807,0.0,6.176885311543955e-10
154,0.4,-0.4875,True,0.012959393447622498,0.012959393447622498,0.0,-2.0886763929729443e-09
155,0.4125,-0.4875,True,0.013105275313801922,0.013105275313801922,0.0,-2.8962560709117757e-09
156,0.42500000000000004,-0.4875,True,0.01330926754978122,0.01330926754978122,0.0,1.7548692642830206e-09
157,0.4375,-0.4875,True,0.013466530444107594,0.013466530444107594,0.0,-1.6987039219006828e-09
158,0.44999999999999996,-0.4875,True,0.013653547117853219,0.013653547117853219,0.0,-3.3212971003206756e-09
159,0.4625,-0.4875,True,0.013884877130938344,0.013884877130938344,0.0,-1.0277862474332187e-09
160,0.475,-0.4875,True,0.014080382003856598,0.014080382003856598,0.0,-3.8838628874647805e-11
161,0.48750000000000004,-0.4875,True,0.01415771503323927,0.01415771503323927,0.0,-8.322783570168312e-09
162,0.5,-0.4875,True,0.01417757812741455,0.01417757812741455,0.0,-7.343890010753918e-09
163,-0.5,-0.475,True,0.0003706068550580826,0.0003706068550580826,0.0,-1.3459746741216846e-09
164,-0.4875,-0.475,True,0.0003564125908288907,0.0003564125908288907,0.0,-1.9492836145802883e-09
165,-0.475,-0.475,True,0.0003322480125820299,0.0003322480125820299,0.0,-2.782316322774563e-10
166,-0.4625,-0.475,True,0.0002946925929525225,0.0002946925929525225,0.0,6.796105713974924e-10
167,-0.45,-0.475,True,0.0002283117027662062,0.0002283117027662062,0.0,-9.98584856256462e-11
168,-0.4375,-0.475,True,0.00017664371131420262,0.00017664371131420262,0.0,-8.160330002118536e-11
169,-0.425,-0.475,True,0.00014359913401749093,0.00014359913401749093,0.0,9.764615531500111e-10
170,-0.4125,-0.475,True,9.51650009525239e-05,9.51650009525239e-05,0.0,-2.2679194670515764e-11
171,-0.4,-0.475,True,6.026979759792082e-05,6.026979759792082e-05,0.0,-5.6860175659932967e-11
172,-0.3875,-0.475,True,4.178102144493684e-05,4.178102144493684e-05,0.0,-1.7030536577642702e-11
173,-0.375,-0.475,True,3.1915654234194186e-05,3.1915654234194186e-05,0.0,2.1514824981707075e-10
174,-0.3625,-0.475,True,2.4890214681798845e-05,2.4890214681798845e-05,0.0,5.686866711302065e-25
175,-0.35,-0.475,True,2.8125158869873965e-05,2.8125158869873965e-05,0.0,-8.032193211500457e-13
176,-0.3375,-0.475,True,4.610010001017971e-05,4.610010001017971e-05,0.0,-2.9976553161524492e-12
177,-0.325,-0.475,True,7.323480580797893e-05,7.323480580797893e-05,0.0,4.653042439938109e-10
178,-0.3125,-0.475,True,9.877170902931277e-05,9.877170902931277e-05,0.0,-8.086458252850853e-11
179,-0.3,-0.475,True,0.0001474541233675686,0.0001474541233675686,0.0,-7.618927786790353e-11
180,-0.2875,-0.475,True,0.00021549283951773096,0.00021549283951773096,0.0,1.4221180302696337e-09
181,-0.275,-0.475,True,0.00026222698389002713,0.00026222698389002713,0.0,-1.7440157276281706e-10
182,-0.2625,-0.475,True,0.0003356870459258744,0.0003356870459258744,0.0,-2.982940566213383e-10
183,-0.25,-0.475,True,0.00046262260928220253,0.00046262260928220253,0.0,3.5935124597681377e-09
184,-0.2375,-0.475,True,0.0005322152064397421,0.0005322152064397421,0.0,-1.386996379254244e-10
185,-0.22499999999999998,-0.475,True,0.0006457638897047357,0.0006457638897047357,0.0,-6.245389849090882e-10
186,-0.21250000000000002,-0.475,True,0.0008240561960972916,0.0008240561960972916,0.0,3.240294112757541e-09
187,-0.2,-0.475,True,0.0009552999392285892,0.0009552999392285892,0.0,9.926582701457477e-10
188,-0.1875,-0.475,True,0.0010987802912957936,0.0010987802912957936,0.0,-1.3620147875088554e-09
189,-0.175,-0.475,True,0.00132102775677763,0.00132102775677763,0.0,-2.5681675040436284e-11
190,-0.16249999999999998,-0.475,True,0.0015750792161750165,0.0015750792161750165,0.0,4.562712739665407e-09
191,-0.15000000000000002,-0.475,True,0.001742823167319553,0.001742823167319553,0.0,-1.6448459498918632e-09
192,-0.1375,-0.475,True,0.0020035019684268565,0.0020035019684268565,0.0,-6.743456974352861e-10
193,-0.125,-0.475,True,0.0023778731403375445,0.0023778731403375445,0.0,1.118473814443858e-08
194,-0.11249999999999999,-0.475,True,0.0025512252535930214,0.0025512252535930214,0.0,-1.4011513774371192e-09
195,-0.09999999999999998,-0.475,True,0.0028608757516933453,0.0028608757516933453,0.0,-1.686304434901917e-09
196,-0.08750000000000002,-0.475,True,0.0033181556062204173,0.0033181556062204173,0.0,1.306897955616657e-08
197,-0.07500000000000001,-0.475,True,0.0035348649243715957,0.0035348649243715957,0.0,-1.696772496502178e-09
198,-0.0625,-0.475,True,0.003883202090973743,0.003883202090973743,0.0,-3.4678485770132494e-09
199,-0.04999999999999999,-0.475,True,0.004377000856646222,0.004377000856646222,0.0,9.569014115649507e-09
200,-0.03749999999999998,-0.475,True,0.0046723531571965845,0.0046723531571965845,0.0,-1.5356407701588698e-09
201,-0.025000000000000022,-0.475,True,0.005035649780639275,0.005035649780639275,0.0,-4.7859030428646246e-09
202,-0.012500000000000011,-0.475,True,0.005515750381507026,0.005515750381507026,0.0,1.8251827980240741e-09
203,0.0,-0.475,True,0.0059314217597076935,0.0059314217597076935,0.0,2.837564915849208e-09
204,0.012499999999999956,-0.475,True,0.006248815605597227,0.006248815605597227,0.0,-6.5369200407848765e-09
205,0.025000000000000022,-0.475,True,0.006710991403459687,0.006710991403459687,0.0,-2.3376497841504668e-09
206,0.03749999999999998,-0.475,True,0.007202936594469877,0.007202936594469877,0.0,7.814329244114811e-09
207,0.050000000000000044,-0.475,True,0.007478708692283115,0.007478708692283115,0.0,-6.209768150484568e-09
208,0.0625,-0.475,True,0.007904115635677007,0.007904115635677007,0.0,-3.2510592987276187e-09
209,0.07499999999999996,-0.475,True,0.008403886626868414,0.008403886626868414,0.0,1.1163198461701945e-08
210,0.08750000000000002,-0.475,True,0.00861775216467491,0.00861775216467491,0.0,-5.941702577633211e-09
211,0.09999999999999998,-0.475,True,0.008983062061314953,0.008983062061314953,0.0,-4.405983163470752e-09
212,0.11250000000000004,-0.475,True,0.00947233123458931,0.00947233123458931,0.0,1.4522127086429111e-08
213,0.125,-0.475,True,0.009623040080501515,0.009623040080501515,0.0,-4.646164187755639e-09
