step,frame,step_time,u1,rf1,d_max
Step-1,0,0.0,0.0,-0.0,0.0
Step-1,10,0.009999999776482582,9.999999747378752e-05,0.00460066320374608,0.0
Step-1,20,0.019999999552965164,0.00019999999494757503,0.00920132640749216,0.0
Step-1,30,0.029999999329447746,0.0003000000142492354,0.013801989145576954,0.0
Step-1,40,0.03999999910593033,0.00039999998989515007,0.01840265281498432,0.0
Step-1,50,0.05000000074505806,0.0005000000237487257,0.023003315553069115,0.0
Step-1,60,0.05999999865889549,0.0006000000284984708,0.027603978291153908,0.0
Step-1,70,0.07000000029802322,0.000699999975040555,0.03220464289188385,0.0
Step-1,80,0.07999999821186066,0.0007999999797903001,0.03680530562996864,0.0
Step-1,90,0.09000000357627869,0.0008999999845400453,0.041405968368053436,0.0
Step-1,100,0.10000000149011612,0.0010000000474974513,0.04600663110613823,0.0
Step-1,110,0.10999999940395355,0.0010999999940395355,0.05060729384422302,0.0
Step-1,120,0.11999999731779099,0.0012000000569969416,0.05520795285701752,0.0
Step-1,130,0.12999999523162842,0.0013000000035390258,0.05980861559510231,0.0
Step-1,140,0.14000000059604645,0.00139999995008111,0.0644092783331871,0.0
Step-1,150,0.15000000596046448,0.001500000013038516,0.0690099447965622,0.0
Step-1,160,0.1599999964237213,0.0015999999595806003,0.07361060380935669,0.0
Step-1,170,0.17000000178813934,0.0017000000225380063,0.07821126282215118,0.0
Step-1,180,0.18000000715255737,0.0017999999690800905,0.08281192928552628,0.0
Step-1,190,0.1899999976158142,0.0019000000320374966,0.08741258829832077,0.0
Step-1,200,0.20000000298023224,0.0020000000949949026,0.09201324731111526,0.0
Step-1,210,0.20999999344348907,0.002099999925121665,0.09661390632390976,0.0
Step-1,220,0.2199999988079071,0.002199999988079071,0.10121457278728485,0.0
Step-1,230,0.23000000417232513,0.002300000051036477,0.10581523180007935,0.0
Step-1,240,0.23999999463558197,0.002400000113993883,0.11041589081287384,0.0
Step-1,250,0.25,0.0024999999441206455,0.11501654982566833,0.0
Step-1,260,0.25999999046325684,0.0026000000070780516,0.11961720883846283,0.0
Step-1,270,0.27000001072883606,0.0027000000700354576,0.12421786785125732,0.0
Step-1,280,0.2800000011920929,0.00279999990016222,0.12881852686405182,0.0
Step-1,290,0.28999999165534973,0.002899999963119626,0.1334191858768463,0.0
Step-1,300,0.30000001192092896,0.003000000026077032,0.1380198448896408,0.0
Step-1,310,0.3100000023841858,0.003100000089034438,0.1426205039024353,0.0
Step-1,320,0.3199999928474426,0.0031999999191612005,0.1472211629152298,0.0
Step-1,330,0.33000001311302185,0.0032999999821186066,0.1518218219280243,0.0
Step-1,340,0.3400000035762787,0.0034000000450760126,0.1564224809408188,0.0
Step-1,350,0.3499999940395355,0.0035000001080334187,0.1610231250524521,0.0
Step-1,360,0.36000001430511475,0.003599999938160181,0.16562378406524658,0.0
Step-1,370,0.3700000047683716,0.003700000001117587,0.17022444307804108,0.0
Step-1,380,0.3799999952316284,0.003800000064074993,0.17482510209083557,0.0
Step-1,390,0.38999998569488525,0.0038999998942017555,0.17942576110363007,0.0
Step-1,400,0.4000000059604645,0.004000000189989805,0.18402640521526337,0.0
Step-1,410,0.4099999964237213,0.004100000020116568,0.18862706422805786,0.0
Step-1,420,0.41999998688697815,0.00419999985024333,0.19322772324085236,0.0
Step-1,430,0.4300000071525574,0.00430000014603138,0.19782836735248566,0.0
Step-1,440,0.4399999976158142,0.004399999976158142,0.20242902636528015,0.0
Step-1,450,0.44999998807907104,0.0044999998062849045,0.20702967047691345,0.0
Step-1,460,0.46000000834465027,0.004600000102072954,0.21163032948970795,0.0
Step-1,470,0.4699999988079071,0.004699999932199717,0.21623097360134125,0.0
Step-1,480,0.47999998927116394,0.004800000227987766,0.22083163261413574,0.0
Step-1,490,0.49000000953674316,0.004900000058114529,0.22543227672576904,0.0
Step-1,500,0.5,0.004999999888241291,0.23003292083740234,0.0
Step-2,100,0.009999999776482582,0.005249999929219484,0.2415345460176468,0.0
Step-2,200,0.019999999552965164,0.005499999970197678,0.25303617119789124,0.0
Step-2,300,0.029999999329447746,0.005750000011175871,0.2645377814769745,0.0
Step-2,400,0.03999999910593033,0.006000000052154064,0.27603939175605774,0.0
Step-2,500,0.05000000074505806,0.0062500000931322575,0.287541002035141,0.0
Step-2,600,0.05999999865889549,0.006500000134110451,0.29904258251190186,0.0
Step-2,700,0.07000000029802322,0.006750000175088644,0.3105441927909851,0.0
Step-2,800,0.07999999821186066,0.007000000216066837,0.32204577326774597,0.0
Step-2,900,0.09000000357627869,0.007249999791383743,0.3335473835468292,0.0
Step-2,1000,0.10000000149011612,0.007499999832361937,0.3450489640235901,0.0
Step-2,1100,0.10999999940395355,0.00774999987334013,0.35655054450035095,0.0
Step-2,1200,0.11999999731779099,0.00800000037997961,0.36805209517478943,0.0
Step-2,1300,0.12999999523162842,0.008249999955296516,0.3795536756515503,0.0
Step-2,1400,0.14000000059604645,0.008500000461935997,0.39105522632598877,0.0
Step-2,1500,0.15000000596046448,0.008750000037252903,0.40255677700042725,0.0
Step-2,1600,0.1599999964237213,0.008999999612569809,0.4140583276748657,0.0
Step-2,1700,0.17000000178813934,0.00925000011920929,0.4255598783493042,0.0
Step-2,1800,0.18000000715255737,0.009499999694526196,0.4370613992214203,0.0
Step-2,1900,0.1899999976158142,0.009750000201165676,0.44856294989585876,0.0
Step-2,2000,0.20000000298023224,0.009999999776482582,0.46006447076797485,0.0
