element,integration_point,H_old,H_actual,H_actual_minus_H_old,abs_H_actual_minus_H_old
9,4,3.605994353180927e-06,3.605994353180927e-06,0.0,0.0
10,1,2.3237942829660757e-06,2.3237942829660757e-06,0.0,0.0
10,2,1.9293609916224216e-06,1.9293609916224216e-06,0.0,0.0
10,3,2.004785529107901e-06,2.004785529107901e-06,0.0,0.0
10,4,2.5184674551309258e-06,2.5184674551309258e-06,0.0,0.0
11,1,1.5876003978482735e-06,1.5876003978482735e-06,0.0,0.0
11,2,1.1992541714221305e-06,1.1992541714221305e-06,0.0,0.0
11,3,1.0193065510904266e-06,1.0193065510904266e-06,0.0,0.0
11,4,1.5278495366464154e-06,1.5278495366464154e-06,0.0,0.0
12,1,1.0289851479563328e-06,1.0289851479563328e-06,0.0,0.0
12,2,1.4098135467947205e-06,1.4098135467947205e-06,0.0,0.0
12,3,9.754908560604001e-07,9.754908560604001e-07,0.0,0.0
12,4,8.365778839581504e-07,8.365778839581504e-07,0.0,0.0
13,1,1.7346888398107377e-06,1.7346888398107377e-06,0.0,0.0
13,2,2.5527585100260607e-06,2.5527585100260607e-06,0.0,0.0
13,3,2.3123948622099154e-06,2.3123948622099154e-06,0.0,0.0
13,4,1.2907621280249903e-06,1.2907621280249903e-06,0.0,0.0
14,1,3.3396992725890736e-06,3.3396992725890736e-06,0.0,0.0
14,2,4.324993514441356e-06,4.324993514441356e-06,0.0,0.0
14,3,4.714422655930473e-06,4.714422655930473e-06,0.0,0.0
14,4,3.3982989303300276e-06,3.3982989303300276e-06,0.0,0.0
15,1,4.8001538599327245e-06,4.8001538599327245e-06,0.0,0.0
15,2,7.545510539540331e-06,7.545510539540331e-06,0.0,0.0
15,3,6.42710074455326e-06,6.42710074455326e-06,0.0,0.0
15,4,5.255008986726017e-06,5.255008986726017e-06,0.0,0.0
16,1,8.228578829724928e-06,8.228578829724928e-06,0.0,0.0
16,2,1.013644028313071e-05,1.013644028313071e-05,0.0,0.0
16,3,9.288957116680473e-06,9.288957116680473e-06,0.0,0.0
16,4,7.018783138959445e-06,7.018783138959445e-06,0.0,0.0
17,1,1.2157401586986393e-05,1.2157401586986393e-05,0.0,0.0
17,2,1.4986857341088272e-05,1.4986857341088272e-05,0.0,0.0
17,3,1.5896727095770482e-05,1.5896727095770482e-05,0.0,0.0
17,4,1.2033067780140604e-05,1.2033067780140604e-05,0.0,0.0
18,1,1.653207315950107e-05,1.653207315950107e-05,0.0,0.0
18,2,1.7662635381679035e-05,1.7662635381679035e-05,0.0,0.0
18,3,1.8839383057815885e-05,1.8839383057815885e-05,0.0,0.0
18,4,1.777812815003395e-05,1.777812815003395e-05,0.0,0.0
19,1,2.3741540163194198e-05,2.3741540163194198e-05,0.0,0.0
19,2,2.6443415696140268e-05,2.6443415696140268e-05,0.0,0.0
19,3,2.459327183883261e-05,2.459327183883261e-05,0.0,0.0
19,4,2.1599166547881827e-05,2.1599166547881827e-05,0.0,0.0
20,1,2.9603088030570363e-05,2.9603088030570363e-05,0.0,0.0
20,2,3.460289832764288e-05,3.460289832764288e-05,0.0,0.0
