node,x,y,d_F1,d_D3A5,d_D3A5_minus_d_F1,active_lower_bound,residual_Kd_minus_f
1,-0.5,-0.5,0.00036864133223632093,0.00036864133223632093,0.0,True,-8.271806125530277e-25
2,-0.4875,-0.5,0.00035086221410741297,0.00035086221410741297,0.0,True,5.790264287871194e-24
3,-0.475,-0.5,0.0003204043954042067,0.0003204043954042067,0.0,True,2.481541837659083e-24
4,-0.4625,-0.5,0.00028047126406817436,0.00028047126406817436,0.0,True,4.1359030627651384e-24
5,-0.45,-0.5,0.00023072566359592928,0.00023072566359592928,0.0,True,-5.790264287871194e-24
6,-0.4375,-0.5,0.00019137869072657812,0.00019137869072657812,0.0,True,9.165555210839014e-10
7,-0.425,-0.5,0.00013132407318566284,0.00013132407318566284,0.0,True,0.0
8,-0.4125,-0.5,9.296971224648863e-05,9.296971224648863e-05,0.0,True,6.203854594147708e-25
9,-0.4,-0.5,6.495327271787614e-05,6.495327271787614e-05,0.0,True,1.431559791994932e-10
10,-0.3875,-0.5,4.181620640199759e-05,4.181620640199759e-05,0.0,True,-2.0679515313825692e-25
11,-0.375,-0.5,3.135219183701828e-05,3.135219183701828e-05,0.0,True,8.283426571435203e-11
12,-0.3625,-0.5,2.5666741828164792e-05,2.5666741828164792e-05,0.0,True,-1.809457589959748e-25
13,-0.35,-0.5,3.220688234487778e-05,3.220688234487778e-05,0.0,True,1.1634970065014775e-10
14,-0.3375,-0.5,4.7070538080622995e-05,4.7070538080622995e-05,0.0,True,7.23296194307216e-11
15,-0.325,-0.5,6.916404540953513e-05,6.916404540953513e-05,0.0,True,1.0339757656912846e-24
16,-0.3125,-0.5,0.00010838553270897929,0.00010838553270897929,0.0,True,4.0037804536944977e-10
17,-0.3,-0.5,0.00014664247859031787,0.00014664247859031787,0.0,True,4.1359030627651384e-25
18,-0.2875,-0.5,0.00020126701469545095,0.00020126701469545095,0.0,True,-8.271806125530277e-24
19,-0.275,-0.5,0.0002871937582760399,0.0002871937582760399,0.0,True,1.438272239912042e-09
20,-0.2625,-0.5,0.00034471038984857456,0.00034471038984857456,0.0,True,-5.790264287871194e-24
