Frame,Time,U1_mm,RF1_N
0,0.0,0.0,0.0
1,0.10000000149,9.99999974738e-05,0.00460693736386
2,0.20000000298,0.000199999994948,0.00921387472772
3,0.300000011921,0.000300000014249,0.0138208121352
4,0.40000000596,0.000399999989895,0.0184277494554
5,0.5,0.000500000023749,0.023034686863
6,0.600000023842,0.000600000028498,0.0276416242705
7,0.699999988079,0.000699999975041,0.0322485618526
8,0.800000011921,0.00079999997979,0.0368554989109
9,0.899999976158,0.00089999998454,0.0414624369005
10,1.0,0.0010000000475,0.0460693737259
