step,frame,step_time,u1,rf1,d_max
Step-1,0,0.0,0.0,-0.0,0.0
Step-1,10,0.009999999776482582,9.999999747378752e-05,0.004624389111995697,4.538199573289603e-05
Step-1,20,0.019999999552965164,0.00019999999494757503,0.009248503483831882,0.00018154892313759774
Step-1,30,0.029999999329447746,0.0003000000142492354,0.01387206744402647,0.00040856367559172213
Step-1,40,0.03999999910593033,0.00039999998989515007,0.018494807183742523,0.0007265312015078962
Step-1,50,0.05000000074505806,0.0005000000237487257,0.023116445168852806,0.0011355987517163157
Step-1,60,0.05999999865889549,0.0006000000284984708,0.027736708521842957,0.0016359563451260328
Step-1,70,0.07000000029802322,0.000699999975040555,0.03235531970858574,0.002227836987003684
Step-1,80,0.07999999821186066,0.0007999999797903001,0.03697200119495392,0.002911517396569252
Step-1,90,0.09000000357627869,0.0008999999845400453,0.04158647730946541,0.0036873184144496918
Step-1,100,0.10000000149011612,0.0010000000474974513,0.04619847238063812,0.004555606283247471
Step-1,110,0.10999999940395355,0.0010999999940395355,0.050807707011699677,0.005516793113201857
Step-1,120,0.11999999731779099,0.0012000000569969416,0.055413901805877686,0.00657133711501956
Step-1,130,0.12999999523162842,0.0013000000035390258,0.060016781091690063,0.007719745393842459
Step-1,140,0.14000000059604645,0.00139999995008111,0.06461606174707413,0.008962573483586311
Step-1,150,0.15000000596046448,0.001500000013038516,0.06921146810054779,0.010300429537892342
Step-1,160,0.1599999964237213,0.0015999999595806003,0.07380270212888718,0.01173397060483694
Step-1,170,0.17000000178813934,0.0017000000225380063,0.07838950306177139,0.013263910077512264
Step-1,180,0.18000000715255737,0.0017999999690800905,0.08297157287597656,0.01489101629704237
Step-1,190,0.1899999976158142,0.0019000000320374966,0.08754862844944,0.016616113483905792
Step-1,200,0.20000000298023224,0.0020000000949949026,0.09212038666009903,0.018440090119838715
Step-1,210,0.20999999344348907,0.002099999925121665,0.09668654948472977,0.020363889634609222
Step-1,220,0.2199999988079071,0.002199999988079071,0.10124684125185013,0.022389311343431473
Step-1,230,0.23000000417232513,0.002300000051036477,0.10580096393823624,0.024518417194485664
Step-1,240,0.23999999463558197,0.002400000113993883,0.11034861207008362,0.026751192286610603
Step-1,250,0.25,0.0024999999441206455,0.11488950997591019,0.029088934883475304
Step-1,260,0.25999999046325684,0.0026000000070780516,0.11942334473133087,0.031533025205135345
Step-1,270,0.27000001072883606,0.0027000000700354576,0.12394982576370239,0.03408493474125862
Step-1,280,0.2800000011920929,0.00279999990016222,0.12846864759922028,0.036746226251125336
Step-1,290,0.28999999165534973,0.002899999963119626,0.13297949731349945,0.039518553763628006
Step-1,300,0.30000001192092896,0.003000000026077032,0.13748207688331604,0.0424036867916584
Step-1,310,0.3100000023841858,0.003100000089034438,0.14197605848312378,0.04540349170565605
Step-1,320,0.3199999928474426,0.0031999999191612005,0.1464611440896988,0.048519961535930634
Step-1,330,0.33000001311302185,0.0032999999821186066,0.1509370058774948,0.05175520107150078
Step-1,340,0.3400000035762787,0.0034000000450760126,0.15540333092212677,0.05511145666241646
Step-1,350,0.3499999940395355,0.0035000001080334187,0.1598597764968872,0.05859111249446869
Step-1,360,0.36000001430511475,0.003599999938160181,0.16430601477622986,0.062196698039770126
Step-1,370,0.3700000047683716,0.003700000001117587,0.16874170303344727,0.06593090295791626
Step-1,380,0.3799999952316284,0.003800000064074993,0.17316651344299316,0.0697965994477272
