step,frame,step_time,u1,d_max
Step-1,0,0.0,0.0,0.0
Step-1,10,0.009999999776482582,9.999999747378752e-05,1.746021916915197e-05
Step-1,20,0.019999999552965164,0.00019999999494757503,7.781902240822092e-05
Step-1,30,0.029999999329447746,0.0003000000142492354,0.00018130196258425713
Step-1,40,0.03999999910593033,0.00039999998989515007,0.00032792738056741655
Step-1,50,0.05000000074505806,0.0005000000237487257,0.0005177219863981009
Step-1,60,0.05999999865889549,0.0006000000284984708,0.0007507207919843495
Step-1,70,0.07000000029802322,0.000699999975040555,0.0010269676567986608
Step-1,80,0.07999999821186066,0.0007999999797903001,0.0013465144438669086
Step-1,90,0.09000000357627869,0.0008999999845400453,0.0017094217473641038
Step-1,100,0.10000000149011612,0.0010000000474974513,0.002115759067237377
Step-1,110,0.10999999940395355,0.0010999999940395355,0.002565604168921709
Step-1,120,0.11999999731779099,0.0012000000569969416,0.0030590437818318605
Step-1,130,0.12999999523162842,0.0013000000035390258,0.0035961733665317297
Step-1,140,0.14000000059604645,0.00139999995008111,0.004177097696810961
Step-1,150,0.15000000596046448,0.001500000013038516,0.004801930394023657
Step-1,160,0.1599999964237213,0.0015999999595806003,0.005470793694257736
Step-1,170,0.17000000178813934,0.0017000000225380063,0.006183820776641369
Step-1,180,0.18000000715255737,0.0017999999690800905,0.006941153202205896
Step-1,190,0.1899999976158142,0.0019000000320374966,0.007742941379547119
Step-1,200,0.20000000298023224,0.0020000000949949026,0.008589347824454308
Step-1,210,0.20999999344348907,0.002099999925121665,0.009480542503297329
Step-1,220,0.2199999988079071,0.002199999988079071,0.010416708886623383
Step-1,230,0.23000000417232513,0.002300000051036477,0.01139803696423769
Step-1,240,0.23999999463558197,0.002400000113993883,0.012424729764461517
Step-1,250,0.25,0.0024999999441206455,0.013497000560164452
Step-1,260,0.25999999046325684,0.0026000000070780516,0.014615075662732124
Step-1,270,0.27000001072883606,0.0027000000700354576,0.01577918976545334
Step-1,280,0.2800000011920929,0.00279999990016222,0.016989590600132942
Step-1,290,0.28999999165534973,0.002899999963119626,0.018246538937091827
Step-1,300,0.30000001192092896,0.003000000026077032,0.019550306722521782
Step-1,310,0.3100000023841858,0.003100000089034438,0.020901178941130638
Step-1,320,0.3199999928474426,0.0031999999191612005,0.022299453616142273
Step-1,330,0.33000001311302185,0.0032999999821186066,0.023745443671941757
Step-1,340,0.3400000035762787,0.0034000000450760126,0.025239473208785057
Step-1,350,0.3499999940395355,0.0035000001080334187,0.026781883090734482
Step-1,360,0.36000001430511475,0.003599999938160181,0.028373027220368385
Step-1,370,0.3700000047683716,0.003700000001117587,0.030013276264071465
Step-1,380,0.3799999952316284,0.003800000064074993,0.03170301392674446
Step-1,390,0.38999998569488525,0.0038999998942017555,0.03344264626502991
Step-1,400,0.4000000059604645,0.004000000189989805,0.03523259237408638
Step-1,410,0.4099999964237213,0.004100000020116568,0.0370732881128788
Step-1,420,0.41999998688697815,0.00419999985024333,0.03896518424153328
Step-1,430,0.4300000071525574,0.00430000014603138,0.04090876132249832
Step-1,440,0.4399999976158142,0.004399999976158142,0.04290451109409332
Step-1,450,0.44999998807907104,0.0044999998062849045,0.04495294764637947
Step-1,460,0.46000000834465027,0.004600000102072954,0.047054607421159744
Step-1,470,0.4699999988079071,0.004699999932199717,0.04921004921197891
Step-1,480,0.47999998927116394,0.004800000227987766,0.05141985043883324
Step-1,490,0.49000000953674316,0.004900000058114529,0.053684622049331665
Step-1,500,0.5,0.004999999888241291,0.05600498989224434
Step-2,100,0.009999999776482582,0.005249999929219484,0.062280550599098206
Step-2,200,0.019999999552965164,0.005499999970197678,0.06871023029088974
Step-2,300,0.029999999329447746,0.005750000011175871,0.07551640272140503
Step-2,400,0.03999999910593033,0.006000000052154064,0.08271291851997375
Step-2,500,0.05000000074505806,0.0062500000931322575,0.09031521528959274
Step-2,600,0.05999999865889549,0.006500000134110451,0.09834366291761398
Step-2,700,0.07000000029802322,0.006750000175088644,0.10682807117700577
Step-2,800,0.07999999821186066,0.007000000216066837,0.11578087508678436
Step-2,900,0.09000000357627869,0.007249999791383743,0.12522746622562408
Step-2,1000,0.10000000149011612,0.007499999832361937,0.1351967304944992
Step-2,1100,0.10999999940395355,0.00774999987334013,0.14572171866893768
Step-2,1200,0.11999999731779099,0.00800000037997961,0.1568404734134674
Step-2,1300,0.12999999523162842,0.008249999955296516,0.16859708726406097
Step-2,1400,0.14000000059604645,0.008500000461935997,0.1810431331396103
Step-2,1500,0.15000000596046448,0.008750000037252903,0.19423949718475342
Step-2,1600,0.1599999964237213,0.008999999612569809,0.20825877785682678
Step-2,1700,0.17000000178813934,0.00925000011920929,0.22318874299526215
Step-2,1800,0.18000000715255737,0.009499999694526196,0.23913699388504028
Step-2,1900,0.1899999976158142,0.009750000201165676,0.25623777508735657
Step-2,2000,0.20000000298023224,0.009999999776482582,0.2746622562408447
Step-2,2100,0.20999999344348907,0.010250000283122063,0.2946341633796692
Step-2,2200,0.2199999988079071,0.010499999858438969,0.3164556622505188
Step-2,2300,0.23000000417232513,0.01075000036507845,0.3405517637729645
Step-2,2400,0.23999999463558197,0.010999999940395355,0.3675539791584015
Step-2,2500,0.25,0.011250000447034836,0.3984745442867279
Step-2,2600,0.25999999046325684,0.011500000022351742,0.4351354241371155
Step-2,2700,0.27000001072883606,0.011749999597668648,0.4815317690372467
Step-2,2800,0.2800000011920929,0.012000000104308128,0.5509163737297058
Step-2,2900,0.28999999165534973,0.012249999679625034,0.9455645680427551
Step-2,3000,0.30000001192092896,0.012500000186264515,1.0015329122543335
Step-2,3100,0.3100000023841858,0.012749999761581421,1.0021623373031616
Step-2,3200,0.3199999928474426,0.013000000268220901,1.0024594068527222
Step-2,3300,0.33000001311302185,0.013249999843537807,1.0026607513427734
Step-2,3400,0.3400000035762787,0.013500000350177288,1.0028162002563477
Step-2,3500,0.3499999940395355,0.013749999925494194,1.0029258728027344
Step-2,3600,0.36000001430511475,0.014000000432133675,1.0029770135879517
Step-2,3700,0.3700000047683716,0.01425000000745058,1.0030056238174438
Step-2,3800,0.3799999952316284,0.014499999582767487,1.0031945705413818
Step-2,3900,0.38999998569488525,0.014750000089406967,1.0033514499664307
Step-2,4000,0.4000000059604645,0.014999999664723873,1.0034654140472412
Step-2,4100,0.4099999964237213,0.015250000171363354,1.0035157203674316
Step-2,4200,0.41999998688697815,0.01549999974668026,1.003523826599121
Step-2,4300,0.4300000071525574,0.01575000025331974,1.0035159587860107
Step-2,4400,0.4399999976158142,0.01600000075995922,1.0037566423416138
Step-2,4500,0.44999998807907104,0.016249999403953552,1.004013180732727
