event_index,previous_global_frame,current_global_frame,odb_element,odb_integration_point,mapped_physical_element,previous_sdv16,current_sdv16,sdv16_signed_change,sdv16_decrease_gt_tolerance
120,189,190,84140,4,16436,201.89346313476562,201.89346313476562,0,false
121,196,197,84704,2,17000,175.920654296875,175.920654296875,0,false
122,198,199,84677,1,16973,1440.254638671875,1515.01708984375,74.762451171875,false
123,198,199,84708,2,17004,166.87815856933594,166.87815856933594,0,false
124,189,190,84144,3,16440,201.16105651855469,201.16105651855469,0,false
125,191,192,84147,3,16443,199.681640625,199.681640625,0,false
126,186,187,84134,3,16430,204.5533447265625,204.5533447265625,0,false
127,199,200,84709,2,17005,166.13581848144531,166.13581848144531,0,false
128,186,187,84134,4,16430,203.03425598144531,203.03425598144531,0,false
129,193,194,84150,4,16446,201.81407165527344,201.81407165527344,0,false
130,192,193,84146,3,16442,200.05628967285156,200.05628967285156,0,false
131,196,197,84700,2,16996,201.78329467773438,201.78329467773438,0,false
132,198,199,84706,2,17002,170.25126647949219,170.25126647949219,0,false
133,199,200,84711,1,17007,171.29556274414062,171.29556274414062,0,false
134,192,193,84149,3,16445,199.65434265136719,199.65434265136719,0,false
135,199,200,84677,1,16973,1515.01708984375,1589.4234619140625,74.4063720703125,false
136,181,182,84132,3,16428,268.68121337890625,268.68121337890625,0,false
137,183,184,84135,4,16431,202.06367492675781,202.06367492675781,0,false
138,191,192,84143,4,16439,201.2158203125,201.2158203125,0,false
139,186,187,84133,4,16429,207.03047180175781,207.03047180175781,0,false
140,193,194,84148,3,16444,199.46234130859375,199.46234130859375,0,false
141,186,187,84139,4,16435,201.52493286132812,201.52493286132812,0,false
142,182,183,84133,4,16429,207.03047180175781,207.03047180175781,0,false
143,196,197,84705,1,17001,174.6923828125,174.6923828125,0,false
144,198,199,84709,1,17005,170.50572204589844,170.50572204589844,0,false
145,184,185,84134,4,16430,203.03425598144531,203.03425598144531,0,false
146,194,195,84131,3,16427,232.453857421875,232.453857421875,0,false
147,185,186,84138,3,16434,201.57673645019531,201.57673645019531,0,false
148,187,188,84131,4,16427,220.88490295410156,220.88490295410156,0,false
149,199,200,84709,1,17005,170.50572204589844,170.50572204589844,0,false
150,198,199,84706,1,17002,171.89523315429688,171.89523315429688,0,false
151,195,196,84150,4,16446,201.81407165527344,201.81407165527344,0,false
152,192,193,84145,4,16441,200.09696960449219,200.09696960449219,0,false
