step,frame,global_frame,step_time,rp_u2,rp_rf2,odb_element,odb_integration_point,source_storage_ip,mapped_physical_element,centroid_x,centroid_y,relation_to_worst_event,sdv14,sdv15,sdv16,abs_sdv14_minus_sdv15
Step-2,79,180,0.79411762952804565,0.0063499999232590199,0.7606428861618042,84678,4,3,16974,0.0015,0.00050000000000000001,crack_path_context,0.98903942108154297,0.98942387104034424,239.021728515625,0.00038444995880126953
Step-2,80,181,0.80000001192092896,0.0063599999994039536,0.76055580377578735,83585,1,1,15881,0.00050000000000000001,-0.0015000006999999998,face_neighbor,0.85219293832778931,0.8527148962020874,2.5626449584960938,0.0005219578742980957
Step-2,80,181,0.80000001192092896,0.0063599999994039536,0.76055580377578735,83585,2,2,15881,0.00050000000000000001,-0.0015000006999999998,face_neighbor,0.87879985570907593,0.87913775444030762,3.1566281318664551,0.00033789873123168945
Step-2,80,181,0.80000001192092896,0.0063599999994039536,0.76055580377578735,83585,3,4,15881,0.00050000000000000001,-0.0015000006999999998,face_neighbor,0.93798536062240601,0.93867373466491699,2.4745321273803711,0.00068837404251098633
Step-2,80,181,0.80000001192092896,0.0063599999994039536,0.76055580377578735,83585,4,3,15881,0.00050000000000000001,-0.0015000006999999998,face_neighbor,0.95279693603515625,0.95311617851257324,3.0100438594818115,0.00031924247741699219
Step-2,80,181,0.80000001192092896,0.0063599999994039536,0.76055580377578735,84130,1,1,16426,-0.00050000000000000001,-0.00050000035000000002,face_neighbor,0.8623955249786377,0.86358040571212769,7.945737361907959,0.0011848807334899902
Step-2,80,181,0.80000001192092896,0.0063599999994039536,0.76055580377578735,84130,2,2,16426,-0.00050000000000000001,-0.00050000035000000002,face_neighbor,0.94496715068817139,0.94585722684860229,127.86695098876953,0.0008900761604309082
Step-2,80,181,0.80000001192092896,0.0063599999994039536,0.76055580377578735,84130,3,4,16426,-0.00050000000000000001,-0.00050000035000000002,face_neighbor,0.89984339475631714,0.90122783184051514,43.341106414794922,0.001384437084197998
Step-2,80,181,0.80000001192092896,0.0063599999994039536,0.76055580377578735,84130,4,3,16426,-0.00050000000000000001,-0.00050000035000000002,face_neighbor,0.9742891788482666,0.9749787449836731,138.30830383300781,0.00068956613540649414
Step-2,80,181,0.80000001192092896,0.0063599999994039536,0.76055580377578735,84131,1,1,16427,0.00050000000000000001,-0.00050000035000000002,worst_element+crack_path_context,0.97789067029953003,0.97852879762649536,223.02857971191406,0.00063812732696533203
Step-2,80,181,0.80000001192092896,0.0063599999994039536,0.76055580377578735,84131,2,2,16427,0.00050000000000000001,-0.00050000035000000002,worst_element+crack_path_context,0.9852677583694458,0.98551225662231445,221.97769165039062,0.00024449825286865234
Step-2,80,181,0.80000001192092896,0.0063599999994039536,0.76055580377578735,84131,3,4,16427,0.00050000000000000001,-0.00050000035000000002,worst_element+crack_path_context,1.0011214017868042,1.0014557838439941,220.74034118652344,0.00033438205718994141
Step-2,80,181,0.80000001192092896,0.0063599999994039536,0.76055580377578735,84131,4,3,16427,0.00050000000000000001,-0.00050000035000000002,worst_element+crack_path_context,0.99998265504837036,1.0000416040420532,219.70620727539062,5.8948993682861328e-05
Step-2,80,181,0.80000001192092896,0.0063599999994039536,0.76055580377578735,84132,1,1,16428,0.0015,-0.00050000035000000002,face_neighbor+crack_path_context,0.98819410800933838,0.98827856779098511,232.14762878417969,8.4459781646728516e-05
Step-2,80,181,0.80000001192092896,0.0063599999994039536,0.76055580377578735,84132,2,2,16428,0.0015,-0.00050000035000000002,face_neighbor+crack_path_context,0.98881196975708008,0.988852858543396,222.09455871582031,4.0888786315917969e-05
Step-2,80,181,0.80000001192092896,0.0063599999994039536,0.76055580377578735,84132,3,4,16428,0.0015,-0.00050000035000000002,face_neighbor+crack_path_context,0.99960654973983765,0.99957340955734253,268.68121337890625,3.3140182495117188e-05
Step-2,80,181,0.80000001192092896,0.0063599999994039536,0.76055580377578735,84132,4,3,16428,0.0015,-0.00050000035000000002,face_neighbor+crack_path_context,0.99971777200698853,0.99970865249633789,257.94308471679688,9.1195106506347656e-06
Step-2,80,181,0.80000001192092896,0.0063599999994039536,0.76055580377578735,84676,1,1,16972,-0.00050000000000000001,0.00050000000000000001,crack_path_context,0.90016531944274902,0.90174835920333862,43.748203277587891,0.0015830397605895996
Step-2,80,181,0.80000001192092896,0.0063599999994039536,0.76055580377578735,84676,2,2,16972,-0.00050000000000000001,0.00050000000000000001,crack_path_context,0.97443121671676636,0.97520792484283447,139.79158020019531,0.00077670812606811523
Step-2,80,181,0.80000001192092896,0.0063599999994039536,0.76055580377578735,84676,3,4,16972,-0.00050000000000000001,0.00050000000000000001,crack_path_context,0.86271160840988159,0.86409223079681396,8.02783203125,0.001380622386932373
Step-2,80,181,0.80000001192092896,0.0063599999994039536,0.76055580377578735,84676,4,3,16972,-0.00050000000000000001,0.00050000000000000001,crack_path_context,0.94525998830795288,0.94632905721664429,129.14486694335938,0.0010690689086914062
Step-2,80,181,0.80000001192092896,0.0063599999994039536,0.76055580377578735,84677,1,1,16973,0.00050000000000000001,0.00050000000000000001,face_neighbor+crack_path_context,1.0012111663818359,1.0016016960144043,225.72557067871094,0.00039052963256835938
Step-2,80,181,0.80000001192092896,0.0063599999994039536,0.76055580377578735,84677,2,2,16973,0.00050000000000000001,0.00050000000000000001,face_neighbor+crack_path_context,1.0001094341278076,1.0002510547637939,236.44184875488281,0.00014162063598632812
Step-2,80,181,0.80000001192092896,0.0063599999994039536,0.76055580377578735,84677,3,4,16973,0.00050000000000000001,0.00050000000000000001,face_neighbor+crack_path_context,0.97822558879852295,0.97907298803329468,229.08695983886719,0.00084739923477172852
Step-2,80,181,0.80000001192092896,0.0063599999994039536,0.76055580377578735,84677,4,3,16973,0.00050000000000000001,0.00050000000000000001,face_neighbor+crack_path_context,0.98574084043502808,0.9862942099571228,239.90496826171875,0.00055336952209472656
Step-2,80,181,0.80000001192092896,0.0063599999994039536,0.76055580377578735,84678,1,1,16974,0.0015,0.00050000000000000001,crack_path_context,0.99975317716598511,0.99981784820556641,295.16290283203125,6.4671039581298828e-05
Step-2,80,181,0.80000001192092896,0.0063599999994039536,0.76055580377578735,84678,2,2,16974,0.0015,0.00050000000000000001,crack_path_context,0.99988174438476562,0.99998480081558228,290.32647705078125,0.00010305643081665039
Step-2,80,181,0.80000001192092896,0.0063599999994039536,0.76055580377578735,84678,3,4,16974,0.0015,0.00050000000000000001,crack_path_context,0.98874139785766602,0.98919087648391724,257.5023193359375,0.0004494786262512207
Step-2,80,181,0.80000001192092896,0.0063599999994039536,0.76055580377578735,84678,4,3,16974,0.0015,0.00050000000000000001,crack_path_context,0.98942387104034424,0.98988348245620728,252.79167175292969,0.00045961141586303711
Step-2,81,182,0.81176471710205078,0.006380000151693821,0.76031827926635742,83585,1,1,15881,0.00050000000000000001,-0.0015000006999999998,face_neighbor,0.85314840078353882,0.8535226583480835,2.5626449584960938,0.00037425756454467773
Step-2,81,182,0.81176471710205078,0.006380000151693821,0.76031827926635742,83585,2,2,15881,0.00050000000000000001,-0.0015000006999999998,face_neighbor,0.87939602136611938,0.8796159029006958,3.1566281318664551,0.00021988153457641602
Step-2,81,182,0.81176471710205078,0.006380000151693821,0.76031827926635742,83585,3,4,15881,0.00050000000000000001,-0.0015000006999999998,face_neighbor,0.9392426609992981,0.93971973657608032,2.4745321273803711,0.00047707557678222656
Step-2,81,182,0.81176471710205078,0.006380000151693821,0.76031827926635742,83585,4,3,15881,0.00050000000000000001,-0.0015000006999999998,face_neighbor,0.95332175493240356,0.95348608493804932,3.0100438594818115,0.00016433000564575195
Step-2,81,182,0.81176471710205078,0.006380000151693821,0.76031827926635742,84130,1,1,16426,-0.00050000000000000001,-0.00050000035000000002,face_neighbor,0.8646424412727356,0.86560618877410889,8.3525514602661133,0.00096374750137329102
Step-2,81,182,0.81176471710205078,0.006380000151693821,0.76031827926635742,84130,2,2,16426,-0.00050000000000000001,-0.00050000035000000002,face_neighbor,0.94663184881210327,0.94730311632156372,134.53292846679688,0.00067126750946044922
Step-2,81,182,0.81176471710205078,0.006380000151693821,0.76031827926635742,84130,3,4,16426,-0.00050000000000000001,-0.00050000035000000002,face_neighbor,0.90247815847396851,0.90362304449081421,45.592453002929688,0.0011448860168457031
Step-2,81,182,0.81176471710205078,0.006380000151693821,0.76031827926635742,84130,4,3,16426,-0.00050000000000000001,-0.00050000035000000002,face_neighbor,0.97558915615081787,0.97613668441772461,145.33305358886719,0.00054752826690673828
Step-2,81,182,0.81176471710205078,0.006380000151693821,0.76031827926635742,84131,1,1,16427,0.00050000000000000001,-0.00050000035000000002,worst_element+crack_path_context,0.97905701398849487,0.97949820756912231,231.16775512695312,0.00044119358062744141
Step-2,81,182,0.81176471710205078,0.006380000151693821,0.76031827926635742,84131,2,2,16427,0.00050000000000000001,-0.00050000035000000002,worst_element+crack_path_context,0.98565489053726196,0.98576009273529053,222.65171813964844,0.00010520219802856445
Step-2,81,182,0.81176471710205078,0.006380000151693821,0.76031827926635742,84131,3,4,16427,0.00050000000000000001,-0.00050000035000000002,worst_element+crack_path_context,1.0017374753952026,1.0019780397415161,230.17521667480469,0.00024056434631347656
Step-2,81,182,0.81176471710205078,0.006380000151693821,0.76031827926635742,84131,4,3,16427,0.00050000000000000001,-0.00050000035000000002,worst_element+crack_path_context,1.0000649690628052,1.0000641345977783,220.88490295410156,8.3446502685546875e-07
Step-2,81,182,0.81176471710205078,0.006380000151693821,0.76031827926635742,84132,1,1,16428,0.0015,-0.00050000035000000002,face_neighbor+crack_path_context,0.98828274011611938,0.98827189207077026,232.14762878417969,1.0848045349121094e-05
Step-2,81,182,0.81176471710205078,0.006380000151693821,0.76031827926635742,84132,2,2,16428,0.0015,-0.00050000035000000002,face_neighbor+crack_path_context,0.98886418342590332,0.98887228965759277,222.09455871582031,8.106231689453125e-06
Step-2,81,182,0.81176471710205078,0.006380000151693821,0.76031827926635742,84132,3,4,16428,0.0015,-0.00050000035000000002,face_neighbor+crack_path_context,0.99951475858688354,0.99943745136260986,268.68121337890625,7.7307224273681641e-05
Step-2,81,182,0.81176471710205078,0.006380000151693821,0.76031827926635742,84132,4,3,16428,0.0015,-0.00050000035000000002,face_neighbor+crack_path_context,0.99968403577804565,0.99963927268981934,257.94308471679688,4.4763088226318359e-05
Step-2,81,182,0.81176471710205078,0.006380000151693821,0.76031827926635742,84676,1,1,16972,-0.00050000000000000001,0.00050000000000000001,crack_path_context,0.9033086895942688,0.90496557950973511,46.725948333740234,0.0016568899154663086
Step-2,81,182,0.81176471710205078,0.006380000151693821,0.76031827926635742,84676,2,2,16972,-0.00050000000000000001,0.00050000000000000001,crack_path_context,0.97595477104187012,0.97672677040100098,149.46182250976562,0.00077199935913085938
Step-2,81,182,0.81176471710205078,0.006380000151693821,0.76031827926635742,84676,3,4,16972,-0.00050000000000000001,0.00050000000000000001,crack_path_context,0.86545860767364502,0.86691915988922119,8.5814952850341797,0.0014605522155761719
Step-2,81,182,0.81176471710205078,0.006380000151693821,0.76031827926635742,84676,4,3,16972,-0.00050000000000000001,0.00050000000000000001,crack_path_context,0.9473842978477478,0.94851452112197876,138.09121704101562,0.001130223274230957
Step-2,81,182,0.81176471710205078,0.006380000151693821,0.76031827926635742,84677,1,1,16973,0.00050000000000000001,0.00050000000000000001,face_neighbor+crack_path_context,1.0019700527191162,1.0023438930511475,244.79689025878906,0.00037384033203125
Step-2,81,182,0.81176471710205078,0.006380000151693821,0.76031827926635742,84677,2,2,16973,0.00050000000000000001,0.00050000000000000001,face_neighbor+crack_path_context,1.000399112701416,1.0005698204040527,268.13894653320312,0.00017070770263671875
Step-2,81,182,0.81176471710205078,0.006380000151693821,0.76031827926635742,84677,3,4,16973,0.00050000000000000001,0.00050000000000000001,face_neighbor+crack_path_context,0.97992491722106934,0.98086363077163696,248.99089050292969,0.00093871355056762695
Step-2,81,182,0.81176471710205078,0.006380000151693821,0.76031827926635742,84677,4,3,16973,0.00050000000000000001,0.00050000000000000001,face_neighbor+crack_path_context,0.98690176010131836,0.98764759302139282,272.533935546875,0.00074583292007446289
Step-2,81,182,0.81176471710205078,0.006380000151693821,0.76031827926635742,84678,1,1,16974,0.0015,0.00050000000000000001,crack_path_context,0.99989950656890869,1.0000107288360596,338.65625,0.00011122226715087891
Step-2,81,182,0.81176471710205078,0.006380000151693821,0.76031827926635742,84678,2,2,16974,0.0015,0.00050000000000000001,crack_path_context,1.000105619430542,1.0002572536468506,341.18515014648438,0.00015163421630859375
Step-2,81,182,0.81176471710205078,0.006380000151693821,0.76031827926635742,84678,3,4,16974,0.0015,0.00050000000000000001,crack_path_context,0.98971861600875854,0.99041157960891724,298.5357666015625,0.00069296360015869141
Step-2,81,182,0.81176471710205078,0.006380000151693821,0.76031827926635742,84678,4,3,16974,0.0015,0.00050000000000000001,crack_path_context,0.99043750762939453,0.99117887020111084,300.56027221679688,0.00074136257171630859
Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,83585,1,1,15881,0.00050000000000000001,-0.0015000006999999998,face_neighbor,0.85380250215530396,0.85399949550628662,2.5626449584960938,0.00019699335098266602
Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,83585,2,2,15881,0.00050000000000000001,-0.0015000006999999998,face_neighbor,0.87978202104568481,0.87990576028823853,3.1566281318664551,0.00012373924255371094
Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,83585,3,4,15881,0.00050000000000000001,-0.0015000006999999998,face_neighbor,0.94005364179611206,0.94027364253997803,2.4745321273803711,0.0002200007438659668
Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,83585,4,3,15881,0.00050000000000000001,-0.0015000006999999998,face_neighbor,0.95360517501831055,0.9536978006362915,3.0100438594818115,9.2625617980957031e-05
Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,84130,1,1,16426,-0.00050000000000000001,-0.00050000035000000002,face_neighbor,0.8663794994354248,0.86693859100341797,8.6360950469970703,0.00055909156799316406
Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,84130,2,2,16426,-0.00050000000000000001,-0.00050000035000000002,face_neighbor,0.9477994441986084,0.9481392502784729,139.24598693847656,0.00033980607986450195
Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,84130,3,4,16426,-0.00050000000000000001,-0.00050000035000000002,face_neighbor,0.90455609560012817,0.90524041652679443,47.241359710693359,0.00068432092666625977
Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,84130,4,3,16426,-0.00050000000000000001,-0.00050000035000000002,face_neighbor,0.97657406330108643,0.9769020676612854,150.09910583496094,0.00032800436019897461
Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,84131,1,1,16427,0.00050000000000000001,-0.00050000035000000002,worst_element+crack_path_context,0.97980517148971558,0.98000639677047729,232.23213195800781,0.00020122528076171875
Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,84131,2,2,16427,0.00050000000000000001,-0.00050000035000000002,worst_element+crack_path_context,0.98582655191421509,0.98586833477020264,222.65171813964844,4.1782855987548828e-05
Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,84131,3,4,16427,0.00050000000000000001,-0.00050000035000000002,worst_element+crack_path_context,1.0021572113037109,1.0022841691970825,232.453857421875,0.00012695789337158203
Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,84131,4,3,16427,0.00050000000000000001,-0.00050000035000000002,worst_element+crack_path_context,1.0000337362289429,0.99996775388717651,220.88490295410156,6.5982341766357422e-05
Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,84132,1,1,16428,0.0015,-0.00050000035000000002,face_neighbor+crack_path_context,0.9882577657699585,0.98824739456176758,232.14762878417969,1.0371208190917969e-05
Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,84132,2,2,16428,0.0015,-0.00050000035000000002,face_neighbor+crack_path_context,0.98887872695922852,0.98888528347015381,222.09455871582031,6.5565109252929688e-06
Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,84132,3,4,16428,0.0015,-0.00050000035000000002,face_neighbor+crack_path_context,0.99934053421020508,0.99921154975891113,268.68121337890625,0.00012898445129394531
Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,84132,4,3,16428,0.0015,-0.00050000035000000002,face_neighbor+crack_path_context,0.99957013130187988,0.99946200847625732,257.94308471679688,0.00010812282562255859
Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,84676,1,1,16972,-0.00050000000000000001,0.00050000000000000001,crack_path_context,0.90669512748718262,0.90866851806640625,50.416236877441406,0.0019733905792236328
Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,84676,2,2,16972,-0.00050000000000000001,0.00050000000000000001,crack_path_context,0.97750866413116455,0.97836679220199585,161.67866516113281,0.00085812807083129883
Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,84676,3,4,16972,-0.00050000000000000001,0.00050000000000000001,crack_path_context,0.86845254898071289,0.87020635604858398,9.2778444290161133,0.0017538070678710938
Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,84676,4,3,16972,-0.00050000000000000001,0.00050000000000000001,crack_path_context,0.94970381259918213,0.95105332136154175,149.22874450683594,0.0013495087623596191
Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,84677,1,1,16973,0.00050000000000000001,0.00050000000000000001,face_neighbor+crack_path_context,1.0027116537094116,1.0030930042266846,272.01629638671875,0.00038135051727294922
Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,84677,2,2,16973,0.00050000000000000001,0.00050000000000000001,face_neighbor+crack_path_context,1.0007541179656982,1.0009478330612183,329.05075073242188,0.00019371509552001953
Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,84677,3,4,16973,0.00050000000000000001,0.00050000000000000001,face_neighbor+crack_path_context,0.98187446594238281,0.9830249547958374,278.71746826171875,0.0011504888534545898
Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,84677,4,3,16973,0.00050000000000000001,0.00050000000000000001,face_neighbor+crack_path_context,0.98851501941680908,0.98952615261077881,336.3408203125,0.0010111331939697266
Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,84678,1,1,16974,0.0015,0.00050000000000000001,crack_path_context,1.0001372098922729,1.0002682209014893,428.91152954101562,0.00013101100921630859
Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,84678,2,2,16974,0.0015,0.00050000000000000001,crack_path_context,1.0004094839096069,1.0005565881729126,443.77789306640625,0.00014710426330566406
Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,84678,3,4,16974,0.0015,0.00050000000000000001,crack_path_context,0.99123114347457886,0.99219107627868652,383.30551147460938,0.00095993280410766602
Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,84678,4,3,16974,0.0015,0.00050000000000000001,crack_path_context,0.99201107025146484,0.99297046661376953,396.75222778320312,0.0009593963623046875
Step-2,83,184,0.83529412746429443,0.0064199999906122684,0.7597002387046814,83585,1,1,15881,0.00050000000000000001,-0.0015000006999999998,face_neighbor,0.85408776998519897,0.85410892963409424,2.5626449584960938,2.1159648895263672e-05
Step-2,83,184,0.83529412746429443,0.0064199999906122684,0.7597002387046814,83585,2,2,15881,0.00050000000000000001,-0.0015000006999999998,face_neighbor,0.87997519969940186,0.88001382350921631,3.1566281318664551,3.8623809814453125e-05
Step-2,83,184,0.83529412746429443,0.0064199999906122684,0.7597002387046814,83585,3,4,15881,0.00050000000000000001,-0.0015000006999999998,face_neighbor,0.94036197662353516,0.94037127494812012,2.4745321273803711,9.2983245849609375e-06
Step-2,83,184,0.83529412746429443,0.0064199999906122684,0.7597002387046814,83585,4,3,15881,0.00050000000000000001,-0.0015000006999999998,face_neighbor,0.9537651538848877,0.95382332801818848,3.0100438594818115,5.817413330078125e-05
Step-2,83,184,0.83529412746429443,0.0064199999906122684,0.7597002387046814,84130,1,1,16426,-0.00050000000000000001,-0.00050000035000000002,face_neighbor,0.86716526746749878,0.8671690821647644,8.6782331466674805,3.814697265625e-06
Step-2,83,184,0.83529412746429443,0.0064199999906122684,0.7597002387046814,84130,2,2,16426,-0.00050000000000000001,-0.00050000035000000002,face_neighbor,0.94827353954315186,0.94827711582183838,140.02508544921875,3.5762786865234375e-06
Step-2,83,184,0.83529412746429443,0.0064199999906122684,0.7597002387046814,84130,3,4,16426,-0.00050000000000000001,-0.00050000035000000002,face_neighbor,0.90552747249603271,0.90553265810012817,47.572231292724609,5.1856040954589844e-06
Step-2,83,184,0.83529412746429443,0.0064199999906122684,0.7597002387046814,84130,4,3,16426,-0.00050000000000000001,-0.00050000035000000002,face_neighbor,0.97706073522567749,0.97710597515106201,150.66653442382812,4.5239925384521484e-05
Step-2,83,184,0.83529412746429443,0.0064199999906122684,0.7597002387046814,84131,1,1,16427,0.00050000000000000001,-0.00050000035000000002,worst_element+crack_path_context,0.98008537292480469,0.98008990287780762,232.23213195800781,4.5299530029296875e-06
