step,frame,global_frame,step_time,rp_u2,rp_rf2,odb_element,odb_integration_point,source_storage_ip,mapped_physical_element,mapped_u2_element,centroid_x,centroid_y,sdv15,overshoot,inside_connected_crack_corridor,overlaps_sdv15_decrease_gt_precision_location
Step-2,78,179,0.78235292434692383,0.0063299997709691525,0.76082175970077515,84131,3,4,16427,50279,0.00050000000000000001,-0.00050000035000000002,1.0003368854522705,0.00033688545227050781,true,true
Step-2,78,179,0.78235292434692383,0.0063299997709691525,0.76082175970077515,84677,1,1,16973,50825,0.00050000000000000001,0.00050000000000000001,1.0003716945648193,0.00037169456481933594,true,true
Step-2,79,180,0.79411762952804565,0.0063499999232590199,0.7606428861618042,84131,3,4,16427,50279,0.00050000000000000001,-0.00050000035000000002,1.0011214017868042,0.0011214017868041992,true,true
Step-2,79,180,0.79411762952804565,0.0063499999232590199,0.7606428861618042,84677,1,1,16973,50825,0.00050000000000000001,0.00050000000000000001,1.0012111663818359,0.0012111663818359375,true,true
Step-2,79,180,0.79411762952804565,0.0063499999232590199,0.7606428861618042,84677,2,2,16973,50825,0.00050000000000000001,0.00050000000000000001,1.0001094341278076,0.00010943412780761719,true,true
Step-2,80,181,0.80000001192092896,0.0063599999994039536,0.76055580377578735,84131,3,4,16427,50279,0.00050000000000000001,-0.00050000035000000002,1.0014557838439941,0.0014557838439941406,true,true
Step-2,80,181,0.80000001192092896,0.0063599999994039536,0.76055580377578735,84131,4,3,16427,50279,0.00050000000000000001,-0.00050000035000000002,1.0000416040420532,4.1604042053222656e-05,true,true
Step-2,80,181,0.80000001192092896,0.0063599999994039536,0.76055580377578735,84677,1,1,16973,50825,0.00050000000000000001,0.00050000000000000001,1.0016016960144043,0.0016016960144042969,true,true
Step-2,80,181,0.80000001192092896,0.0063599999994039536,0.76055580377578735,84677,2,2,16973,50825,0.00050000000000000001,0.00050000000000000001,1.0002510547637939,0.00025105476379394531,true,true
Step-2,81,182,0.81176471710205078,0.006380000151693821,0.76031827926635742,84131,3,4,16427,50279,0.00050000000000000001,-0.00050000035000000002,1.0019780397415161,0.0019780397415161133,true,true
Step-2,81,182,0.81176471710205078,0.006380000151693821,0.76031827926635742,84131,4,3,16427,50279,0.00050000000000000001,-0.00050000035000000002,1.0000641345977783,6.4134597778320312e-05,true,true
Step-2,81,182,0.81176471710205078,0.006380000151693821,0.76031827926635742,84677,1,1,16973,50825,0.00050000000000000001,0.00050000000000000001,1.0023438930511475,0.0023438930511474609,true,true
Step-2,81,182,0.81176471710205078,0.006380000151693821,0.76031827926635742,84677,2,2,16973,50825,0.00050000000000000001,0.00050000000000000001,1.0005698204040527,0.00056982040405273438,true,true
Step-2,81,182,0.81176471710205078,0.006380000151693821,0.76031827926635742,84678,1,1,16974,50826,0.0015,0.00050000000000000001,1.0000107288360596,1.0728836059570312e-05,true,true
Step-2,81,182,0.81176471710205078,0.006380000151693821,0.76031827926635742,84678,2,2,16974,50826,0.0015,0.00050000000000000001,1.0002572536468506,0.00025725364685058594,true,true
Step-2,81,182,0.81176471710205078,0.006380000151693821,0.76031827926635742,84679,1,1,16975,50827,0.0025000000000000001,0.00050000000000000001,1.0002776384353638,0.00027763843536376953,true,true
Step-2,81,182,0.81176471710205078,0.006380000151693821,0.76031827926635742,84679,2,2,16975,50827,0.0025000000000000001,0.00050000000000000001,1.000086784362793,8.678436279296875e-05,true,true
Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,84131,3,4,16427,50279,0.00050000000000000001,-0.00050000035000000002,1.0022841691970825,0.0022841691970825195,true,true
Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,84677,1,1,16973,50825,0.00050000000000000001,0.00050000000000000001,1.0030930042266846,0.0030930042266845703,true,true
Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,84677,2,2,16973,50825,0.00050000000000000001,0.00050000000000000001,1.0009478330612183,0.00094783306121826172,true,true
Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,84678,1,1,16974,50826,0.0015,0.00050000000000000001,1.0002682209014893,0.00026822090148925781,true,true
Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,84678,2,2,16974,50826,0.0015,0.00050000000000000001,1.0005565881729126,0.00055658817291259766,true,true
Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,84679,1,1,16975,50827,0.0025000000000000001,0.00050000000000000001,1.0005946159362793,0.00059461593627929688,true,true
Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,84679,2,2,16975,50827,0.0025000000000000001,0.00050000000000000001,1.0004103183746338,0.00041031837463378906,true,true
Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,84680,1,1,16976,50828,0.0034999999999999996,0.00050000000000000001,1.0003113746643066,0.00031137466430664062,true,true
Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,84680,2,2,16976,50828,0.0034999999999999996,0.00050000000000000001,1.0002251863479614,0.00022518634796142578,true,true
Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,84681,1,1,16977,50829,0.0045000000000000005,0.00050000000000000001,1.0001494884490967,0.00014948844909667969,true,true
Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,84681,2,2,16977,50829,0.0045000000000000005,0.00050000000000000001,1.0000288486480713,2.8848648071289062e-05,true,true
Step-2,83,184,0.83529412746429443,0.0064199999906122684,0.7597002387046814,84131,3,4,16427,50279,0.00050000000000000001,-0.00050000035000000002,1.0023409128189087,0.0023409128189086914,true,true
Step-2,83,184,0.83529412746429443,0.0064199999906122684,0.7597002387046814,84677,1,1,16973,50825,0.00050000000000000001,0.00050000000000000001,1.0038449764251709,0.0038449764251708984,true,true
Step-2,83,184,0.83529412746429443,0.0064199999906122684,0.7597002387046814,84677,2,2,16973,50825,0.00050000000000000001,0.00050000000000000001,1.0012730360031128,0.001273036003112793,true,true
Step-2,83,184,0.83529412746429443,0.0064199999906122684,0.7597002387046814,84678,1,1,16974,50826,0.0015,0.00050000000000000001,1.0004388093948364,0.00043880939483642578,true,true
Step-2,83,184,0.83529412746429443,0.0064199999906122684,0.7597002387046814,84678,2,2,16974,50826,0.0015,0.00050000000000000001,1.0007315874099731,0.00073158740997314453,true,true
Step-2,83,184,0.83529412746429443,0.0064199999906122684,0.7597002387046814,84679,1,1,16975,50827,0.0025000000000000001,0.00050000000000000001,1.0007752180099487,0.00077521800994873047,true,true
Step-2,83,184,0.83529412746429443,0.0064199999906122684,0.7597002387046814,84679,2,2,16975,50827,0.0025000000000000001,0.00050000000000000001,1.0006016492843628,0.00060164928436279297,true,true
Step-2,83,184,0.83529412746429443,0.0064199999906122684,0.7597002387046814,84680,1,1,16976,50828,0.0034999999999999996,0.00050000000000000001,1.0005186796188354,0.00051867961883544922,true,true
