element,ip,d_interpolated_transfer,sdv15_odb,sdv15_abs_error,H_transfer,sdv16_odb,sdv16_abs_error
1,1,0.263172451421,0.263172451421,5.55111512313e-17,0.120952687252,0.120952688158,9.05615721303e-10
2,1,0.380029794517,0.380029794517,0.0,0.146027628426,0.146027624607,3.81877726663e-09
3,1,0.459138655793,0.459138655793,0.0,0.132111001229,0.132110998034,3.19441417762e-09
4,1,0.402906310811,0.402906310811,0.0,0.109544771755,0.109544768929,2.82571685495e-09
5,1,0.253166412659,0.253166412659,5.55111512313e-17,0.164115401521,0.164115399122,2.3990579523e-09
6,1,0.350941314447,0.350941314447,0.0,0.187061211935,0.187061205506,6.42875050416e-09
7,1,0.41899492152,0.41899492152,0.0,0.155416744974,0.155416741967,3.00666658237e-09
8,1,0.37274266104,0.37274266104,0.0,0.123956011381,0.123956009746,1.63576464873e-09
