node,d_transfer,d_odb,abs_error
1,0.206710879178,None,
2,0.252217794753,None,
3,0.346250589605,None,
4,0.347331836494,None,
5,0.260524258251,None,
6,0.241664933422,None,
7,0.352096198334,None,
8,0.569554595376,None,
9,0.573417601696,None,
10,0.430351546802,None,
11,0.20313748219,None,
12,0.21576703669,None,
13,0.266347427387,None,
14,0.266660061619,None,
15,0.220541434043,None,
