target_abs_u,abs_u_error,step,frame,step_time,rp_u1,rp_rf1,max_sdv14,max_sdv15,max_sdv16
0.002,9.499490256914545e-11,Step-1,20,0.20000000298023224,0.0020000000949949026,0.02561930939555168,0.00850269477814436,0.008589347824454308,0.01672546938061714
0.005,1.1175870905794083e-10,Step-1,50,0.5,0.004999999888241291,0.06337489187717438,0.05577043443918228,0.05600498989224434,0.11609626561403275
0.006,5.2154064053566707e-11,Step-2,4,0.03999999910593033,0.006000000052154064,0.07560866326093674,0.08263897150754929,0.08271291851997375,0.17797626554965973
0.007,2.1606683716507424e-10,Step-2,8,0.07999999821186066,0.007000000216066837,0.08759729564189911,0.11568894982337952,0.11578087508678436,0.2612399756908417
