element,bulk_energy_from_SDV12,bulk_energy_from_stress_strain,undamaged_bulk_energy_from_SDV13,relative_sdv12_vs_stress_strain
56,1.3342139185056542e-07,1.334213861901248e-07,1.364411041335625e-07,4.2425285441830013e-08
57,3.5535234234244154e-07,3.553523449203168e-07,3.638631826128423e-07,7.254420301926767e-09
58,4.2984237403595536e-07,4.298423821804942e-07,4.3983913627061325e-07,1.8947733356479983e-08
59,4.6704529327367964e-07,4.6704529554599524e-07,4.778823435544271e-07,4.865300251930933e-09
60,3.6767550796476277e-07,3.6767551077614665e-07,3.76102070726928e-07,7.646372403001467e-09
61,1.8678585149416752e-07,1.8678585570612197e-07,1.9089522067195782e-07,2.2549643437438875e-08
62,3.052628357148605e-08,3.052628343903698e-08,3.114750478847785e-08,4.338853302000379e-09
63,1.957082574371329e-08,1.9570825973999107e-08,1.9955939844115713e-08,1.1766790983105873e-08
64,2.3545572828409922e-08,2.3545572838932732e-08,2.403861303967644e-08,4.4691244038662155e-10
65,3.560828773298083e-08,3.5608288343262996e-08,3.7035525143156435e-08,1.7138767346827375e-08
66,3.0186825860963335e-07,3.0186824982313173e-07,3.474703834262813e-07,2.9107073595789096e-08
67,1.7824133739702601e-07,1.7824133372811058e-07,1.8836864041786168e-07,2.0583976099463532e-08
68,5.440269334353843e-07,5.440269490821224e-07,5.583748540483322e-07,2.87609614039228e-08
69,4.817606719849512e-07,4.817606642221335e-07,4.89943887545238e-07,1.6113431901098953e-08
70,3.3228203186893946e-07,3.3228202976311073e-07,3.36923161612833e-07,6.337473968595467e-09
71,3.972335528670526e-07,3.972335627820996e-07,4.018135288177454e-07,2.4960244807279876e-08
72,5.918900381806091e-07,5.918900510370605e-07,6.003119132410804e-07,2.1721012778229636e-08
73,6.841013412695894e-07,6.841013668110197e-07,6.931178826473076e-07,3.733573920487791e-08
