sequence,label,python_type,nested_element_types,repr,exact_api_call,exception,rule_object_created
1,byte_string,str,[],'MISESERI',"model.RemeshingRule(**{'maxElementSize': 0.01, 'name': 'F11_01_byte_string', 'errorTarget': 1.0, 'region': MODEL, 'stepName': 'SOURCE_STEP', 'coarseningFactor': NOT_ALLOWED, 'refinementFactor': 10, 'minElementSize': 0.001, 'specifyMinSize': ON, 'specifyMaxSize': ON, 'sizingMethod': UNIFORM_ERROR, 'variables': 'MISESERI'})","TypeError: variables; found string, expecting sequence of Strings",False
2,byte_string_tuple,tuple,['str'],"('MISESERI',)","model.RemeshingRule(**{'maxElementSize': 0.01, 'name': 'F11_02_byte_string_tuple', 'errorTarget': 1.0, 'region': MODEL, 'stepName': 'SOURCE_STEP', 'coarseningFactor': NOT_ALLOWED, 'refinementFactor': 10, 'minElementSize': 0.001, 'specifyMinSize': ON, 'specifyMaxSize': ON, 'sizingMethod': UNIFORM_ERROR, 'variables': ('MISESERI',)})",,True
