1 1 4.67079605199490177e-05
1 2 4.14287415953941537e-05
1 3 4.14269910032683312e-05
1 4 4.67068178833167399e-05
2 1 3.78065150847278441e-05
2 2 3.31874403270304046e-05
2 3 3.31830760301831231e-05
2 4 3.78026776844308379e-05
3 1 3.00272170348704145e-05
3 2 2.67235676934429286e-05
3 3 2.80302574144799880e-05
3 4 3.00991190103307593e-05
4 1 2.47315965040900435e-05
4 2 2.15854152134460341e-05
4 3 2.10881549960451415e-05
4 4 2.54274779425151602e-05
5 1 1.94827901627861039e-05
5 2 1.74440434892323918e-05
5 3 1.58946284798117116e-05
5 4 1.82869111639357115e-05
6 1 1.26563399499385526e-05
6 2 1.06213329818487968e-05
6 3 1.16150374396713292e-05
6 4 1.26453622807235038e-05
7 1 9.64675836453001124e-06
7 2 7.83579035954336812e-06
7 3 7.98676816393859059e-06
7 4 1.04597164132038217e-05
8 1 6.46052758316507319e-06
8 2 5.02857128598621860e-06
8 3 4.20885738725362301e-06
8 4 6.05066077831520400e-06
9 1 4.43860917565202149e-06
9 2 2.50111820305286347e-06
9 3 2.70711067577735407e-06
9 4 3.60599435318092711e-06
10 1 2.32379428296607570e-06
10 2 1.92936099162242158e-06
10 3 2.00478552910790117e-06
10 4 2.51846745513092578e-06
11 1 1.58760039784827355e-06
11 2 1.19925417142213050e-06
11 3 1.01930655109042656e-06
11 4 1.52784953664641544e-06
12 1 1.02898514795633284e-06
12 2 1.40981354679472045e-06
12 3 9.75490856060400110e-07
12 4 8.36577883958150423e-07
13 1 1.73468883981073775e-06
13 2 2.55275851002606065e-06
13 3 2.31239486220991539e-06
13 4 1.29076212802499027e-06
14 1 3.33969927258907360e-06
14 2 4.32499351444135591e-06
14 3 4.71442265593047314e-06
14 4 3.39829893033002761e-06
15 1 4.80015385993272455e-06
15 2 7.54551053954033102e-06
15 3 6.42710074455325990e-06
15 4 5.25500898672601721e-06
16 1 8.22857882972492769e-06
16 2 1.01364402831307096e-05
16 3 9.28895711668047345e-06
16 4 7.01878313895944530e-06
17 1 1.21574015869863930e-05
17 2 1.49868573410882716e-05
17 3 1.58967270957704818e-05
17 4 1.20330677801406037e-05
18 1 1.65320731595010710e-05
18 2 1.87687235100005687e-05
18 3 1.88393830578158853e-05
18 4 1.77781281500339515e-05
19 1 2.37415401631941981e-05
19 2 2.64434156961402679e-05
19 3 2.52210462371466201e-05
19 4 2.15991665478818271e-05
20 1 2.96030880305703627e-05
20 2 3.46028983276428826e-05
20 3 3.56916724527206849e-05
20 4 2.87567695518401058e-05
21 1 3.77420890824385207e-05
21 2 4.16499782698440794e-05
21 3 4.26887261399248161e-05
21 4 3.97778639324608104e-05
22 1 5.08963981756822606e-05
22 2 5.40371917256327703e-05
22 3 5.18625316218104018e-05
22 4 4.76727071071170072e-05
23 1 5.80998429697750658e-05
23 2 6.53195548198152152e-05
23 3 6.58663622001548878e-05
23 4 5.65179286901305357e-05
24 1 7.04617442841524457e-05
24 2 7.65935050555804637e-05
24 3 7.89008802798901932e-05
24 4 7.29004827351323006e-05
25 1 8.26210391114251790e-05
25 2 9.50438918849158608e-05
25 3 9.14006640534071371e-05
25 4 8.26626098675181426e-05
26 1 9.99217263213923067e-05
26 2 1.09716017039706117e-04
26 3 1.08845338310465138e-04
26 4 9.81843075761165338e-05
27 1 1.17643077363223885e-04
27 2 1.26409021298267094e-04
27 3 1.31204249555818365e-04
27 4 1.19916679285061748e-04
28 1 1.34442636837321563e-04
28 2 1.53625245876719816e-04
28 3 1.47157500921061846e-04
28 4 1.35300787378348864e-04
29 1 1.58459526754822766e-04
29 2 1.69547666456484815e-04
29 3 1.68081268822508029e-04
29 4 1.55428928033149829e-04
30 1 1.79815253463842741e-04
30 2 1.92909139740081979e-04
30 3 1.98448831031148784e-04
30 4 1.80696748861928190e-04
31 1 2.02850080993362080e-04
31 2 2.31923595036484531e-04
31 3 2.24317549676062182e-04
31 4 2.06460383156664300e-04
32 1 2.36225908008721064e-04
32 2 2.47308520064616654e-04
32 3 2.45101259466442320e-04
32 4 2.29498718086653796e-04
33 1 2.58739523331110778e-04
33 2 2.75038529307337345e-04
33 3 2.79991282388337103e-04
33 4 2.57864811129597255e-04
34 1 2.87910888586895687e-04
34 2 3.05334304905058220e-04
34 3 3.05414706756617802e-04
34 4 2.91995322285941395e-04
35 1 3.28214257602155385e-04
35 2 3.39761446348758357e-04
35 3 3.37974473117881027e-04
35 4 3.19794902698121366e-04
36 1 3.52967429761208863e-04
36 2 3.73532126899687469e-04
36 3 3.77325698697809756e-04
36 4 3.53047000427859459e-04
37 1 3.87551379383651153e-04
37 2 4.07062588469190450e-04
37 3 4.07142077762570023e-04
37 4 3.94317208476663002e-04
38 1 4.32566135561438057e-04
38 2 4.43349758921649374e-04
38 3 4.43426005482269769e-04
38 4 4.23408745444213582e-04
39 1 4.60049132744389997e-04
39 2 4.81645208399638204e-04
39 3 4.83418276358852793e-04
39 4 4.60122945680463175e-04
40 1 4.98290114626943545e-04
40 2 5.18050740774570200e-04
40 3 5.23088230386267901e-04
40 4 5.05826152270146814e-04
41 1 5.46083486830673155e-04
41 2 5.56025081942841540e-04
41 3 5.56089906193171237e-04
41 4 5.36821165624008475e-04
42 1 5.73304261863752645e-04
42 2 5.94004794658653523e-04
42 3 5.94064492147210080e-04
42 4 5.73364945210488148e-04
43 1 6.11196261902664860e-04
43 2 6.31715233118924479e-04
43 3 6.38385375352172948e-04
43 4 6.16269729050228409e-04
44 1 6.48723605376718511e-04
44 2 6.68998133781799299e-04
44 3 6.69047176929238709e-04
44 4 6.48774046556665064e-04
45 1 6.85692249959623970e-04
45 2 7.05505753579304252e-04
45 3 7.05547751822215106e-04
45 4 6.85735612724645035e-04
46 1 7.21732971704724491e-04
46 2 7.40976544238002174e-04
46 3 7.46552591361877805e-04
46 4 7.21771843585591205e-04
47 1 7.56673690354905753e-04
47 2 7.75337206851597557e-04
47 3 7.75368228172649524e-04
47 4 7.56706204791892647e-04
48 1 7.90399247186643447e-04
48 2 8.08264014187924217e-04
48 3 8.08287633720125619e-04
48 4 7.90424151977742206e-04
49 1 8.22560679311537860e-04
49 2 8.39557228064892057e-04
49 3 8.41615838771391628e-04
49 4 8.22582306300966666e-04
50 1 8.53086650970115022e-04
50 2 8.69291440428329883e-04
50 3 8.69306635288941490e-04
50 4 8.53103141528183616e-04
51 1 8.82001926022086473e-04
51 2 8.97218283765361768e-04
51 3 8.97226936392848127e-04
51 4 8.82011598939542747e-04
52 1 9.09023877425303543e-04
52 2 9.23242995565246678e-04
52 3 9.23247813673205939e-04
52 4 9.09029615557614213e-04
53 1 9.34170066221963035e-04
53 2 9.47451216164770416e-04
53 3 9.47451925999655514e-04
53 4 9.34171528620294372e-04
54 1 9.57492630520763205e-04
54 2 9.69747176162626015e-04
54 3 9.69744812922502457e-04
54 4 9.57490899199391781e-04
55 1 9.78887855037293038e-04
55 2 9.90149488838222569e-04
55 3 9.90145123058518888e-04
55 4 9.78884040526402290e-04
56 1 9.98450211003002732e-04
56 2 1.00880702566532449e-03
56 3 1.00880067883852100e-03
56 4 9.98444315304715087e-04
57 1 1.01631607471125277e-03
57 2 1.02577199594961008e-03
57 3 1.02576406712105044e-03
57 4 1.01630850501434767e-03
58 1 1.03251665203384470e-03
58 2 1.04110540457872671e-03
58 3 1.04109561004706334e-03
58 4 1.03250710158992007e-03
59 1 1.04715771153060695e-03
59 2 1.05499280109260679e-03
59 3 1.05498215688650259e-03
59 4 1.04714724578686006e-03
60 1 1.06042874724975272e-03
60 2 1.06755393775521306e-03
60 3 1.06754296662386634e-03
60 4 1.06041790976727857e-03
61 1 1.07242943066876840e-03
61 2 1.07891086317336046e-03
61 3 1.07889897858041983e-03
61 4 1.07241760912580295e-03
62 1 1.08331935543453544e-03
62 2 1.08929660351752048e-03
62 3 1.08928467892826695e-03
62 4 1.08330746563240561e-03
63 1 1.09333861288827433e-03
63 2 1.09889906613380825e-03
63 3 1.09888702915772224e-03
63 4 1.09332658194062344e-03
64 1 1.10264043503252151e-03
64 2 1.10784227414215900e-03
64 3 1.10782978270150502e-03
64 4 1.10262790751628923e-03
65 1 1.11136462089349427e-03
65 2 1.11634000747905119e-03
65 3 1.11632784089168622e-03
65 4 1.11135241296554384e-03
66 1 1.11976081817195578e-03
66 2 1.12466372950544838e-03
66 3 1.12465142853555725e-03
66 4 1.11974845750378426e-03
67 1 1.12807031519517346e-03
67 2 1.13296271524292494e-03
67 3 1.13295013533573153e-03
67 4 1.12805764940204192e-03
68 1 1.13643617057397573e-03
68 2 1.14146277748797308e-03
68 3 1.14145009148579964e-03
68 4 1.13642338483759507e-03
69 1 1.14512309018397818e-03
69 2 1.15045148614361650e-03
69 3 1.15043830530084921e-03
69 4 1.14510977571332111e-03
70 1 1.15438602601850428e-03
70 2 1.16008288060256721e-03
70 3 1.16006940866070435e-03
70 4 1.15437239305625884e-03
71 1 1.16437495328619014e-03
71 2 1.17061171494612357e-03
71 3 1.17059794119172764e-03
71 4 1.16436100640998630e-03
72 1 1.17539694670527493e-03
72 2 1.18235815248687892e-03
72 3 1.18234397429179566e-03
72 4 1.17538253406664203e-03
73 1 1.18773296735737708e-03
73 2 1.19551589742390480e-03
73 3 1.19550153375541949e-03
73 4 1.18771832671920761e-03
74 1 1.20156676049317239e-03
74 2 1.21032513262224191e-03
74 3 1.21031066441044423e-03
74 4 1.20155193393186427e-03
75 1 1.21719345383296414e-03
75 2 1.22717459708860223e-03
75 3 1.22716040522680430e-03
75 4 1.21717883115798637e-03
76 1 1.23499333505448870e-03
76 2 1.24632870454669822e-03
76 3 1.24631524326444029e-03
76 4 1.23497937935124788e-03
77 1 1.25519760811989797e-03
77 2 1.26804545898317935e-03
77 3 1.26803325512125833e-03
77 4 1.25518473854134408e-03
78 1 1.27812690807685273e-03
78 2 1.29278694811235922e-03
78 3 1.29324306411812738e-03
78 4 1.27861445855191082e-03
79 1 1.30427616218513776e-03
79 2 1.32098997897757203e-03
79 3 1.32098313134208388e-03
79 4 1.30426843712861968e-03
80 1 1.33405121505739978e-03
80 2 1.35302683507261871e-03
80 3 1.35302453041505322e-03
80 4 1.33404771436693463e-03
81 1 4.66098770063741460e-05
81 2 4.13407229459658896e-05
81 3 4.13354475168089730e-05
81 4 4.66064354311837724e-05
82 1 3.77281931164254612e-05
82 2 3.31196531997059529e-05
82 3 3.31065107121302919e-05
82 4 3.77166397800948581e-05
83 1 3.11649773507991163e-05
83 2 2.90179743567800364e-05
83 3 2.98459011713459978e-05
83 4 3.20009462930446410e-05
84 1 2.59771368536370472e-05
84 2 2.06854273696920537e-05
84 3 2.03183132058279564e-05
84 4 2.64511338523581538e-05
85 1 1.75018052562401206e-05
85 2 1.47994856610211461e-05
85 3 1.45863614956387691e-05
85 4 1.74723702169581350e-05
86 1 1.28986840987671996e-05
86 2 1.23590972572146259e-05
86 3 1.29766404324263639e-05
86 4 1.33632886674963911e-05
87 1 1.11394470599029500e-05
87 2 8.20240627400782586e-06
87 3 8.59411670368317838e-06
87 4 1.17816706422182417e-05
88 1 5.83551502159370110e-06
88 2 3.98260009225723513e-06
88 3 3.94696640073694466e-06
88 4 5.93688066045607770e-06
89 1 3.13169178925600447e-06
89 2 2.82495079920151167e-06
89 3 2.85724761275556552e-06
89 4 3.00404359778331492e-06
90 1 2.63984344910286884e-06
90 2 2.06080480259739040e-06
90 3 2.09183952473487164e-06
90 4 2.67706897457545477e-06
91 1 1.49809308148751838e-06
91 2 9.19859473955686231e-07
91 3 9.21584581607427727e-07
91 4 1.51488195528693450e-06
92 1 7.36608466738639065e-07
92 2 7.56477476846050718e-07
92 3 6.83665012616615466e-07
92 4 7.34977728750821808e-07
93 1 1.05012731405686057e-06
93 2 2.17159388894754987e-06
93 3 2.17095193398685656e-06
93 4 1.04481867651770137e-06
94 1 3.43552032804906610e-06
94 2 4.93809235872187262e-06
94 3 4.95107670036857081e-06
94 4 3.44207343912714932e-06
95 1 5.49774681244061794e-06
95 2 5.86974325479360665e-06
95 3 5.73795901434802268e-06
95 4 5.51035829141568418e-06
96 1 6.78359147460008550e-06
96 2 8.97732206088608157e-06
96 3 8.98108326282735545e-06
96 4 6.78190561077198672e-06
97 1 1.19910345178316311e-05
97 2 1.64822808873954818e-05
97 3 1.66578677815215573e-05
97 4 1.20806910907426411e-05
98 1 1.85141077284136151e-05
98 2 1.94657985270208475e-05
98 3 1.96829216936402187e-05
98 4 1.86938221315809718e-05
99 1 2.11015406044143463e-05
99 2 2.50642681911984931e-05
99 3 2.51034866478770762e-05
99 4 2.11333994114635308e-05
100 1 2.82620259011620353e-05
100 2 3.64973426824208983e-05
100 3 3.69750971042321844e-05
100 4 2.82816737382808524e-05
101 1 4.11377944147731366e-05
101 2 4.40372863311203251e-05
101 3 4.45984648511781891e-05
101 4 4.17707621561378312e-05
102 1 4.57877766957301522e-05
102 2 5.16072107854339366e-05
102 3 5.16915512910071789e-05
102 4 4.55500392396261113e-05
103 1 5.62496342592479968e-05
103 2 6.62912800924816173e-05
103 3 6.65801961048005463e-05
103 4 5.63409931684416044e-05
104 1 7.46213012587487441e-05
104 2 8.10904890740235735e-05
104 3 8.21362724348848874e-05
104 4 7.55177640265042560e-05
105 1 8.25364157083315791e-05
105 2 9.10668692659559540e-05
105 3 9.12018990101036621e-05
105 4 8.34097423549918777e-05
106 1 9.78436911138131152e-05
106 2 1.08230989395137310e-04
106 3 1.07955629711752827e-04
106 4 9.79853719994655786e-05
107 1 1.21570292254226885e-04
107 2 1.34403536258282633e-04
107 3 1.36034116146617625e-04
107 4 1.22482227154572886e-04
108 1 1.38386552708369062e-04
108 2 1.45794236943560049e-04
108 3 1.45978459771434687e-04
108 4 1.39887256109186807e-04
109 1 1.55070244457177853e-04
109 2 1.67734624809659852e-04
109 3 1.67933237062358452e-04
109 4 1.55259200670520984e-04
110 1 1.81503872833659150e-04
110 2 2.02509262676147213e-04
110 3 2.05197976094411333e-04
110 4 1.82362808636394431e-04
111 1 2.11030199758350205e-04
111 2 2.19558117020041919e-04
111 3 2.17484790770757462e-04
111 4 2.13835328387682391e-04
112 1 2.29185462449503952e-04
112 2 2.44824993064482411e-04
112 3 2.45055908013567701e-04
112 4 2.29408615794221966e-04
113 1 2.57620840216519803e-04
113 2 2.83639886787448404e-04
113 3 2.85800222030393699e-04
113 4 2.57852091208773482e-04
114 1 2.97237017165928347e-04
114 2 3.05208813209464458e-04
114 3 3.07198476469102680e-04
114 4 3.00294585147123025e-04
115 1 3.19604892890039221e-04
115 2 3.37853057701546495e-04
115 3 3.38095569782985233e-04
115 4 3.19842738154654186e-04
116 1 3.52984792112735681e-04
116 2 3.79530850443940849e-04
116 3 3.79268087483536625e-04
116 4 3.53223708067449511e-04
117 1 3.99273641185057425e-04
117 2 4.11403078442378045e-04
117 3 4.12819845555873887e-04
117 4 4.00402890747369100e-04
118 1 4.23520186671367909e-04
118 2 4.43586684598866953e-04
118 3 4.43817778300290477e-04
118 4 4.23750614198792656e-04
119 1 4.60332202157287692e-04
119 2 4.83863862612767632e-04
119 3 4.82171950027750413e-04
119 4 4.60554442812806451e-04
120 1 5.09708454999253870e-04
120 2 5.27997936896686310e-04
120 3 5.27323313737930064e-04
120 4 5.08549325734474183e-04
121 1 5.35746458230792750e-04
121 2 5.56546229763586406e-04
121 3 5.56742829348111281e-04
121 4 5.35945489494291691e-04
122 1 5.73863345607941657e-04
122 2 5.94642395450579878e-04
122 3 5.94822484749960934e-04
122 4 5.74046443327139578e-04
123 1 6.18927910764468852e-04
123 2 6.42683434327328130e-04
123 3 6.50299328138753381e-04
123 4 6.16967211530616215e-04
124 1 6.49512955506426244e-04
124 2 6.69801255735908503e-04
124 3 6.69948597637079544e-04
124 4 6.49664524431100752e-04
125 1 6.86514268245489671e-04
125 2 7.06383519464781509e-04
125 3 7.06511066838609461e-04
125 4 6.86646084622019094e-04
126 1 7.22656662234310806e-04
126 2 7.50572086585290827e-04
126 3 7.61855296478599568e-04
126 4 7.22772142575910169e-04
127 1 7.58740531256690159e-04
127 2 7.76312827625524893e-04
127 3 7.76405131431914591e-04
127 4 7.61072008112201890e-04
128 1 7.91371651569851699e-04
128 2 8.09272665912954322e-04
128 3 8.09344950559429599e-04
128 4 7.91447935977798549e-04
129 1 8.23612149376877446e-04
129 2 8.45419822420089202e-04
129 3 8.44434642212451322e-04
129 4 8.23675055672320111e-04
130 1 8.56059123047662389e-04
130 2 8.70343111558698462e-04
130 3 8.70387014048761205e-04
130 4 8.60407338473236083e-04
131 1 8.83020337492903184e-04
131 2 8.98220147140692347e-04
131 3 8.98246675271294941e-04
131 4 8.83049961645660680e-04
132 1 9.10015424702358697e-04
132 2 9.24210048910679613e-04
132 3 9.24225021413356096e-04
132 4 9.10033184889745854e-04
133 1 9.35119027890447753e-04
133 2 9.48365438411732540e-04
133 3 9.48369401765077492e-04
133 4 9.35125368518725602e-04
134 1 9.58399812958163322e-04
134 2 9.70654954137599273e-04
134 3 9.70648109597429610e-04
134 4 9.58394879990598510e-04
135 1 9.79795107172858797e-04
135 2 9.91032177843290205e-04
135 3 9.91019013142681055e-04
135 4 9.79783585540457396e-04
136 1 9.99325590081599812e-04
136 2 1.00966761038098762e-03
136 3 1.00964859084920456e-03
136 4 9.99307920571588420e-04
137 1 1.01716168905379789e-03
137 2 1.02657165660811878e-03
137 3 1.02654627309226639e-03
137 4 1.01713728418041855e-03
