frame,time,element,ip,sdv1,sdv2,sdv3,sdv4,sdv5,sdv6,sdv7,sdv8,sdv9,sdv10,sdv11,sdv12,sdv13,sdv14,sdv15,sdv16,expected_sdv6,expected_sdv7,expected_sdv8,expected_sdv9,expected_sdv10,expected_sdv11,expected_sdv15,degradation_from_sdv14,sdv14_minus_sdv15
0,0.0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000001,0.0
0,0.0,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000001,0.0
0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000001,0.0
0,0.0,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000001,0.0
1,0.0010000000474974513,3,1,3.497411154006594e-39,2.113248592650052e-05,-1.2115385499216505e-38,9.999999747378752e-05,0.0,0.012115385383367538,0.02826923318207264,0.0,0.012115384452044964,0.02826923131942749,0.0,1.4134616321825888e-06,1.413461518495751e-06,0.0,0.0,0.0,0.012115385520862687,0.028269232882012933,0.0,0.012115384309324255,0.028269230055089925,0.0,0.0,1.0000001,0.0
1,0.0010000000474974513,3,2,-3.497411154006594e-39,2.113248592650052e-05,-1.2115385499216505e-38,9.999999747378752e-05,0.0,0.012115385383367538,0.02826923318207264,0.0,0.012115384452044964,0.02826923131942749,0.0,1.4134616321825888e-06,1.413461518495751e-06,0.0,0.0,0.0,0.012115385520862687,0.028269232882012933,0.0,0.012115384309324255,0.028269230055089925,0.0,0.0,1.0000001,0.0
1,0.0010000000474974513,3,3,3.497411154006594e-39,7.88675170042552e-05,-1.2115385499216505e-38,9.999999747378752e-05,0.0,0.012115385383367538,0.02826923318207264,0.0,0.012115384452044964,0.02826923131942749,0.0,1.4134616321825888e-06,1.413461518495751e-06,0.0,0.0,0.0,0.012115385520862687,0.028269232882012933,0.0,0.012115384309324255,0.028269230055089925,0.0,0.0,1.0000001,0.0
1,0.0010000000474974513,3,4,-3.497411154006594e-39,7.88675170042552e-05,-1.2115385499216505e-38,9.999999747378752e-05,0.0,0.012115385383367538,0.02826923318207264,0.0,0.012115384452044964,0.02826923131942749,0.0,1.4134616321825888e-06,1.413461518495751e-06,0.0,0.0,0.0,0.012115385520862687,0.028269232882012933,0.0,0.012115384309324255,0.028269230055089925,0.0,0.0,1.0000001,0.0
2,0.0020000000949949026,3,1,6.994820906714724e-39,4.226497185300104e-05,-2.423077099843301e-38,0.00019999999494757503,0.0,0.024230770766735077,0.05653846636414528,0.0,0.024230768904089928,0.05653846263885498,0.0,5.653846528730355e-06,5.653846073983004e-06,0.0,5.6538461649324745e-05,1.413461518495751e-06,0.024230771041725375,0.056538465764025866,0.0,0.02423076861864851,0.05653846011017985,0.0,5.653526432300771e-05,1.0000001,-5.6538461649324745e-05
2,0.0020000000949949026,3,2,-6.994820906714724e-39,4.226497185300104e-05,-2.423077099843301e-38,0.00019999999494757503,0.0,0.024230770766735077,0.05653846636414528,0.0,0.024230768904089928,0.05653846263885498,0.0,5.653846528730355e-06,5.653846073983004e-06,0.0,5.6538461649324745e-05,1.413461518495751e-06,0.024230771041725375,0.056538465764025866,0.0,0.02423076861864851,0.05653846011017985,0.0,5.653526432300771e-05,1.0000001,-5.6538461649324745e-05
2,0.0020000000949949026,3,3,6.994820906714724e-39,0.0001577350340085104,-2.423077099843301e-38,0.00019999999494757503,0.0,0.024230770766735077,0.05653846636414528,0.0,0.024230768904089928,0.05653846263885498,0.0,5.653846528730355e-06,5.653846073983004e-06,0.0,5.6538461649324745e-05,1.413461518495751e-06,0.024230771041725375,0.056538465764025866,0.0,0.02423076861864851,0.05653846011017985,0.0,5.653526432300771e-05,1.0000001,-5.6538461649324745e-05
2,0.0020000000949949026,3,4,-6.994820906714724e-39,0.0001577350340085104,-2.423077099843301e-38,0.00019999999494757503,0.0,0.024230770766735077,0.05653846636414528,0.0,0.024230768904089928,0.05653846263885498,0.0,5.653846528730355e-06,5.653846073983004e-06,0.0,5.6538461649324745e-05,1.413461518495751e-06,0.024230771041725375,0.056538465764025866,0.0,0.02423076861864851,0.05653846011017985,0.0,5.653526432300771e-05,1.0000001,-5.6538461649324745e-05
3,0.003000000026077032,3,1,1.0491045160922035e-38,6.339746323646978e-05,-3.6342047890552113e-38,0.0003000000142492354,0.0,0.03634204715490341,0.08479811251163483,0.0,0.03634615242481232,0.08480769395828247,0.0,1.2719716323772445e-05,1.2721154234895948e-05,5.6538461649324745e-05,0.00022612827888224274,5.653846073983004e-06,0.03634204941185723,0.08479811529433354,0.0,0.036346155572503515,0.08480769633584152,0.0,0.00022610270896278474,0.999887026273299,-0.000169589817232918
3,0.003000000026077032,3,2,-1.0491045160922035e-38,6.339746323646978e-05,-3.6342047890552113e-38,0.0003000000142492354,0.0,0.03634204715490341,0.08479811251163483,0.0,0.03634615242481232,0.08480769395828247,0.0,1.2719716323772445e-05,1.2721154234895948e-05,5.6538461649324745e-05,0.00022612827888224274,5.653846073983004e-06,0.03634204941185723,0.08479811529433354,0.0,0.036346155572503515,0.08480769633584152,0.0,0.00022610270896278474,0.999887026273299,-0.000169589817232918
3,0.003000000026077032,3,3,1.0491045160922035e-38,0.000236602543736808,-3.6342047890552113e-38,0.0003000000142492354,0.0,0.03634204715490341,0.08479811251163483,0.0,0.03634615242481232,0.08480769395828247,0.0,1.2719716323772445e-05,1.2721154234895948e-05,5.6538461649324745e-05,0.00022612827888224274,5.653846073983004e-06,0.03634204941185723,0.08479811529433354,0.0,0.036346155572503515,0.08480769633584152,0.0,0.00022610270896278474,0.999887026273299,-0.000169589817232918
