u1_mm,rf1_h1_kN,rf1_h2_kN,d_h1,d_h2,rel_diff_pct
0.0003000000142492354,0.0038502230308949947,0.003844769671559334,0.00018130196258425713,0.0001871953863883391,-0.141637
0.00039999998989515007,0.0051334635354578495,0.005126192234456539,0.00032792738056741655,0.00033858802635222673,-0.141645
0.0005000000237487257,0.006416556425392628,0.006407467182725668,0.0005177219863981009,0.0005345548270270228,-0.141653
0.0006000000284984708,0.0076994639821350574,0.007688557263463736,0.0007507207919843495,0.0007751330849714577,-0.141656
0.000699999975040555,0.00898214802145958,0.008969424292445183,0.0010269676567986608,0.0010603689588606358,-0.141656
0.0007999999797903001,0.010264570824801922,0.010250029154121876,0.0013465144438669086,0.0013903183862566948,-0.141669
0.0008999999845400453,0.011546693742275238,0.011530334129929543,0.0017094217473641038,0.001765045220963657,-0.141682
0.0010000000474974513,0.012828479520976543,0.012810301966965199,0.002115759067237377,0.0021846238523721695,-0.141697
0.0010999999940395355,0.01410988811403513,0.014089892618358135,0.002565604168921709,0.0026491363532841206,-0.141713
0.0012000000569969416,0.015390882268548012,0.015369069762527943,0.0030590437818318605,0.003158675506711006,-0.141724
0.0013000000035390258,0.016671424731612206,0.016647793352603912,0.0035961733665317297,0.0037133428268134594,-0.141748
0.00139999995008111,0.017951475456357002,0.01792602799832821,0.004177097696810961,0.0043132491409778595,-0.141757
0.001500000013038516,0.019230995327234268,0.019203729927539825,0.004801930394023657,0.004958516452461481,-0.141778
0.0015999999595806003,0.020509948953986168,0.020480865612626076,0.005470793694257736,0.005649274680763483,-0.141801
0.0017000000225380063,0.02178829535841942,0.021757395938038826,0.006183820776641369,0.006385664455592632,-0.141817
0.0017999999690800905,0.023065997287631035,0.023033279925584793,0.006941153202205896,0.0071678366512060165,-0.141842
0.0019000000320374966,0.024343015626072884,0.024308480322360992,0.007742941379547119,0.007995952852070332,-0.141869
