uel_integration_point,integration_point,expected_sdv16,sdv16_error,odb_integration_point,odb_sdv12,step,sdv15_error,odb_sdv13,expected_sdv15,odb_sdv16,odb_sdv15,frame_index,element,frame_tag
4,4,6.050660778315204e-06,0.0,3,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,8.693331978468542e-05,6.050660778315204e-06,8.693331978468542e-05,1,8,F0_ingested
1,1,4.4386091756520215e-06,0.0,1,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,5.944673590377873e-05,4.4386091756520215e-06,5.944673590377873e-05,1,9,F0_ingested
2,2,2.5011182030528635e-06,0.0,2,0.0,INGEST_COMPATIBLE_STATE,6.776263578034403e-21,0.0,4.6569357997446765e-05,2.5011182030528635e-06,4.656935799744677e-05,1,9,F0_ingested
3,3,2.707110675777354e-06,0.0,4,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,4.619701818656029e-05,2.707110675777354e-06,4.619701818656029e-05,1,9,F0_ingested
4,4,3.605994353180927e-06,0.0,3,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,5.776078901964685e-05,3.605994353180927e-06,5.776078901964685e-05,1,9,F0_ingested
1,1,2.3237942829660757e-06,0.0,1,0.0,INGEST_COMPATIBLE_STATE,6.776263578034403e-21,0.0,3.964294910293592e-05,2.3237942829660757e-06,3.964294910293593e-05,1,10,F0_ingested
2,2,1.9293609916224216e-06,0.0,2,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,3.359702599546726e-05,1.9293609916224216e-06,3.359702599546726e-05,1,10,F0_ingested
3,3,2.004785529107901e-06,0.0,4,0.0,INGEST_COMPATIBLE_STATE,6.776263578034403e-21,0.0,3.368862534502102e-05,2.004785529107901e-06,3.3688625345021025e-05,1,10,F0_ingested
4,4,2.5184674551309258e-06,0.0,3,0.0,INGEST_COMPATIBLE_STATE,1.3552527156068805e-20,0.0,3.974690136987449e-05,2.5184674551309258e-06,3.97469013698745e-05,1,10,F0_ingested
1,1,1.5876003978482735e-06,0.0,1,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,3.0152768685328855e-05,1.5876003978482735e-06,3.0152768685328855e-05,1,11,F0_ingested
2,2,1.1992541714221305e-06,0.0,2,0.0,INGEST_COMPATIBLE_STATE,6.776263578034403e-21,0.0,2.678880582715887e-05,1.1992541714221305e-06,2.6788805827158878e-05,1,11,F0_ingested
3,3,1.0193065510904266e-06,0.0,4,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,2.6571845588678918e-05,1.0193065510904266e-06,2.6571845588678918e-05,1,11,F0_ingested
4,4,1.5278495366464154e-06,0.0,3,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,3.0158379788214676e-05,1.5278495366464154e-06,3.0158379788214676e-05,1,11,F0_ingested
1,1,1.0289851479563328e-06,0.0,1,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,2.6840727887707926e-05,1.0289851479563328e-06,2.6840727887707926e-05,1,12,F0_ingested
2,2,1.4098135467947205e-06,0.0,2,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,3.034654445333157e-05,1.4098135467947205e-06,3.034654445333157e-05,1,12,F0_ingested
3,3,9.754908560604001e-07,0.0,4,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,2.9039958702244e-05,9.754908560604001e-07,2.9039958702244e-05,1,12,F0_ingested
4,4,8.365778839581504e-07,0.0,3,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,2.6272165561895135e-05,8.365778839581504e-07,2.6272165561895135e-05,1,12,F0_ingested
1,1,1.7346888398107377e-06,0.0,1,0.0,INGEST_COMPATIBLE_STATE,-6.776263578034403e-21,0.0,3.483131914581827e-05,1.7346888398107377e-06,3.4831319145818265e-05,1,13,F0_ingested
2,2,2.5527585100260607e-06,0.0,2,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,4.357813490056737e-05,2.5527585100260607e-06,4.357813490056737e-05,1,13,F0_ingested
3,3,2.3123948622099154e-06,0.0,4,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,4.2618247612314724e-05,2.3123948622099154e-06,4.2618247612314724e-05,1,13,F0_ingested
4,4,1.2907621280249903e-06,0.0,3,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,3.3419878187066794e-05,1.2907621280249903e-06,3.3419878187066794e-05,1,13,F0_ingested
1,1,3.3396992725890736e-06,0.0,1,0.0,INGEST_COMPATIBLE_STATE,-6.776263578034403e-21,0.0,5.168079346464977e-05,3.3396992725890736e-06,5.1680793464649765e-05,1,14,F0_ingested
2,2,4.324993514441356e-06,0.0,2,0.0,INGEST_COMPATIBLE_STATE,-1.3552527156068805e-20,0.0,6.507085258335687e-05,4.324993514441356e-06,6.507085258335686e-05,1,14,F0_ingested
3,3,4.714422655930473e-06,0.0,4,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,6.664373422075182e-05,4.714422655930473e-06,6.664373422075182e-05,1,14,F0_ingested
4,4,3.3982989303300276e-06,0.0,3,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,5.15205530059885e-05,3.3982989303300276e-06,5.15205530059885e-05,1,14,F0_ingested
1,1,4.8001538599327245e-06,0.0,1,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,7.771948354958197e-05,4.8001538599327245e-06,7.771948354958197e-05,1,15,F0_ingested
2,2,7.545510539540331e-06,0.0,2,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,9.888612687679091e-05,7.545510539540331e-06,9.888612687679091e-05,1,15,F0_ingested
3,3,6.42710074455326e-06,0.0,4,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,9.557780375188767e-05,6.42710074455326e-06,9.557780375188767e-05,1,15,F0_ingested
4,4,5.255008986726017e-06,0.0,3,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,7.844883897885097e-05,5.255008986726017e-06,7.844883897885097e-05,1,15,F0_ingested
1,1,8.228578829724928e-06,0.0,1,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.00011505950951050156,8.228578829724928e-06,0.00011505950951050156,1,16,F0_ingested
2,2,1.013644028313071e-05,0.0,2,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.00013807936926884233,1.013644028313071e-05,0.00013807936926884233,1,16,F0_ingested
3,3,9.288957116680473e-06,0.0,4,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0001367721775347683,9.288957116680473e-06,0.0001367721775347683,1,16,F0_ingested
4,4,7.018783138959445e-06,0.0,3,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.00011120549521783267,7.018783138959445e-06,0.00011120549521783267,1,16,F0_ingested
1,1,1.2157401586986393e-05,0.0,1,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0001585633494769872,1.2157401586986393e-05,0.0001585633494769872,1,17,F0_ingested
2,2,1.4986857341088272e-05,0.0,2,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.00019150676438853354,1.4986857341088272e-05,0.00019150676438853354,1,17,F0_ingested
3,3,1.5896727095770482e-05,0.0,4,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.00019637875528010239,1.5896727095770482e-05,0.00019637875528010239,1,17,F0_ingested
4,4,1.2033067780140604e-05,0.0,3,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.00015959428378517948,1.2033067780140604e-05,0.00015959428378517948,1,17,F0_ingested
1,1,1.653207315950107e-05,0.0,1,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.00022018321141007178,1.653207315950107e-05,0.00022018321141007178,1,18,F0_ingested
2,2,1.7662635381679035e-05,0.0,2,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.00026558530674192525,1.7662635381679035e-05,0.00026558530674192525,1,18,F0_ingested
3,3,1.8839383057815885e-05,0.0,4,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.00025615974781467536,1.8839383057815885e-05,0.00025615974781467536,1,18,F0_ingested
4,4,1.777812815003395e-05,0.0,3,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.00022225339338354243,1.777812815003395e-05,0.00022225339338354243,1,18,F0_ingested
1,1,2.3741540163194198e-05,0.0,1,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0002953101646998666,2.3741540163194198e-05,0.0002953101646998666,1,19,F0_ingested
2,2,2.6443415696140268e-05,0.0,2,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.000331117891556877,2.6443415696140268e-05,0.000331117891556877,1,19,F0_ingested
3,3,2.459327183883261e-05,0.0,4,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.00032718973834344956,2.459327183883261e-05,0.00032718973834344956,1,19,F0_ingested
4,4,2.1599166547881827e-05,0.0,3,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0002842773567033562,2.1599166547881827e-05,0.0002842773567033562,1,19,F0_ingested
1,1,2.9603088030570363e-05,0.0,1,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.00036387093687949474,2.9603088030570363e-05,0.00036387093687949474,1,20,F0_ingested
2,2,3.460289832764288e-05,0.0,2,0.0,INGEST_COMPATIBLE_STATE,-5.421010862427522e-20,0.0,0.00041754619394648217,3.460289832764288e-05,0.0004175461939464821,1,20,F0_ingested
3,3,3.5691672452720685e-05,0.0,4,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0004258956223181724,3.5691672452720685e-05,0.0004258956223181724,1,20,F0_ingested
4,4,2.8756769551840106e-05,0.0,3,0.0,INGEST_COMPATIBLE_STATE,-5.421010862427522e-20,0.0,0.0003651362382484358,2.8756769551840106e-05,0.00036513623824843575,1,20,F0_ingested
1,1,3.774208908243852e-05,0.0,1,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0004583174024068025,3.774208908243852e-05,0.0004583174024068025,1,21,F0_ingested
2,2,4.043057304843925e-05,0.0,2,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0005160311583393923,4.043057304843925e-05,0.0005160311583393923,1,21,F0_ingested
3,3,4.2688726139924816e-05,0.0,4,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0005178353225814623,4.2688726139924816e-05,0.0005178353225814623,1,21,F0_ingested
4,4,3.977786393246081e-05,0.0,3,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0004668112186501787,3.977786393246081e-05,0.0004668112186501787,1,21,F0_ingested
1,1,5.089639817568226e-05,0.0,1,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0005626714222381664,5.089639817568226e-05,0.0005626714222381664,1,22,F0_ingested
2,2,5.403719172563277e-05,0.0,2,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0006323812369554477,5.403719172563277e-05,0.0006323812369554477,1,22,F0_ingested
3,3,5.0785689820378684e-05,0.0,4,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0006278633922353884,5.0785689820378684e-05,0.0006278633922353884,1,22,F0_ingested
4,4,4.767270710711701e-05,0.0,3,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0005609891224328962,4.767270710711701e-05,0.0005609891224328962,1,22,F0_ingested
1,1,5.8099842969775066e-05,0.0,1,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0006867672906615599,5.8099842969775066e-05,0.0006867672906615599,1,23,F0_ingested
2,2,6.531955481981522e-05,0.0,2,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0007656429378925468,6.531955481981522e-05,0.0007656429378925468,1,23,F0_ingested
3,3,6.586636220015489e-05,0.0,4,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0007749373556194287,6.586636220015489e-05,0.0007749373556194287,1,23,F0_ingested
4,4,5.58683522227677e-05,0.0,3,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0006851906485397853,5.58683522227677e-05,0.0006851906485397853,1,23,F0_ingested
1,1,7.046174428415245e-05,0.0,1,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0008246144422015716,7.046174428415245e-05,0.0008246144422015716,1,24,F0_ingested
2,2,7.546434180087591e-05,0.0,2,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0009068519409416073,7.546434180087591e-05,0.0009068519409416073,1,24,F0_ingested
3,3,7.890088027989019e-05,0.0,4,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0009131140465954458,7.890088027989019e-05,0.0009131140465954458,1,24,F0_ingested
4,4,7.29004827351323e-05,0.0,3,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0008360092460646003,7.29004827351323e-05,0.0008360092460646003,1,24,F0_ingested
1,1,7.739265082782239e-05,0.0,1,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0009774969594515152,7.739265082782239e-05,0.0009774969594515152,1,25,F0_ingested
2,2,9.504389188491586e-05,0.0,2,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0010882652405821923,9.504389188491586e-05,0.0010882652405821923,1,25,F0_ingested
3,3,9.003854838960016e-05,0.0,4,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0010744014153861755,9.003854838960016e-05,0.0010744014153861755,1,25,F0_ingested
4,4,8.062508027961142e-05,0.0,3,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0009769910358470653,8.062508027961142e-05,0.0009769910358470653,1,25,F0_ingested
1,1,9.99217263213923e-05,0.0,1,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0011671067409068448,9.99217263213923e-05,0.0011671067409068448,1,26,F0_ingested
2,2,0.00010971601703970612,0.0,2,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0012717374444080765,0.00010971601703970612,0.0012717374444080765,1,26,F0_ingested
3,3,0.00010884533831046514,0.0,4,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.001270627645609746,0.00010884533831046514,0.001270627645609746,1,26,F0_ingested
4,4,9.567410097248948e-05,0.0,3,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0011530811078402986,9.567410097248948e-05,0.0011530811078402986,1,26,F0_ingested
1,1,0.00011764307736322388,0.0,1,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0013552735168922624,0.00011764307736322388,0.0013552735168922624,1,27,F0_ingested
2,2,0.0001264090212982671,0.0,2,0.0,INGEST_COMPATIBLE_STATE,-2.168404344971009e-19,0.0,0.001478867607682583,0.0001264090212982671,0.0014788676076825829,1,27,F0_ingested
3,3,0.00013120424955581837,0.0,4,0.0,INGEST_COMPATIBLE_STATE,-2.168404344971009e-19,0.0,0.0014924356257567742,0.00013120424955581837,0.001492435625756774,1,27,F0_ingested
4,4,0.00011991667928506175,0.0,3,0.0,INGEST_COMPATIBLE_STATE,-2.168404344971009e-19,0.0,0.0013615574146333188,0.00011991667928506175,0.0013615574146333186,1,27,F0_ingested
1,1,0.00013031212012314182,0.0,1,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0015795912746098296,0.00013031212012314182,0.0015795912746098296,1,28,F0_ingested
2,2,0.00015362524587671982,0.0,2,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0017311793593893924,0.00015362524587671982,0.0017311793593893924,1,28,F0_ingested
3,3,0.00014715750092106185,0.0,4,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0017112990473317725,0.00014715750092106185,0.0017112990473317725,1,28,F0_ingested
4,4,0.00013530078737834886,0.0,3,0.0,INGEST_COMPATIBLE_STATE,-2.168404344971009e-19,0.0,0.0015861486137978675,0.00013530078737834886,0.0015861486137978672,1,28,F0_ingested
1,1,0.00015845952675482277,0.0,1,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0018340065089961343,0.00015845952675482277,0.0018340065089961343,1,29,F0_ingested
2,2,0.00016954766645648482,0.0,2,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0019633474213396765,0.00016954766645648482,0.0019633474213396765,1,29,F0_ingested
3,3,0.00016635792446830535,0.0,4,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.001957944580756404,0.00016635792446830535,0.001957944580756404,1,29,F0_ingested
4,4,0.00015216384385613086,0.0,3,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.001810921476427461,0.00015216384385613086,0.001810921476427461,1,29,F0_ingested
1,1,0.00017981525346384274,0.0,1,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.002071132848285182,0.00017981525346384274,0.002071132848285182,1,30,F0_ingested
2,2,0.00019290913974008198,0.0,2,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.002236267198672265,0.00019290913974008198,0.002236267198672265,1,30,F0_ingested
3,3,0.00019844883103114878,0.0,4,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.002254065348756702,0.00019844883103114878,0.002254065348756702,1,30,F0_ingested
4,4,0.0001806967488619282,0.0,3,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.002076684623477825,0.0001806967488619282,0.002076684623477825,1,30,F0_ingested
1,1,0.00019970419942402258,0.0,1,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.002372330306671796,0.00019970419942402258,0.002372330306671796,1,31,F0_ingested
2,2,0.00023192359503648453,0.0,2,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0025789272803751657,0.00023192359503648453,0.0025789272803751657,1,31,F0_ingested
3,3,0.00022431754967606218,0.0,4,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.00253953694921124,0.00022431754967606218,0.00253953694921124,1,31,F0_ingested
4,4,0.0002064603831566643,0.0,3,0.0,INGEST_COMPATIBLE_STATE,-4.336808689942018e-19,0.0,0.0023780862556518375,0.0002064603831566643,0.002378086255651837,1,31,F0_ingested
1,1,0.00023622590800872106,0.0,1,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.002704402304332312,0.00023622590800872106,0.002704402304332312,1,32,F0_ingested
2,2,0.00024730852006461665,0.0,2,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0028406094711607897,0.00024730852006461665,0.0028406094711607897,1,32,F0_ingested
3,3,0.00024141716393663115,0.0,4,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.002825314298179782,0.00024141716393663115,0.002825314298179782,1,32,F0_ingested
4,4,0.00022812949580954317,0.0,3,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0026593713420391546,0.00022812949580954317,0.0026593713420391546,1,32,F0_ingested
1,1,0.0002587395233311108,0.0,1,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0029614460925013095,0.0002587395233311108,0.0029614460925013095,1,33,F0_ingested
2,2,0.00027503852930733735,0.0,2,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.003155370714590096,0.00027503852930733735,0.003155370714590096,1,33,F0_ingested
3,3,0.0002799912823883371,0.0,4,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0031791328711911564,0.0002799912823883371,0.0031791328711911564,1,33,F0_ingested
4,4,0.00025714241685087616,0.0,3,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.002964583980172826,0.00025714241685087616,0.002964583980172826,1,33,F0_ingested
1,1,0.0002844514906946509,0.0,1,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0033222067662033406,0.0002844514906946509,0.0033222067662033406,1,34,F0_ingested
2,2,0.00029200614269899155,0.0,2,0.0,INGEST_COMPATIBLE_STATE,-4.336808689942018e-19,0.0,0.0035840867136561227,0.00029200614269899155,0.0035840867136561223,1,34,F0_ingested
3,3,0.000299715183250577,0.0,4,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.003518815961689445,0.000299715183250577,0.003518815961689445,1,34,F0_ingested
4,4,0.0002919953222859414,0.0,3,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0033276388830580355,0.0002919953222859414,0.0033276388830580355,1,34,F0_ingested
1,1,0.0003282142576021554,0.0,1,0.0,INGEST_COMPATIBLE_STATE,-4.336808689942018e-19,0.0,0.0037316938918141073,0.0003282142576021554,0.003731693891814107,1,35,F0_ingested
2,2,0.00033976144634875836,0.0,2,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0038730842546508084,0.00033976144634875836,0.0038730842546508084,1,35,F0_ingested
3,3,0.00033097501368746236,0.0,4,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.003845738068781704,0.00033097501368746236,0.003845738068781704,1,35,F0_ingested
