node,x,y,reconstructed_residual,forensic_residual,residual_error
181,-0.275,-0.475,-7.894597337809004e-10,-7.894597337808955e-10,-4.963083675318166e-24
182,-0.2625,-0.475,-1.503803313914158e-09,-1.5038033139141467e-09,-1.137373342260413e-23
183,-0.25,-0.475,5.770553107531507e-09,5.770553107531501e-09,5.790264287871194e-24
184,-0.2375,-0.475,1.4133817199532177e-09,1.413381719953219e-09,-1.2407709188295415e-24
185,-0.22499999999999998,-0.475,-4.6320818601121376e-09,-4.632081860112139e-09,1.6543612251060553e-24
186,-0.21250000000000002,-0.475,5.9499466412023956e-09,5.949946641202412e-09,-1.6543612251060553e-23
187,-0.2,-0.475,4.308444060874114e-09,4.308444060874115e-09,-8.271806125530277e-25
188,-0.1875,-0.475,-7.808748408674398e-09,-7.80874840867439e-09,-8.271806125530277e-24
189,-0.175,-0.475,3.2691279608930997e-09,3.2691279608931076e-09,-7.858215819253763e-24
190,-0.16249999999999998,-0.475,8.316646843561714e-09,8.316646843561736e-09,-2.150669592637872e-23
191,-0.15000000000000002,-0.475,-9.636947268443239e-09,-9.636947268443222e-09,-1.6543612251060553e-23
192,-0.1375,-0.475,-7.779560446015534e-10,-7.779560446015733e-10,1.9852334701272664e-23
193,-0.125,-0.475,1.454321976797064e-08,1.4543219767970614e-08,2.6469779601696886e-23
194,-0.11249999999999999,-0.475,-6.668880907320577e-09,-6.668880907320657e-09,8.023651941764368e-23
195,-0.09999999999999998,-0.475,-8.782713219999428e-09,-8.782713219999435e-09,6.617444900424222e-24
196,-0.08750000000000002,-0.475,1.662480315039686e-08,1.6624803150396766e-08,9.26442286059391e-23
197,-0.07500000000000001,-0.475,1.5376370203992437e-09,1.5376370203991132e-09,1.3048774163024012e-22
198,-0.0625,-0.475,-1.2489011176347548e-08,-1.2489011176347524e-08,-2.481541837659083e-23
199,-0.04999999999999999,-0.475,1.8905407438056076e-08,1.8905407438056096e-08,-1.9852334701272664e-23
