node,x,y,d_F1,d_compatible,d_compatible_minus_F1
1,-0.5,-0.5,0.00029949358368940466,0.0003686413322363209,6.914774854691622e-05
2,-0.4875,-0.5,0.0003024925259331761,0.00035086221410741297,4.836968817423687e-05
3,-0.475,-0.5,0.0002955967444676714,0.0003204043954042066,2.4807650936535205e-05
4,-0.4625,-0.5,0.00026722675648941995,0.00028047126406817436,1.3244507578754402e-05
5,-0.45,-0.5,0.0002224358839329488,0.0002307256635959293,8.2897796629805e-06
6,-0.4375,-0.5,0.00019137869072657814,0.00019137869072657814,0.0
7,-0.425,-0.5,0.0001161364884991698,0.00013132407318566287,1.5187584686493071e-05
8,-0.4125,-0.5,8.79515102431872e-05,9.296971224648863e-05,5.018202003301427e-06
9,-0.4,-0.5,6.495327271787614e-05,6.495327271787614e-05,0.0
10,-0.3875,-0.5,3.758110448235131e-05,4.1816206401997606e-05,4.235101919646296e-06
11,-0.375,-0.5,3.1352191837018283e-05,3.1352191837018283e-05,0.0
12,-0.3625,-0.5,2.522101618820705e-05,2.566674182816479e-05,4.4572563995773864e-07
13,-0.35,-0.5,3.220688234487778e-05,3.220688234487778e-05,0.0
14,-0.3375,-0.5,4.7070538080622995e-05,4.7070538080622995e-05,0.0
15,-0.325,-0.5,6.438624773248023e-05,6.916404540953512e-05,4.777797677054887e-06
16,-0.3125,-0.5,0.00010838553270897932,0.00010838553270897932,0.0
17,-0.3,-0.5,0.00014284154402430084,0.00014664247859031784,3.8009345660170064e-06
18,-0.2875,-0.5,0.00019060262595818102,0.00020126701469545097,1.0664388737269959e-05
19,-0.275,-0.5,0.00028719375827603987,0.00028719375827603987,0.0
20,-0.2625,-0.5,0.0003372200696517562,0.0003447103898485746,7.490320196818412e-06
21,-0.25,-0.5,0.00042072627579494326,0.0004331875056418096,1.2461229846866327e-05
22,-0.2375,-0.5,0.0004707810871710676,0.0005373917326390356,6.661064546796802e-05
23,-0.22499999999999998,-0.5,0.0006599303369579841,0.0006599303369579841,0.0
24,-0.21250000000000002,-0.5,0.0007820540160651615,0.0007896549896639457,7.600973598784243e-06
25,-0.2,-0.5,0.0008722413111892593,0.0009353485160437365,6.31072048544772e-05
26,-0.1875,-0.5,0.0011356733770969429,0.0011356733770969429,0.0
27,-0.175,-0.5,0.0013007805621114677,0.0013087107607777722,7.930198666304504e-06
28,-0.16249999999999998,-0.5,0.001451437533904035,0.0015181640582949028,6.672652439086778e-05
29,-0.15000000000000002,-0.5,0.0017974831222285176,0.0017974831222285176,0.0
30,-0.1375,-0.5,0.001987924842223107,0.0020102980933806936,2.2373251157586493e-05
31,-0.125,-0.5,0.002206932456870471,0.0022885552877488736,8.162283087840248e-05
32,-0.11249999999999999,-0.5,0.0026750133376179856,0.0026750133376179856,0.0
33,-0.09999999999999998,-0.5,0.0028725424232713395,0.0028920793358975976,1.9536912626258104e-05
34,-0.08750000000000002,-0.5,0.0031443379708513534,0.0032148913716271194,7.055340077576598e-05
35,-0.07500000000000001,-0.5,0.0037133045688111177,0.0037133045688111177,0.0
36,-0.0625,-0.5,0.003920591399018257,0.0039285885014681615,7.997102449904502e-06
37,-0.04999999999999999,-0.5,0.004253758650781742,0.004282696558408993,2.8937907627251715e-05
38,-0.03749999999999998,-0.5,0.0044479261875140785,0.0046620210993895605,0.00021409491187548198
39,-0.025000000000000022,-0.5,0.005062373675752916,0.005062373675752916,0.0
40,-0.012500000000000011,-0.5,0.005451862916880818,0.005462665975049462,1.0803058168644582e-05
41,0.0,-0.5,0.00570933200453533,0.005872650753553318,0.00016331874901798823
42,0.012499999999999956,-0.5,0.006256471281999162,0.006256671209445933,1.9992744677062996e-07
43,0.025000000000000022,-0.5,0.0066565459518820175,0.0066748497873533996,1.8303835471382077e-05
44,0.03749999999999998,-0.5,0.0069672179116127084,0.007069931426579779,0.00010271351496707066
45,0.050000000000000044,-0.5,0.00744694788783081,0.007456541069583604,9.59318175279382e-06
46,0.0625,-0.5,0.0078109121044224955,0.007855264696846135,4.4352592423639765e-05
47,0.07499999999999996,-0.5,0.00815232529001359,0.008236812514943584,8.448722492999418e-05
48,0.08750000000000002,-0.5,0.008585131358349221,0.008594480588415398,9.34923006617669e-06
49,0.09999999999999998,-0.5,0.008872916466962283,0.008939258426332997,6.634195937071409e-05
50,0.11250000000000004,-0.5,0.009204306012753207,0.009283192519528093,7.888650677488618e-05
51,0.125,-0.5,0.009608482824157324,0.009608482824157324,0.0
