repo_relative_path,file_size_bytes,sha256,original_cluster_path,copied_at_utc
runs/hpc/stage_f/mode_ii_h0/replacement_r2/evidence/1378942.mmaster02/extracted/rf1_u1_curve.csv,12976,6f4e7403545f89830d312ec657c4527dba4cc91f8631c4f773704292e84f7747,/home/pr21vyci/adaptive-remeshing-evidence/stage_f/mode_ii_h0/1378942.mmaster02/extracted/rf1_u1_curve.csv,2026-07-27T08:40:00Z
runs/hpc/stage_f/mode_ii_h0/replacement_r2/evidence/1378942.mmaster02/extracted/runtime_output_inventory.json,2324,5b3db47aeb7a8d45786598cec0d9cbd4011d8a0434ef565b4aa4bb72ac678915,/home/pr21vyci/adaptive-remeshing-evidence/stage_f/mode_ii_h0/1378942.mmaster02/extracted/runtime_output_inventory.json,2026-07-27T08:40:00Z
runs/hpc/stage_f/mode_ii_h0/replacement_r2/evidence/1378942.mmaster02/extracted/sdv14_sdv15_sdv16_contours.csv,9150957,5fa1255691427c09cc606684e95a408a3f87324061ced99311c009cb28e79d1d,/home/pr21vyci/adaptive-remeshing-evidence/stage_f/mode_ii_h0/1378942.mmaster02/extracted/sdv14_sdv15_sdv16_contours.csv,2026-07-27T08:40:00Z
runs/hpc/stage_f/mode_ii_h0/replacement_r2/evidence/1378942.mmaster02/extracted/SINGLE_NOTCH_EXTRACTION.md,3883,a5fabc6af3e2f33e5a956ae524156eed56f28ccdc5339d67b30b0622e9a3029d,/home/pr21vyci/adaptive-remeshing-evidence/stage_f/mode_ii_h0/1378942.mmaster02/extracted/SINGLE_NOTCH_EXTRACTION.md,2026-07-27T08:40:00Z
runs/hpc/stage_f/mode_ii_h0/replacement_r2/evidence/1378942.mmaster02/extracted/single_notch_extraction_summary.json,6692,1e09839480709e90c259e816f100b66d48c631644e05fc3d913ee64e2c503051,/home/pr21vyci/adaptive-remeshing-evidence/stage_f/mode_ii_h0/1378942.mmaster02/extracted/single_notch_extraction_summary.json,2026-07-27T08:40:00Z
runs/hpc/stage_f/mode_ii_h0/replacement_r2/evidence/1378942.mmaster02/F1_J1_R2_QSTAT_FINAL.txt,3533,cf2763e3b527420550d568aeb9006af62a9262bd4d8511c809a3b8567875784d,/home/pr21vyci/adaptive-remeshing-evidence/stage_f/mode_ii_h0/1378942.mmaster02/F1_J1_R2_QSTAT_FINAL.txt,2026-07-27T08:40:00Z
runs/hpc/stage_f/mode_ii_h0/replacement_r2/evidence/1378942.mmaster02/F1_J1_R2_TRACEJOB.txt,71,ee75ee39ab51a39f13b2cb1c7753ef797feea2557b89d3eabb2ad484597d64b0,/home/pr21vyci/adaptive-remeshing-evidence/stage_f/mode_ii_h0/1378942.mmaster02/F1_J1_R2_TRACEJOB.txt,2026-07-27T08:40:00Z
runs/hpc/stage_f/mode_ii_h0/replacement_r2/evidence/1378942.mmaster02/input_hash_check.txt,50,4029dd2f9132e3993a62c167ed54a22719f4c56fba8f3e196fb9debe218136dc,/home/pr21vyci/adaptive-remeshing-evidence/stage_f/mode_ii_h0/1378942.mmaster02/input_hash_check.txt,2026-07-27T08:40:00Z
runs/hpc/stage_f/mode_ii_h0/replacement_r2/evidence/1378942.mmaster02/MODE_II_H0_RUNTIME_MANIFEST.json,857,5056c5973a26c54136f395cd70eb1ca7aff16a208ba9b4f868769837c389972c,/home/pr21vyci/adaptive-remeshing-evidence/stage_f/mode_ii_h0/1378942.mmaster02/MODE_II_H0_RUNTIME_MANIFEST.json,2026-07-27T08:40:00Z
runs/hpc/stage_f/mode_ii_h0/replacement_r2/evidence/1378942.mmaster02/MODE_II_H0_RUNTIME_STAGING_CHECK.json,336,10a96f4d67619ace3d22df05b6f540e0ace6365c62d39500ff3cb208f87cc267,/home/pr21vyci/adaptive-remeshing-evidence/stage_f/mode_ii_h0/1378942.mmaster02/MODE_II_H0_RUNTIME_STAGING_CHECK.json,2026-07-27T08:40:00Z
runs/hpc/stage_f/mode_ii_h0/replacement_r2/evidence/1378942.mmaster02/mode_ii_h0_serial.abaqus_stdout.log,3626,beb6aacead865444371400fca789062d2fd4fca38d81b3c18e6a52d5026837be,/home/pr21vyci/adaptive-remeshing-evidence/stage_f/mode_ii_h0/1378942.mmaster02/mode_ii_h0_serial.abaqus_stdout.log,2026-07-27T08:40:00Z
runs/hpc/stage_f/mode_ii_h0/replacement_r2/evidence/1378942.mmaster02/mode_ii_h0_serial.com,2962,81cefbbd085aed7c2b696f7f01520d8c40f1eafa9566f4b66f34dba66e1b6aa5,/home/pr21vyci/adaptive-remeshing-evidence/stage_f/mode_ii_h0/1378942.mmaster02/mode_ii_h0_serial.com,2026-07-27T08:40:00Z
runs/hpc/stage_f/mode_ii_h0/replacement_r2/evidence/1378942.mmaster02/mode_ii_h0_serial.dat,18410,f7179a8e67e5f2a7bcf92dc3ff40f96ac7e7e4f61d35060719d4ea31c6fb5867,/home/pr21vyci/adaptive-remeshing-evidence/stage_f/mode_ii_h0/1378942.mmaster02/mode_ii_h0_serial.dat,2026-07-27T08:40:00Z
runs/hpc/stage_f/mode_ii_h0/replacement_r2/evidence/1378942.mmaster02/mode_ii_h0_serial.msg,3946180,f5179e38903285d633716d9966c500441f8cf3fa91ad0605d369a4c34bd47018,/home/pr21vyci/adaptive-remeshing-evidence/stage_f/mode_ii_h0/1378942.mmaster02/mode_ii_h0_serial.msg,2026-07-27T08:40:00Z
runs/hpc/stage_f/mode_ii_h0/replacement_r2/evidence/1378942.mmaster02/mode_ii_h0_serial.prt,1506,a03f83fb80d7febf42bd70879070bbf5433147228ca05ab2f0d05574c1414ae7,/home/pr21vyci/adaptive-remeshing-evidence/stage_f/mode_ii_h0/1378942.mmaster02/mode_ii_h0_serial.prt,2026-07-27T08:40:00Z
runs/hpc/stage_f/mode_ii_h0/replacement_r2/evidence/1378942.mmaster02/mode_ii_h0_serial.sta,167868,31d7f68ad7c30a880e4c623d72b4a63cf253a5d155db1590644174ea093c2951,/home/pr21vyci/adaptive-remeshing-evidence/stage_f/mode_ii_h0/1378942.mmaster02/mode_ii_h0_serial.sta,2026-07-27T08:40:00Z
runs/hpc/stage_f/mode_ii_h0/replacement_r2/evidence/1378942.mmaster02/MODE_II_H0_SERIAL_STATUS.json,416,5d5df595725d65890c16e45259ec342913c599fe16e1ea1caba4c18a42a50e39,/home/pr21vyci/adaptive-remeshing-evidence/stage_f/mode_ii_h0/1378942.mmaster02/MODE_II_H0_SERIAL_STATUS.json,2026-07-27T08:40:00Z
runs/hpc/stage_f/mode_ii_h0/replacement_r2/evidence/1378942.mmaster02/MODE_II_H0_SERIAL_VALIDATION.json,258,384b29c264d2b6a0d4521a400964a08f8c0ad86fa19dbcc04f32cbf4973d903e,/home/pr21vyci/adaptive-remeshing-evidence/stage_f/mode_ii_h0/1378942.mmaster02/MODE_II_H0_SERIAL_VALIDATION.json,2026-07-27T08:40:00Z
