step,frame,time,top_u1,top_rf1,external_work
MONOTONIC,0,0.0,0.0,0.0,0.0
MONOTONIC,1,0.004999999888241291,1.4999999621068127e-05,0.0011831727642857004,8.873795507971817e-09
MONOTONIC,2,0.009999999776482582,2.9999999242136255e-05,0.002366345528571401,3.549518203188727e-08
MONOTONIC,3,0.017500000074505806,5.249999958323315e-05,0.004139659518841654,1.0868773992487319e-07
MONOTONIC,4,0.028750000521540642,8.625000191386789e-05,0.006793753869715147,2.931891035976658e-07
MONOTONIC,5,0.045625001192092896,0.00013687499449588358,0.010750443587312475,7.372765366573867e-07
MONOTONIC,6,0.06562499701976776,0.0001968750002561137,0.015351338981417939,1.5203300888954362e-06
MONOTONIC,7,0.08562500029802322,0.00025687500601634383,0.019685674575157464,2.571440596503329e-06
MONOTONIC,8,0.10562500357627869,0.00031687499722465873,0.023552375729195774,3.868581915566265e-06
MONOTONIC,9,0.12562499940395355,0.0003768749884329736,0.026903471385594457,5.382257107214012e-06
MONOTONIC,10,0.14562499523162842,0.000436875008745119,0.02965380542445928,7.0789759859154376e-06
MONOTONIC,11,0.16562500596046448,0.0004968750290572643,0.0318007817841135,8.922614226309875e-06
MONOTONIC,12,0.18562500178813934,0.0005568750202655792,0.03332020889502019,1.0876243660422263e-05
MONOTONIC,13,0.2056249976158142,0.0006168750114738941,0.03427442908287048,1.2904082502623598e-05
MONOTONIC,14,0.22562499344348907,0.000676875002682209,0.0346863460727036,1.497290545415011e-05
MONOTONIC,15,0.24562500417232513,0.0007368749938905239,0.0346470742370002,1.7052907758662427e-05
MONOTONIC,16,0.265625,0.0007968749850988388,0.03420819970779121,1.9118565674329226e-05
MONOTONIC,17,0.28562501072883606,0.0008568749763071537,0.03345560666639358,2.114847956811533e-05
MONOTONIC,18,0.30562499165534973,0.0009168750257231295,0.03245287446770817,2.3125735630604337e-05
MONOTONIC,19,0.3256250023841858,0.0009768749587237835,0.03126174374483526,2.5037172042561764e-05
MONOTONIC,20,0.34562501311302185,0.0010368749499320984,0.029946095775812864,2.6873406959121182e-05
MONOTONIC,21,0.3656249940395355,0.0010968750575557351,0.028539435530547053,2.8627976045524767e-05
MONOTONIC,22,0.3856250047683716,0.00115687504876405,0.027099216356873512,3.029713535756863e-05
MONOTONIC,23,0.40562498569488525,0.001216875039972365,0.0256354819284752,3.187917607431566e-05
MONOTONIC,24,0.4256249964237213,0.0012768750311806798,0.024196185055188835,3.337412586477342e-05
MONOTONIC,25,0.4456250071525574,0.0013368750223889947,0.022775742632802576,3.4783283488931964e-05
MONOTONIC,26,0.46562498807907104,0.0013968750135973096,0.021411797089967877,3.610890948637361e-05
MONOTONIC,27,0.4856249988079071,0.0014568750048056245,0.02009055408416316,3.735397983915974e-05
MONOTONIC,28,0.5056250095367432,0.0015168749960139394,0.018839731521438807,3.852188823619639e-05
MONOTONIC,29,0.5256249904632568,0.0015768749872222543,0.017642978578805923,3.9616369378831485e-05
MONOTONIC,30,0.5456249713897705,0.0016368749784305692,0.016518934222403914,4.064122661269739e-05
MONOTONIC,31,0.565625011920929,0.001696874969638884,0.015452503488631919,4.160036960348706e-05
MONOTONIC,32,0.5856249928474426,0.001756874960847199,0.014454104355536401,4.249756770734737e-05
MONOTONIC,33,0.6056249737739563,0.0018168749520555139,0.01351229808642529,4.333655965767032e-05
MONOTONIC,34,0.6256250143051147,0.0018768749432638288,0.012629826320335269,4.412082327495647e-05
MONOTONIC,35,0.6456249952316284,0.0019368750508874655,0.011799828265793622,4.4853714227144474e-05
MONOTONIC,36,0.6656249761581421,0.0019968750420957804,0.011013474926585332,4.5538113222632154e-05
MONOTONIC,37,0.6856250166893005,0.0020568750333040953,0.01027038085157983,4.617662880241663e-05
