u_mm,simulation_rf_kN,reference_rf_kN,signed_error_kN,relative_error
0.00055477,0.0745512644946,0.00525164,0.0692996244946,13.1958063566
0.00057732,0.0775785648091,0.00656455,0.0710140148091,10.8178039331
0.00075322,0.101181029764,0.03282276,0.0683582697642,2.08264843554
0.00086147,0.115692460972,0.04857768,0.0671147809722,1.3815970827
0.000875,0.117505327148,0.04726477,0.0702405571479,1.48610809167
0.00101933,0.136832339176,0.07352298,0.0633093591756,0.861082605406
0.00104639,0.140453446712,0.07483589,0.0656175567123,0.876819353819
0.00121778,0.163364052246,0.09978118,0.0635828722461,0.637223094035
0.00123582,0.165773236837,0.102407,0.0633662368368,0.618768607974
0.00134407,0.180219103526,0.11816193,0.0620571735263,0.525187541591
0.00140722,0.188637588317,0.12866521,0.0599723783172,0.466111844198
0.00142526,0.191040998491,0.12603939,0.0650016084905,0.515724556351
0.00151546,0.20305089827,0.14179431,0.06125658827,0.432010200339
0.00153802,0.206052472661,0.14442013,0.0616323426609,0.426757285573
0.00171392,0.229421437021,0.16936543,0.0600560070212,0.354594246425
0.00173196,0.231814530007,0.17330416,0.0585103700066,0.33761665044
0.00182216,0.243769909221,0.18643326,0.0573366492211,0.307545173115
0.00183119,0.244965833871,0.18380744,0.0611583938709,0.332730785385
0.00200258,0.267629069279,0.21006565,0.0575634192791,0.274025854675
0.00217397,0.290219532168,0.23763676,0.0525827721678,0.221273729569
0.00220103,0.29378015475,0.23632385,0.0574563047497,0.243125290781
0.00230928,0.308000503491,0.2547046,0.0532959034908,0.209245940163
0.00233634,0.311550119039,0.2547046,0.0568455190387,0.223182145272
0.00238144,0.317461609488,0.26520788,0.052253729488,0.197029324649
0.00247165,0.329268202837,0.27833698,0.0509312228373,0.182984031936
0.00248518,0.331037042865,0.27964989,0.0513871528649,0.183755312276
0.00266108,0.353979615474,0.30459519,0.0493844254743,0.162131337249
0.00268814,0.35750016622,0.30722101,0.0502791562196,0.163657935437
0.00279188,0.370974598702,0.32166302,0.0493115787015,0.15330198262
0.00285954,0.379742607549,0.33347921,0.0462633975485,0.138729480463
0.00296327,0.393153294745,0.34398249,0.0491708047447,0.142945661986
0.00298582,0.396063485085,0.34792123,0.048142255085,0.138371133848
0.00315722,0.418121515785,0.37286652,0.0452549957854,0.121370499516
0.00317977,0.421014461489,0.37549234,0.0455221214892,0.121233156152
0.00326546,0.431991412275,0.38862144,0.0433699722746,0.111599535719
0.00328802,0.434876550824,0.38993435,0.0449422008235,0.115255813763
0.0034549,0.45615137047,0.41225383,0.0438975404696,0.106481825699
0.00348196,0.459588986055,0.41487965,0.0447093360555,0.107764591624
0.00365335,0.481291695323,0.43851204,0.0427796553232,0.0975563985043
0.00375258,0.493794411839,0.45164114,0.0421532718386,0.093333552029
0.00380219,0.500027422149,0.45689278,0.0431346421489,0.0944086753765
0.00383376,0.503986508432,0.46214442,0.041842088432,0.0905389887256
0.00392397,0.515274906208,0.47527352,0.0400013862081,0.0841649797954
0.00395103,0.51865454549,0.47921225,0.0394422954898,0.0823065259492
0.00398711,0.523151754269,0.48315098,0.0400007742688,0.0827914584148
0.0041134,0.538843051046,0.49890591,0.0399371410461,0.080049444686
0.00414046,0.542194311607,0.50415755,0.0380367616075,0.075446180678
0.00425773,0.556669502715,0.51991247,0.036757032715,0.0706985018363
0.00430735,0.562770751957,0.52516411,0.0376066419569,0.0716093145758
0.00441559,0.576028687507,0.53960613,0.0364225575069,0.0674984131608
0.00444716,0.579883695755,0.54485777,0.0350259257554,0.0642845301727
0.00448325,0.58428037451,0.54748359,0.0367967845096,0.0672107533116
0.00457345,0.595236026754,0.55929978,0.0359362467536,0.0642522097069
0.00460052,0.598515747193,0.56455142,0.0339643271932,0.06016161857
0.0046366,0.602875449366,0.56980306,0.0330723893662,0.0580417896776
0.00474936,0.61645008288,0.58424508,0.03220500288,0.0551224203377
0.00479446,0.621853166304,0.58949672,0.0323564463036,0.0548882550248
0.00490722,0.635298461098,0.60393873,0.031359731098,0.0519253519277
0.0049433,0.639580356761,0.60919037,0.0303899867614,0.0498858620523
0.00497938,0.643850589506,0.6131291,0.0307214895058,0.0501060698405
0.00506508,0.653956318702,0.62363239,0.0303239287024,0.0486246852933
0.00510567,0.658719613744,0.62888403,0.0298355837435,0.0474421074797
0.00513273,0.661887058174,0.63150985,0.0303772081744,0.0481025088911
0.00522294,0.672397851113,0.64463895,0.0277589011132,0.043061160225
0.00525,0.675535329433,0.64726477,0.0282705594328,0.0436769630345
0.0052951,0.680747988722,0.6512035,0.0295444887224,0.0453690570189
0.00540786,0.693682722531,0.66695842,0.0267243025312,0.0400689184361
0.00544394,0.697788566462,0.67221007,0.0255784964619,0.0380513437739
0.00547552,0.701368597302,0.67221007,0.0291585273019,0.0433771057639
0.00556572,0.711512935918,0.68533917,0.0261737659181,0.0381909674272
0.0056018,0.715533270603,0.69059081,0.0249424606032,0.036117568091
0.00562887,0.718533324933,0.69321663,0.0253166949327,0.0365206110718
0.00571907,0.728410135999,0.702407,0.0260031359988,0.0370200410856
0.00575064,0.731814122867,0.70634573,0.0254683928673,0.0360565538739
0.00579124,0.736140119124,0.70897155,0.0271685691244,0.0383210992379
0.00586791,0.744091659585,0.7155361,0.028555559585,0.0399079230034
0.00589948,0.747244566106,0.70897155,0.038273016106,0.0539838532393
0.00593557,0.750727399121,0.70109409,0.0496333091211,0.0707940771845
0.00600773,0.756987816356,0.66958425,0.0874035663565,0.130534083435
0.00603479,0.758911667721,0.65382932,0.105082347721,0.160718316703
0.00608892,0.761406722125,0.61706783,0.144338892125,0.233910901051
0.00616108,0.761507912986,0.57242888,0.189079032986,0.330310086706
0.00621521,0.761323302535,0.52778993,0.233533372535,0.44247409672
0.00626031,0.761221098824,0.48577681,0.275444288824,0.567018192621
0.00629639,0.761061979763,0.46214442,0.298917559763,0.64680551539
0.00634149,0.760718995587,0.40962801,0.351090985587,0.857097114982
0.00640464,0.759956996236,0.33347921,0.426477786236,1.27887368522
0.00645876,0.758871868044,0.27571116,0.483160708044,1.75241621719
0.00649936,0.757825084471,0.22188184,0.535943244471,2.41544438459
0.00654897,0.75619477463,0.15886214,0.59733263463,3.76006916834
0.00660309,0.754060843308,0.05645514,0.697605703308,12.3568146905
