element,integration_point,frame,serial_SDV15,threads4_SDV15,abs_SDV15_difference,serial_SDV16,threads4_SDV16,abs_SDV16_difference
1,1,F0,0.263172451421,0.263172451421,0.0,0.120952688158,0.120952688158,0.0
1,1,F1,0.263172451421,0.263172451421,0.0,0.120952688158,0.120952688158,0.0
1,1,F2,0.263172451421,0.263172451421,0.0,0.120952688158,0.120952688158,0.0
1,1,F3,0.263172451421,0.263172451421,0.0,0.120952688158,0.120952688158,0.0
2,1,F0,0.380029794517,0.380029794517,0.0,0.146027624607,0.146027624607,0.0
2,1,F1,0.380029794517,0.380029794517,0.0,0.146027624607,0.146027624607,0.0
2,1,F2,0.380029794517,0.380029794517,0.0,0.146027624607,0.146027624607,0.0
2,1,F3,0.380029794517,0.380029794517,0.0,0.146027624607,0.146027624607,0.0
3,1,F0,0.459138655793,0.459138655793,0.0,0.132110998034,0.132110998034,0.0
3,1,F1,0.459138655793,0.459138655793,0.0,0.132110998034,0.132110998034,0.0
3,1,F2,0.459138655793,0.459138655793,0.0,0.132110998034,0.132110998034,0.0
3,1,F3,0.459138655793,0.459138655793,0.0,0.132110998034,0.132110998034,0.0
4,1,F0,0.402906310811,0.402906310811,0.0,0.109544768929,0.109544768929,0.0
4,1,F1,0.402906310811,0.402906310811,0.0,0.109544768929,0.109544768929,0.0
4,1,F2,0.402906310811,0.402906310811,0.0,0.109544768929,0.109544768929,0.0
4,1,F3,0.402906310811,0.402906310811,0.0,0.109544768929,0.109544768929,0.0
5,1,F0,0.253166412659,0.253166412659,0.0,0.164115399122,0.164115399122,0.0
5,1,F1,0.253166412659,0.253166412659,0.0,0.164115399122,0.164115399122,0.0
5,1,F2,0.253166412659,0.253166412659,0.0,0.164115399122,0.164115399122,0.0
5,1,F3,0.253166412659,0.253166412659,0.0,0.164115399122,0.164115399122,0.0
6,1,F0,0.350941314447,0.350941314447,0.0,0.187061205506,0.187061205506,0.0
6,1,F1,0.350941314447,0.350941314447,0.0,0.187061205506,0.187061205506,0.0
6,1,F2,0.350941314447,0.350941314447,0.0,0.187061205506,0.187061205506,0.0
6,1,F3,0.350941314447,0.350941314447,0.0,0.187061205506,0.187061205506,0.0
7,1,F0,0.41899492152,0.41899492152,0.0,0.155416741967,0.155416741967,0.0
7,1,F1,0.41899492152,0.41899492152,0.0,0.155416741967,0.155416741967,0.0
7,1,F2,0.41899492152,0.41899492152,0.0,0.155416741967,0.155416741967,0.0
7,1,F3,0.41899492152,0.41899492152,0.0,0.155416741967,0.155416741967,0.0
8,1,F0,0.37274266104,0.37274266104,0.0,0.123956009746,0.123956009746,0.0
8,1,F1,0.37274266104,0.37274266104,0.0,0.123956009746,0.123956009746,0.0
8,1,F2,0.37274266104,0.37274266104,0.0,0.123956009746,0.123956009746,0.0
8,1,F3,0.37274266104,0.37274266104,0.0,0.123956009746,0.123956009746,0.0
