U2,RF2
0,0
5e-06,0.000735357520171
1e-05,0.00147071504034
1.5e-05,0.0022060724441
1.9999999e-05,0.00294142938219
2.4999999e-05,0.00367678538896
2.9999999e-05,0.00441214023158
3.5000001e-05,0.00514749344438
3.9999999e-05,0.0058828452602
4.5000001e-05,0.00661819474772
4.9999999e-05,0.00735354237258
5.5e-05,0.00808888673782
5.9999998e-05,0.00882422830909
6.5e-05,0.0095595670864
7.0000002e-05,0.0102949012071
7.5000004e-05,0.0110302325338
7.9999998e-05,0.0117655582726
8.5e-05,0.0125008802861
9.0000001e-05,0.013236197643
9.5000003e-05,0.0139715094119
9.9999997e-05,0.0147068165243
