step,frame,U2,RF2
origin,0,0.0,0.0
Step-1,0,0.0,-0.0
Step-1,10,9.99999974738e-05,0.0134522747248
Step-1,20,0.000199999994948,0.0269025340676
Step-1,30,0.000300000014249,0.0403484553099
Step-1,40,0.000399999989895,0.0537877194583
Step-1,50,0.000500000023749,0.0672179982066
Step-1,60,0.000600000028498,0.0806369706988
Step-1,70,0.000699999975041,0.0940423160791
Step-1,80,0.00079999997979,0.107431717217
Step-1,90,0.00089999998454,0.120802864432
Step-1,100,0.0010000000475,0.134153440595
Step-1,110,0.00109999999404,0.147481113672
Step-1,120,0.001200000057,0.160783603787
Step-1,130,0.00130000000354,0.174058571458
Step-1,140,0.00139999995008,0.187303736806
Step-1,150,0.00150000001304,0.200516790152
Step-1,160,0.00159999995958,0.213695421815
Step-1,170,0.00170000002254,0.226837337017
Step-1,180,0.00179999996908,0.239940226078
Step-1,190,0.00190000003204,0.25300180912
Step-1,200,0.00200000009499,0.266019791365
Step-1,210,0.00209999992512,0.27899184823
Step-1,220,0.00219999998808,0.291915714741
Step-1,230,0.00230000005104,0.304789066315
Step-1,240,0.00240000011399,0.317609637976
Step-1,250,0.00249999994412,0.330375105143
Step-1,260,0.00260000000708,0.343083143234
Step-1,270,0.00270000007004,0.355731457472
Step-1,280,0.00279999990016,0.368317753077
Step-1,290,0.00289999996312,0.38083961606
Step-1,300,0.00300000002608,0.393294751644
Step-1,310,0.00310000008903,0.405680775642
Step-1,320,0.00319999991916,0.417995303869
Step-1,330,0.00329999998212,0.430235922337
Step-1,340,0.00340000004508,0.442400157452
Step-1,350,0.00350000010803,0.454485535622
Step-1,360,0.00359999993816,0.466489553452
Step-1,370,0.00370000000112,0.478409558535
Step-1,380,0.00380000006407,0.490242928267
Step-1,390,0.0038999998942,0.501986920834
Step-1,400,0.00400000018999,0.513638675213
Step-1,410,0.00410000002012,0.525195240974
Step-1,420,0.00419999985024,0.536653518677
Step-1,430,0.00430000014603,0.548010230064
Step-1,440,0.00439999997616,0.559261798859
Step-1,450,0.00449999980628,0.570404469967
Step-1,460,0.00460000010207,0.581434190273
Step-1,470,0.0046999999322,0.592346251011
Step-1,480,0.00480000022799,0.60313564539
Step-1,490,0.00490000005811,0.61379635334
Step-1,500,0.00499999988824,0.624321579933
Step-2,0,0.00499999988824,0.624321579933
Step-2,100,0.00510000018403,0.634226083755
Step-2,200,0.00520000001416,0.644408345222
Step-2,300,0.00529999984428,0.654411554337
Step-2,400,0.00540000014007,0.664211332798
Step-2,500,0.0054999999702,0.673769295216
Step-2,600,0.00559999980032,0.683016896248
Step-2,700,0.00570000009611,0.691801309586
Step-2,800,0.00579999992624,0.699604451656
Step-2,900,0.00590000022203,0.692214250565
Step-2,1000,0.00600000005215,0.57863599062
Step-2,1100,0.00609999988228,0.453224122524
Step-2,1200,0.00620000017807,0.304168581963
Step-2,1300,0.0063000000082,0.099696367979
Step-2,1400,0.00639999983832,0.000333403993864
Step-2,1500,0.00650000013411,0.000323409010889
Step-2,1600,0.00659999996424,0.000313962227665
Step-2,1700,0.00669999979436,0.000305025139824
Step-2,1800,0.00680000009015,0.00029656253173
Step-2,1900,0.00689999992028,0.000288542214548
Step-2,2000,0.00700000021607,0.000280934822513
