quantity,value
local_refined_elements,5200
transition_elements,4352
global_elements,12208
total_physical_elements,21760
total_layered_elements,65280
h_over_l,0.13333333333333333
minimum_element_size_mm,0.001
maximum_element_size_mm,0.025
nodes,22346
physical_elements,21760
layered_elements,65280
