step,frame,step_time,rp_u2,rp_rf2,max_sdv14,max_sdv15,max_sdv16,description
Step-1,0,0.0,0.0,-0.0,0.0,0.0,0.0,Increment      0: Step Time =    0.000
Step-1,1,0.009999999776482582,4.999999873689376e-05,0.006722011137753725,8.550387065042742e-06,1.5200675989035517e-05,4.626390727935359e-05,Increment      5: Step Time =   1.0000E-02
Step-1,2,0.019999999552965164,9.999999747378752e-05,0.01344391144812107,6.0803409724030644e-05,7.695482054259628e-05,0.0002342291991226375,Increment     10: Step Time =   2.0000E-02
Step-1,3,0.029999999329447746,0.0001500000071246177,0.020165547728538513,0.00016056664753705263,0.00018622190691530704,0.000566869683098048,Increment     15: Step Time =   3.0000E-02
Step-1,4,0.03999999910593033,0.00019999999494757503,0.026886768639087677,0.0003078574954997748,0.000343021412845701,0.0010443426435813308,Increment     20: Step Time =   4.0000E-02
Step-1,5,0.05000000074505806,0.0002500000118743628,0.033607419580221176,0.0005027051083743572,0.0005473842029459774,0.0016668803291395307,Increment     25: Step Time =   5.0000E-02
Step-1,6,0.05999999865889549,0.0003000000142492354,0.04032735526561737,0.0007451474666595459,0.0007993511972017586,0.002434790600091219,Increment     30: Step Time =   6.0000E-02
Step-1,7,0.07000000029802322,0.0003499999875202775,0.047046415507793427,0.0010352340759709477,0.0010989740258082747,0.0033484576269984245,Increment     35: Step Time =   7.0000E-02
Step-1,8,0.07999999821186066,0.00039999998989515007,0.053764455020427704,0.0013730258215218782,0.0014463148545473814,0.004408341366797686,Increment     40: Step Time =   8.0000E-02
Step-1,9,0.09000000357627869,0.00044999999227002263,0.06048131734132767,0.001758592901751399,0.0018414465012028813,0.005614979192614555,Increment     45: Step Time =   9.0000E-02
Step-1,10,0.10000000149011612,0.0005000000237487257,0.06719684600830078,0.002192016690969467,0.0022844523191452026,0.006968987639993429,Increment     50: Step Time =   0.1000
Step-1,11,0.10999999940395355,0.0005499999970197678,0.0739108994603157,0.002673390321433544,0.0027754276525229216,0.008471060544252396,Increment     55: Step Time =   0.1100
Step-1,12,0.11999999731779099,0.0006000000284984708,0.0806233212351799,0.0032028164714574814,0.003314478322863579,0.010121972300112247,Increment     60: Step Time =   0.1200
Step-1,13,0.12999999523162842,0.0006500000017695129,0.08733396232128143,0.003780410159379244,0.0039017200469970703,0.011922580190002918,Increment     65: Step Time =   0.1300
Step-1,14,0.14000000059604645,0.000699999975040555,0.09404265880584717,0.004406297579407692,0.004537281580269337,0.01387382298707962,Increment     70: Step Time =   0.1400
Step-1,15,0.15000000596046448,0.000750000006519258,0.10074926912784576,0.0050806147046387196,0.005221303086727858,0.015976721420884132,Increment     75: Step Time =   0.1500
Step-1,16,0.1599999964237213,0.0007999999797903001,0.10745363682508469,0.00580351147800684,0.005953934509307146,0.01823238655924797,Increment     80: Step Time =   0.1600
Step-1,17,0.17000000178813934,0.0008500000112690032,0.114155612885952,0.006575147621333599,0.006735339295119047,0.02064201422035694,Increment     85: Step Time =   0.1700
Step-1,18,0.18000000715255737,0.0008999999845400453,0.12085504084825516,0.007395696826279163,0.007565691601485014,0.023206889629364014,Increment     90: Step Time =   0.1800
Step-1,19,0.1899999976158142,0.0009500000160187483,0.12755177915096283,0.008265341632068157,0.008445180021226406,0.02592839114367962,Increment     95: Step Time =   0.1900
Step-1,20,0.20000000298023224,0.0010000000474974513,0.13424564898014069,0.009184281341731548,0.009374001994729042,0.02880798652768135,Increment    100: Step Time =   0.2000
Step-1,21,0.20999999344348907,0.0010499999625608325,0.14093652367591858,0.010152723640203476,0.01035237219184637,0.03184724971652031,Increment    105: Step Time =   0.2100
