target_abs_u2,abs_u2_error,step,frame,step_time,rp_u2,rp_rf2,max_sdv14,max_sdv15,max_sdv16
0.002,9.499490256914545e-11,Step-1,40,0.4000000059604645,0.0020000000949949026,0.26728859543800354,0.03834100812673569,0.038741447031497955,0.12283158302307129
0.005,1.1175870905794083e-10,Step-1,100,1.0,0.004999999888241291,0.6462895274162292,0.31015223264694214,0.31198790669441223,1.3985720872879028
0.006,1.0000023990869647e-05,Step-2,58,0.5823529362678528,0.0059899999760091305,0.755577802658081,0.7044382095336914,0.7178758382797241,8.048711776733398
0.0067,2.056360247013056e-10,Step-2,100,1.0,0.0066999997943639755,0.7491104602813721,1.0042065382003784,1.0041399002075195,1933.7052001953125
