"repository_path","source_cluster_path","size_bytes","sha256","copied_at_utc","job_id","task_id","source_revision"
"runs/hpc/stage_f/f6_h2_full_and_miseseri_remesh_api_batch/evidence/1379966.mmaster02/RUNTIME_MANIFEST.json","/scratch/pr21vyci/adaptive-remeshing/runs/stage_f6/F6_20260730_122800_2249ec21/h2_u020_full/RUNTIME_MANIFEST.json","209","6f68235c90152514ec8019200dc2951b5f8f77dfd754b0b81f0b1cb9d9d9eee6","2026-07-31T03:40:18Z","1379966.mmaster02","F6-H2-FULL-AND-MISESERI-REMESH-API-BATCH","2249ec21fe92c6c7348d1cff653a84901828e117"
"runs/hpc/stage_f/f6_h2_full_and_miseseri_remesh_api_batch/evidence/1379966.mmaster02/SHA256SUMS","/scratch/pr21vyci/adaptive-remeshing/runs/stage_f6/F6_20260730_122800_2249ec21/h2_u020_full/SHA256SUMS","3082","773665fe575839d099c158bcc4b273fe0e6476f07a1d0e3375f1df999f01352f","2026-07-31T03:40:18Z","1379966.mmaster02","F6-H2-FULL-AND-MISESERI-REMESH-API-BATCH","2249ec21fe92c6c7348d1cff653a84901828e117"
"runs/hpc/stage_f/f6_h2_full_and_miseseri_remesh_api_batch/evidence/1379966.mmaster02/STATUS.json","/scratch/pr21vyci/adaptive-remeshing/runs/stage_f6/F6_20260730_122800_2249ec21/h2_u020_full/STATUS.json","236","e856ea84f5282a3109dde4b59c0a85fa2b18d926d6c066eef512390b5d4690f5","2026-07-31T03:40:18Z","1379966.mmaster02","F6-H2-FULL-AND-MISESERI-REMESH-API-BATCH","2249ec21fe92c6c7348d1cff653a84901828e117"
"runs/hpc/stage_f/f6_h2_full_and_miseseri_remesh_api_batch/evidence/1379966.mmaster02/TRACEJOB.txt","/tmp/F6_H2_1379966_TRACEJOB.txt","73","23285a017a1b205ab0b36c18c9fea7613993e333e6d9d839b12bd37b06a614cd","2026-07-31T03:40:18Z","1379966.mmaster02","F6-H2-FULL-AND-MISESERI-REMESH-API-BATCH","2249ec21fe92c6c7348d1cff653a84901828e117"
"runs/hpc/stage_f/f6_h2_full_and_miseseri_remesh_api_batch/evidence/1379966.mmaster02/extracted/crack_path_sdv15_ge_0p5.csv","/scratch/pr21vyci/adaptive-remeshing/runs/stage_f6/F6_20260730_122800_2249ec21/h2_u020_full/extracted/crack_path_sdv15_ge_0p5.csv","89253","275b29c2dcaa072654d5a75497dd21325eba1a0a502e0f16951d341d14c329fc","2026-07-31T03:40:18Z","1379966.mmaster02","F6-H2-FULL-AND-MISESERI-REMESH-API-BATCH","2249ec21fe92c6c7348d1cff653a84901828e117"
"runs/hpc/stage_f/f6_h2_full_and_miseseri_remesh_api_batch/evidence/1379966.mmaster02/extracted/crack_path_summary.json","/scratch/pr21vyci/adaptive-remeshing/runs/stage_f6/F6_20260730_122800_2249ec21/h2_u020_full/extracted/crack_path_summary.json","132","669d95e451d4859641b9238bab39cf57feec3ad50e92231f104f62bcb68b9dd8","2026-07-31T03:40:18Z","1379966.mmaster02","F6-H2-FULL-AND-MISESERI-REMESH-API-BATCH","2249ec21fe92c6c7348d1cff653a84901828e117"
"runs/hpc/stage_f/f6_h2_full_and_miseseri_remesh_api_batch/evidence/1379966.mmaster02/extracted/damage_bounds_summary.json","/scratch/pr21vyci/adaptive-remeshing/runs/stage_f6/F6_20260730_122800_2249ec21/h2_u020_full/extracted/damage_bounds_summary.json","132","534d4cc63abdcb375d15d9d49d9420e2add95f790a96e7a0211c63abbfbe0c9d","2026-07-31T03:40:18Z","1379966.mmaster02","F6-H2-FULL-AND-MISESERI-REMESH-API-BATCH","2249ec21fe92c6c7348d1cff653a84901828e117"
"runs/hpc/stage_f/f6_h2_full_and_miseseri_remesh_api_batch/evidence/1379966.mmaster02/extracted/damage_history.csv","/scratch/pr21vyci/adaptive-remeshing/runs/stage_f6/F6_20260730_122800_2249ec21/h2_u020_full/extracted/damage_history.csv","7322","6c1ec3d03eaa04a93bdfe94cbf9e8c5be778bbe7ffba3eb068d9252ca6ec5457","2026-07-31T03:40:18Z","1379966.mmaster02","F6-H2-FULL-AND-MISESERI-REMESH-API-BATCH","2249ec21fe92c6c7348d1cff653a84901828e117"
"runs/hpc/stage_f/f6_h2_full_and_miseseri_remesh_api_batch/evidence/1379966.mmaster02/extracted/energy_history.csv","/scratch/pr21vyci/adaptive-remeshing/runs/stage_f6/F6_20260730_122800_2249ec21/h2_u020_full/extracted/energy_history.csv","56","05fc58f82b6a0e26d57d99ce2354b0269dc0c3de71512d956fb3f12fc3d9734c","2026-07-31T03:40:18Z","1379966.mmaster02","F6-H2-FULL-AND-MISESERI-REMESH-API-BATCH","2249ec21fe92c6c7348d1cff653a84901828e117"
"runs/hpc/stage_f/f6_h2_full_and_miseseri_remesh_api_batch/evidence/1379966.mmaster02/extracted/extraction_manifest.json","/scratch/pr21vyci/adaptive-remeshing/runs/stage_f6/F6_20260730_122800_2249ec21/h2_u020_full/extracted/extraction_manifest.json","473","c7fec4a086de1cc6a6c50f9b36c98508eefafa50ba555b992c50a5a314fa998b","2026-07-31T03:40:18Z","1379966.mmaster02","F6-H2-FULL-AND-MISESERI-REMESH-API-BATCH","2249ec21fe92c6c7348d1cff653a84901828e117"
"runs/hpc/stage_f/f6_h2_full_and_miseseri_remesh_api_batch/evidence/1379966.mmaster02/extracted/extractor_stdout.log","/scratch/pr21vyci/adaptive-remeshing/runs/stage_f6/F6_20260730_122800_2249ec21/h2_u020_full/extracted/extractor_stdout.log","75","06ed3c66c4f4d17a51ff05426bfe78fa52c463804ed238501d3029d473f36680","2026-07-31T03:40:18Z","1379966.mmaster02","F6-H2-FULL-AND-MISESERI-REMESH-API-BATCH","2249ec21fe92c6c7348d1cff653a84901828e117"
"runs/hpc/stage_f/f6_h2_full_and_miseseri_remesh_api_batch/evidence/1379966.mmaster02/extracted/H2_EXTRACTION_SUMMARY.json","/scratch/pr21vyci/adaptive-remeshing/runs/stage_f6/F6_20260730_122800_2249ec21/h2_u020_full/extracted/H2_EXTRACTION_SUMMARY.json","894","72b2cf38983c16a7df614e05a229ddd2f930f613c5cf7455f988e8b5b3647796","2026-07-31T03:40:18Z","1379966.mmaster02","F6-H2-FULL-AND-MISESERI-REMESH-API-BATCH","2249ec21fe92c6c7348d1cff653a84901828e117"
"runs/hpc/stage_f/f6_h2_full_and_miseseri_remesh_api_batch/evidence/1379966.mmaster02/extracted/irreversibility_summary.json","/scratch/pr21vyci/adaptive-remeshing/runs/stage_f6/F6_20260730_122800_2249ec21/h2_u020_full/extracted/irreversibility_summary.json","129","69c336d22a4b8f5625bf673e46a6f0a09e0fd64d488563951c42a2221b5b931f","2026-07-31T03:40:18Z","1379966.mmaster02","F6-H2-FULL-AND-MISESERI-REMESH-API-BATCH","2249ec21fe92c6c7348d1cff653a84901828e117"
"runs/hpc/stage_f/f6_h2_full_and_miseseri_remesh_api_batch/evidence/1379966.mmaster02/extracted/rf1_u1_curve.csv","/scratch/pr21vyci/adaptive-remeshing/runs/stage_f6/F6_20260730_122800_2249ec21/h2_u020_full/extracted/rf1_u1_curve.csv","9349","4852a26fd16a098ae79be0530d63774293b6ea9bbdb1ae41b2679d60a3f5ca0a","2026-07-31T03:40:18Z","1379966.mmaster02","F6-H2-FULL-AND-MISESERI-REMESH-API-BATCH","2249ec21fe92c6c7348d1cff653a84901828e117"
"runs/hpc/stage_f/f6_h2_full_and_miseseri_remesh_api_batch/evidence/1379966.mmaster02/extracted/solver_resource_summary.json","/scratch/pr21vyci/adaptive-remeshing/runs/stage_f6/F6_20260730_122800_2249ec21/h2_u020_full/extracted/solver_resource_summary.json","152","71fbcee519e00716e8a4cd823c539c066b9004c6f33167d0ae5a8f07eebf7bde","2026-07-31T03:40:18Z","1379966.mmaster02","F6-H2-FULL-AND-MISESERI-REMESH-API-BATCH","2249ec21fe92c6c7348d1cff653a84901828e117"
"runs/hpc/stage_f/f6_h2_full_and_miseseri_remesh_api_batch/evidence/1379966.mmaster02/extracted/VALIDATION_RESULTS_OFFLINE.json","/scratch/pr21vyci/adaptive-remeshing/runs/stage_f6/F6_20260730_122800_2249ec21/h2_u020_full/extracted/VALIDATION_RESULTS_OFFLINE.json","1384","de2954e0f372c9f5292492750d6009aadbcf469eaae2f95bb262dbfb19a2fb5e","2026-07-31T03:40:18Z","1379966.mmaster02","F6-H2-FULL-AND-MISESERI-REMESH-API-BATCH","2249ec21fe92c6c7348d1cff653a84901828e117"
"runs/hpc/stage_f/f6_h2_full_and_miseseri_remesh_api_batch/evidence/1379966.mmaster02/extracted/validator_offline_stdout.log","/scratch/pr21vyci/adaptive-remeshing/runs/stage_f6/F6_20260730_122800_2249ec21/h2_u020_full/extracted/validator_offline_stdout.log","158","56e57ede7400364dd4e6ce10477cbb36da834bddac7fa7410c2a64fe6d4c9fa4","2026-07-31T03:40:18Z","1379966.mmaster02","F6-H2-FULL-AND-MISESERI-REMESH-API-BATCH","2249ec21fe92c6c7348d1cff653a84901828e117"
"runs/hpc/stage_f/f6_h2_full_and_miseseri_remesh_api_batch/evidence/1379966.mmaster02/extracted/validator_stdout.log","/scratch/pr21vyci/adaptive-remeshing/runs/stage_f6/F6_20260730_122800_2249ec21/h2_u020_full/extracted/validator_stdout.log","175","71769507d5e4a2d69610150c8d9621c9dbd516b790c1fb35d3e71d8eedee487a","2026-07-31T03:40:18Z","1379966.mmaster02","F6-H2-FULL-AND-MISESERI-REMESH-API-BATCH","2249ec21fe92c6c7348d1cff653a84901828e117"
