index,x0_mm,x1_mm,dx_mm
180,0.133,0.134,0.001
181,0.134,0.135,0.001
182,0.135,0.136,0.001
183,0.136,0.137,0.001
184,0.137,0.138,0.001
185,0.138,0.139,0.001
186,0.139,0.14,0.001
187,0.14,0.141,0.001
188,0.141,0.142,0.001
189,0.142,0.143,0.001
190,0.143,0.144,0.001
191,0.144,0.145,0.001
192,0.145,0.146,0.001
193,0.146,0.147,0.001
194,0.147,0.148,0.001
195,0.148,0.149,0.001
196,0.149,0.15,0.001
197,0.15,0.151,0.001
198,0.151,0.152,0.001
199,0.152,0.153,0.001
200,0.153,0.154,0.001
201,0.154,0.155,0.001
202,0.155,0.156,0.001
203,0.156,0.157,0.001
204,0.157,0.158,0.001
205,0.158,0.159,0.001
206,0.159,0.16,0.001
207,0.16,0.161,0.001
208,0.161,0.162,0.001
209,0.162,0.163,0.001
210,0.163,0.164,0.001
211,0.164,0.165,0.001
212,0.165,0.166,0.001
213,0.166,0.167,0.001
214,0.167,0.168,0.001
215,0.168,0.169,0.001
216,0.169,0.17,0.001
217,0.17,0.171,0.001
218,0.171,0.172,0.001
219,0.172,0.173,0.001
220,0.173,0.174,0.001
221,0.174,0.175,0.001
222,0.175,0.176,0.001
223,0.176,0.177,0.001
224,0.177,0.178,0.001
225,0.178,0.179,0.001
226,0.179,0.18,0.001
227,0.18,0.181,0.001
228,0.181,0.182,0.001
229,0.182,0.183,0.001
230,0.183,0.184,0.001
231,0.184,0.185,0.001
232,0.185,0.186,0.001
233,0.186,0.187,0.001
234,0.187,0.188,0.001
235,0.188,0.189,0.001
236,0.189,0.19,0.001
237,0.19,0.191,0.001
238,0.191,0.192,0.001
239,0.192,0.193,0.001
240,0.193,0.194,0.001
241,0.194,0.195,0.001
242,0.195,0.196,0.001
243,0.196,0.197,0.001
244,0.197,0.198,0.001
245,0.198,0.199,0.001
246,0.199,0.2,0.001
247,0.2,0.201,0.001
248,0.201,0.202,0.001
249,0.202,0.203,0.001
250,0.203,0.204,0.001
251,0.204,0.205,0.001
252,0.205,0.206,0.001
253,0.206,0.207,0.001
254,0.207,0.208,0.001
255,0.208,0.209,0.001
256,0.209,0.21,0.001
257,0.21,0.211,0.001
258,0.211,0.212,0.001
259,0.212,0.213,0.001
260,0.213,0.214,0.001
261,0.214,0.215,0.001
262,0.215,0.216,0.001
263,0.216,0.217,0.001
264,0.217,0.218,0.001
265,0.218,0.219,0.001
266,0.219,0.22,0.001
267,0.22,0.221,0.001
268,0.221,0.222,0.001
269,0.222,0.223,0.001
270,0.223,0.224,0.001
271,0.224,0.225,0.001
272,0.225,0.226,0.001
273,0.226,0.227,0.001
274,0.227,0.228,0.001
275,0.228,0.229,0.001
276,0.229,0.23,0.001
277,0.23,0.231,0.001
278,0.231,0.232,0.001
279,0.232,0.233,0.001
280,0.233,0.234,0.001
281,0.234,0.235,0.001
282,0.235,0.236,0.001
283,0.236,0.237,0.001
284,0.237,0.238,0.001
285,0.238,0.239,0.001
286,0.239,0.24,0.001
287,0.24,0.241,0.001
288,0.241,0.242,0.001
289,0.242,0.243,0.001
290,0.243,0.244,0.001
291,0.244,0.245,0.001
292,0.245,0.246,0.001
293,0.246,0.247,0.001
294,0.247,0.248,0.001
295,0.248,0.249,0.001
296,0.249,0.25,0.001
297,0.25,0.251,0.001
298,0.251,0.252,0.001
299,0.252,0.253,0.001
300,0.253,0.254,0.001
301,0.254,0.255,0.001
302,0.255,0.256,0.001
303,0.256,0.257,0.001
304,0.257,0.258,0.001
305,0.258,0.259,0.001
306,0.259,0.26,0.001
307,0.26,0.261,0.001
308,0.261,0.262,0.001
309,0.262,0.263,0.001
310,0.263,0.264,0.001
311,0.264,0.265,0.001
312,0.265,0.266,0.001
313,0.266,0.267,0.001
314,0.267,0.268,0.001
315,0.268,0.269,0.001
316,0.269,0.27,0.001
317,0.27,0.271,0.001
318,0.271,0.272,0.001
319,0.272,0.273,0.001
320,0.273,0.274,0.001
321,0.274,0.275,0.001
322,0.275,0.276,0.001
323,0.276,0.277,0.001
324,0.277,0.278,0.001
325,0.278,0.279,0.001
326,0.279,0.28,0.001
327,0.28,0.281,0.001
328,0.281,0.282,0.001
329,0.282,0.283,0.001
330,0.283,0.284,0.001
331,0.284,0.285,0.001
332,0.285,0.286,0.001
333,0.286,0.287,0.001
334,0.287,0.288,0.001
335,0.288,0.289,0.001
336,0.289,0.29,0.001
337,0.29,0.291,0.001
338,0.291,0.292,0.001
339,0.292,0.293,0.001
340,0.293,0.294,0.001
341,0.294,0.295,0.001
342,0.295,0.296,0.001
343,0.296,0.297,0.001
344,0.297,0.298,0.001
345,0.298,0.299,0.001
346,0.299,0.3,0.001
347,0.3,0.301,0.001
348,0.301,0.302,0.001
349,0.302,0.303,0.001
350,0.303,0.304,0.001
351,0.304,0.305,0.001
352,0.305,0.306,0.001
353,0.306,0.307,0.001
354,0.307,0.308,0.001
355,0.308,0.309,0.001
356,0.309,0.31,0.001
357,0.31,0.311,0.001
358,0.311,0.312,0.001
359,0.312,0.313,0.001
360,0.313,0.314,0.001
361,0.314,0.315,0.001
362,0.315,0.316,0.001
363,0.316,0.317,0.001
364,0.317,0.318,0.001
365,0.318,0.319,0.001
366,0.319,0.32,0.001
367,0.32,0.321,0.001
368,0.321,0.322,0.001
369,0.322,0.323,0.001
370,0.323,0.324,0.001
371,0.324,0.325,0.001
372,0.325,0.326,0.001
373,0.326,0.327,0.001
374,0.327,0.328,0.001
375,0.328,0.329,0.001
376,0.329,0.33,0.001
377,0.33,0.331,0.001
378,0.331,0.332,0.001
379,0.332,0.333,0.001
380,0.333,0.334,0.001
381,0.334,0.335,0.001
382,0.335,0.336,0.001
383,0.336,0.337,0.001
384,0.337,0.338,0.001
385,0.338,0.339,0.001
386,0.339,0.34,0.001
387,0.34,0.341,0.001
388,0.341,0.342,0.001
389,0.342,0.343,0.001
390,0.343,0.344,0.001
391,0.344,0.345,0.001
392,0.345,0.346,0.001
393,0.346,0.347,0.001
394,0.347,0.348,0.001
395,0.348,0.349,0.001
396,0.349,0.35,0.001
397,0.35,0.351,0.001
398,0.351,0.352,0.001
399,0.352,0.353,0.001
400,0.353,0.354,0.001
401,0.354,0.355,0.001
402,0.355,0.356,0.001
403,0.356,0.357,0.001
404,0.357,0.358,0.001
405,0.358,0.359,0.001
406,0.359,0.36,0.001
407,0.36,0.361,0.001
408,0.361,0.362,0.001
409,0.362,0.363,0.001
410,0.363,0.364,0.001
411,0.364,0.365,0.001
412,0.365,0.366,0.001
413,0.366,0.367,0.001
414,0.367,0.368,0.001
415,0.368,0.369,0.001
416,0.369,0.37,0.001
417,0.37,0.371,0.001
418,0.371,0.372,0.001
419,0.372,0.373,0.001
420,0.373,0.374,0.001
421,0.374,0.375,0.001
422,0.375,0.376,0.001
423,0.376,0.377,0.001
