node,x,y,active_lower_bound,d_F1,d_lower_bound,bound_error,residual_Kd_minus_f,multiplier_if_active
1,-0.5,-0.5,True,0.000368641332236321,0.00036864133223632093,5.421010862427522e-20,-8.271806125530277e-25,-8.271806125530277e-25
2,-0.4875,-0.5,True,0.00035086221410741297,0.00035086221410741297,0.0,4.963083675318166e-24,4.963083675318166e-24
3,-0.475,-0.5,True,0.0003204043954042067,0.0003204043954042067,0.0,2.481541837659083e-24,2.481541837659083e-24
4,-0.4625,-0.5,True,0.00028047126406817436,0.00028047126406817436,0.0,3.308722450212111e-24,3.308722450212111e-24
5,-0.45,-0.5,True,0.0002307256635959293,0.00023072566359592928,2.710505431213761e-20,-2.0679515313825692e-24,-2.0679515313825692e-24
6,-0.4375,-0.5,True,0.00019137869072657817,0.00019137869072657812,5.421010862427522e-20,9.165555210839039e-10,9.165555210839039e-10
7,-0.425,-0.5,True,0.00013132407318566282,0.00013132407318566284,-2.710505431213761e-20,-1.8611563782443123e-24,-1.8611563782443123e-24
8,-0.4125,-0.5,True,9.296971224648865e-05,9.296971224648863e-05,1.3552527156068805e-20,1.4475660719677984e-24,1.4475660719677984e-24
9,-0.4,-0.5,True,6.495327271787614e-05,6.495327271787614e-05,0.0,1.431559791994932e-10,1.431559791994932e-10
10,-0.3875,-0.5,True,4.181620640199759e-05,4.181620640199759e-05,0.0,-1.550963648536927e-25,-1.550963648536927e-25
11,-0.375,-0.5,True,3.1352191837018283e-05,3.135219183701828e-05,6.776263578034403e-21,8.283426571435254e-11,8.283426571435254e-11
12,-0.3625,-0.5,True,2.5666741828164795e-05,2.5666741828164792e-05,3.3881317890172014e-21,1.809457589959748e-25,1.809457589959748e-25
13,-0.35,-0.5,True,3.220688234487778e-05,3.220688234487778e-05,0.0,1.1634970065014755e-10,1.1634970065014755e-10
14,-0.3375,-0.5,True,4.7070538080622995e-05,4.7070538080622995e-05,0.0,7.23296194307216e-11,7.23296194307216e-11
15,-0.325,-0.5,True,6.91640454095351e-05,6.916404540953513e-05,-2.710505431213761e-20,-6.203854594147708e-25,-6.203854594147708e-25
16,-0.3125,-0.5,True,0.00010838553270897929,0.00010838553270897929,0.0,4.0037804536944977e-10,4.0037804536944977e-10
17,-0.3,-0.5,True,0.00014664247859031787,0.00014664247859031787,0.0,4.1359030627651384e-25,4.1359030627651384e-25
18,-0.2875,-0.5,True,0.00020126701469545097,0.00020126701469545095,2.710505431213761e-20,-6.617444900424222e-24,-6.617444900424222e-24
19,-0.275,-0.5,True,0.00028719375827603987,0.0002871937582760399,-5.421010862427522e-20,1.4382722399120387e-09,1.4382722399120387e-09
20,-0.2625,-0.5,True,0.0003447103898485745,0.00034471038984857456,-5.421010862427522e-20,-9.098986738083304e-24,-9.098986738083304e-24
21,-0.25,-0.5,True,0.00043318750564180954,0.00043318750564180954,0.0,8.271806125530277e-25,8.271806125530277e-25
22,-0.2375,-0.5,True,0.0005373917326390355,0.0005373917326390356,-1.0842021724855044e-19,-3.308722450212111e-24,-3.308722450212111e-24
23,-0.22499999999999998,-0.5,True,0.0006599303369579841,0.0006599303369579841,0.0,2.3171251166091667e-10,2.3171251166091667e-10
24,-0.21250000000000002,-0.5,True,0.000789654989663946,0.0007896549896639458,2.168404344971009e-19,1.9852334701272664e-23,1.9852334701272664e-23
25,-0.2,-0.5,True,0.0009353485160437363,0.0009353485160437363,0.0,-2.6469779601696886e-23,-2.6469779601696886e-23
26,-0.1875,-0.5,True,0.0011356733770969433,0.001135673377096943,2.168404344971009e-19,1.6469742348369793e-09,1.6469742348369793e-09
27,-0.175,-0.5,True,0.001308710760777772,0.001308710760777772,0.0,-6.617444900424222e-24,-6.617444900424222e-24
28,-0.16249999999999998,-0.5,True,0.0015181640582949028,0.0015181640582949028,0.0,1.6543612251060553e-23,1.6543612251060553e-23
29,-0.15000000000000002,-0.5,True,0.0017974831222285176,0.0017974831222285176,0.0,2.640836654461778e-09,2.640836654461778e-09
30,-0.1375,-0.5,True,0.0020102980933806936,0.0020102980933806936,0.0,3.639594695233322e-23,3.639594695233322e-23
31,-0.125,-0.5,True,0.0022885552877488736,0.002288555287748873,4.336808689942018e-19,5.293955920339377e-23,5.293955920339377e-23
