node,x,y,active_lower_bound,d_lower_bound,d_F0,d_F1,d_F2,d_F3,F3_minus_F1,F3_minus_lower_bound
252,-0.4,-0.4625,False,5.9084594772912256e-05,5.909346430688337e-05,5.909346430688337e-05,6.022213541241163e-05,6.0234551911381e-05,1.1410876044976254e-06,1.1499571384687414e-06
330,-0.4375,-0.45,False,0.00017161215546964743,0.00017162300870610981,0.00017162300870610981,0.0001777963907047729,0.00017781352413159875,6.190515425488931e-06,6.201368661951312e-06
411,-0.4375,-0.4375,False,0.00016857652036093585,0.00016859087011269146,0.0001685908701126915,0.00017517593979709525,0.00017519255545795438,6.601685345262895e-06,6.616035097018532e-06
412,-0.425,-0.4375,False,0.00012161603839317127,0.00012162548205262292,0.00012162548205262293,0.00012671834343567291,0.00012673832444272187,5.1128423900989345e-06,5.122286049550592e-06
656,-0.4125,-0.4,False,8.954635241940586e-05,8.955833536104449e-05,8.955833536104449e-05,9.17598992652763e-05,9.177313065890372e-05,2.2147952978592283e-06,2.226778239497858e-06
737,-0.4125,-0.3875,False,8.425898429825575e-05,8.426779436842061e-05,8.426779436842061e-05,8.703171833644918e-05,8.70475091369653e-05,2.779714768544694e-06,2.7885248387095487e-06
2631,-0.025000000000000022,-0.09999999999999998,False,0.011016379758357238,0.01101639295127924,0.011016392951279243,0.01123482610505672,0.011234855038383021,0.00021846208710377818,0.00021847528002578304
2632,-0.012500000000000011,-0.09999999999999998,False,0.013528361148667671,0.013528373249321667,0.013528373249321667,0.013649610082396079,0.013649638753358348,0.00012126550403668106,0.00012127760469067723
2633,0.0,-0.09999999999999998,False,0.015378778953488648,0.015378793862646449,0.015378793862646456,0.015531801549906297,0.015531854071018189,0.00015306020837173306,0.0001530751175295407
2634,0.012499999999999956,-0.09999999999999998,False,0.01693871187563427,0.016938724712704096,0.016938724712704096,0.0170802304860957,0.017080297191813157,0.00014157247910906098,0.00014158531617888825
2635,0.025000000000000022,-0.09999999999999998,False,0.017758281612473614,0.01775829362196346,0.01775829362196346,0.017894845230508993,0.017894907246832632,0.000136613624869171,0.00013662563435901803
2696,-0.22499999999999998,-0.08750000000000002,False,9.28243819877525e-05,9.283315732120796e-05,9.283315732120794e-05,9.416414820063177e-05,9.41751316371793e-05,1.3419743159713674e-06,1.3507496494268094e-06
2711,-0.03749999999999998,-0.08750000000000002,False,0.009414564737169489,0.009414586412502686,0.009414586412502686,0.009560137539138695,0.009560174085422769,0.00014558767292008334,0.00014560934825328005
2712,-0.025000000000000022,-0.08750000000000002,False,0.012106173304701647,0.012106220219592321,0.012106220219592321,0.012303669474336157,0.012303762308266844,0.0001975420886745228,0.0001975890035651965
2713,-0.012500000000000011,-0.08750000000000002,False,0.014818087794732761,0.014818143314908746,0.014818143314908746,0.01503095721501946,0.015031096462371694,0.0002129531474629482,0.00021300866763893263
2715,0.012499999999999956,-0.08750000000000002,False,0.018798453736751188,0.01879851956623628,0.01879851956623628,0.019102707553386167,0.01910298972146271,0.00030447015522643006,0.00030453598471152227
2716,0.025000000000000022,-0.08750000000000002,False,0.01966597595572414,0.019666022595147322,0.01966602259514732,0.019893816438271233,0.019894128096511123,0.00022810550136380392,0.0002281521407869816
2718,0.050000000000000044,-0.08750000000000002,False,0.019260873402019707,0.01926088239933204,0.01926088239933204,0.019381647852897563,0.019383002610056575,0.0001221202107245349,0.00012212920803686758
2791,-0.04999999999999999,-0.07500000000000001,False,0.007190536861054848,0.007190594016797731,0.00719059401679773,0.007362359058271614,0.00736244665779291,0.00017185264099518066,0.00017190979673806228
2792,-0.03749999999999998,-0.07500000000000001,False,0.009978691721687789,0.009978811038670826,0.009978811038670828,0.010240736059451219,0.01024092613117964,0.00026211509250881164,0.00026223440949185023
2794,-0.012500000000000011,-0.07500000000000001,False,0.016699599261236698,0.016699839698273242,0.016699839698273242,0.016980206309813874,0.016980702421552495,0.00028086272327925224,0.00028110316031579666
2795,0.0,-0.07500000000000001,False,0.0195321799062543,0.019532435733046645,0.019532435733046645,0.019876733180267697,0.019877472429006032,0.0003450366959593873,0.0003452925227517313
2796,0.012499999999999956,-0.07500000000000001,False,0.021422367799354587,0.021422569802864097,0.021422569802864097,0.02180405009235042,0.0218049480514574,0.0003823782485933014,0.00038258025210281127
2797,0.025000000000000022,-0.07500000000000001,False,0.02208223238873724,0.02208236306017164,0.022082363060171646,0.022375102078677635,0.022375894567675025,0.00029353150750337925,0.0002936621789377848
2798,0.03749999999999998,-0.07500000000000001,False,0.021711921451566897,0.021711980760106865,0.02171198076010688,0.021917843406169802,0.02191891934422447,0.00020693858411759136,0.0002069978926575733
2799,0.050000000000000044,-0.07500000000000001,False,0.020633824654548896,0.020633840084374133,0.020633840084374126,0.020739969439982096,0.020742406364896316,0.00010856628052218972,0.00010858171034741973
2800,0.0625,-0.07500000000000001,False,0.019248013379587568,0.01924802707373162,0.01924802707373162,0.01933933217920443,0.01934328273254672,9.525565881510212e-05,9.526935295915348e-05
