frame_tag,step,frame_index,top_node_count,top_u2_mean,top_u2_min,top_u2_max,top_rf2_sum
F0_ingested,INGEST_COMPATIBLE_R2,1,81,0.0,0.0,0.0,0.0
F1_equilibrated,CHECKPOINT_EQUILIBRATION_COMPATIBLE_R2_FIXED,10,81,0.003000000026077032,0.003000000026077032,0.003000000026077032,0.3945866402493816
F2_release_first,ACTIVE_SET_R2_RELEASE_HOLD,1,81,0.003000000026077032,0.003000000026077032,0.003000000026077032,0.39458664024938234
F3_release_last,ACTIVE_SET_R2_RELEASE_HOLD,10,81,0.003000000026077032,0.003000000026077032,0.003000000026077032,0.39449617805669307
