metric,value,count_above,percentage_above
count,3930,,
min,6.865544128231704e-05,,
max,0.18701137602329254,,
mean,0.001633144879951595,,
median,0.0006781403499189764,,
p75,0.0015059475845191628,983,25.012722646310433
p90,0.0027496147202327845,393,10.0
p95,0.003980477666482329,197,5.012722646310433
p99,0.014944478580728192,40,1.0178117048346056
