frame_tag,step,frame_index,element,integration_point,odb_integration_point,uel_integration_point,expected_sdv15,odb_sdv15,sdv15_error,expected_sdv16,odb_sdv16,sdv16_error,odb_sdv12,odb_sdv13
F0_ingested,INGEST_TRANSFERRED_STATE,1,7,4,3,4,0.00012010461486833122,0.00012010461486833122,0.0,1.0459716413203822e-05,1.0459716413203822e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,8,1,1,1,8.20361728907096e-05,8.20361728907096e-05,0.0,6.460527583165073e-06,6.460527583165073e-06,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,8,2,2,2,6.723959212587478e-05,6.723959212587478e-05,0.0,5.028571285986219e-06,5.028571285986219e-06,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,8,3,4,3,6.0207894284732545e-05,6.0207894284732545e-05,0.0,4.208857387253623e-06,4.208857387253623e-06,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,8,4,3,4,7.91532093259561e-05,7.91532093259561e-05,0.0,6.050660778315204e-06,6.050660778315204e-06,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,9,1,1,1,5.686157363286017e-05,5.686157363286017e-05,0.0,4.4386091756520215e-06,4.4386091756520215e-06,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,9,2,2,2,4.330488059288969e-05,4.330488059288969e-05,0.0,2.5011182030528635e-06,2.5011182030528635e-06,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,9,3,4,3,4.313919903894552e-05,4.313919903894552e-05,0.0,2.707110675777354e-06,2.707110675777354e-06,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,9,4,3,4,5.055796931212192e-05,5.055796931212192e-05,0.0,3.605994353180927e-06,3.605994353180927e-06,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,10,1,1,1,3.687223555887974e-05,3.687223555887974e-05,0.0,2.3237942829660757e-06,2.3237942829660757e-06,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,10,2,2,2,3.285461553887943e-05,3.285461553887943e-05,0.0,1.9293609916224216e-06,1.9293609916224216e-06,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,10,3,4,3,3.336304903431813e-05,3.336304903431813e-05,0.0,2.004785529107901e-06,2.004785529107901e-06,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,10,4,3,4,3.853183403659046e-05,3.853183403659046e-05,0.0,2.5184674551309258e-06,2.5184674551309258e-06,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,11,1,1,1,2.993246633807848e-05,2.993246633807848e-05,0.0,1.5876003978482735e-06,1.5876003978482735e-06,0.0,0.0,0.0
