element,integration_point,odb_integration_point,uel_integration_point,left,right,sdv15_delta,sdv16_delta
23,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
24,1,1,1,F0_ingested,F1_equilibrated,2.168404344971009e-19,0.0
24,2,2,2,F0_ingested,F1_equilibrated,2.168404344971009e-19,0.0
24,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
24,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
25,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
25,2,2,2,F0_ingested,F1_equilibrated,2.168404344971009e-19,0.0
25,3,4,3,F0_ingested,F1_equilibrated,2.168404344971009e-19,0.0
25,4,3,4,F0_ingested,F1_equilibrated,1.0842021724855044e-19,0.0
26,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
26,2,2,2,F0_ingested,F1_equilibrated,-2.168404344971009e-19,0.0
26,3,4,3,F0_ingested,F1_equilibrated,-2.168404344971009e-19,0.0
26,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
27,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
27,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
27,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
27,4,3,4,F0_ingested,F1_equilibrated,-2.168404344971009e-19,0.0
28,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
28,2,2,2,F0_ingested,F1_equilibrated,2.168404344971009e-19,0.0
28,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
28,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
29,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
29,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
29,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
29,4,3,4,F0_ingested,F1_equilibrated,-2.168404344971009e-19,0.0
30,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
30,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
30,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
30,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
31,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
31,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
31,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
31,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
32,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
32,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
32,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
32,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
33,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
33,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
33,3,4,3,F0_ingested,F1_equilibrated,8.673617379884035e-19,0.0
33,4,3,4,F0_ingested,F1_equilibrated,4.336808689942018e-19,0.0
34,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
34,2,2,2,F0_ingested,F1_equilibrated,4.336808689942018e-19,0.0
34,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
34,4,3,4,F0_ingested,F1_equilibrated,4.336808689942018e-19,0.0
35,1,1,1,F0_ingested,F1_equilibrated,4.336808689942018e-19,0.0
35,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
35,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
35,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
36,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
36,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
36,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
36,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
37,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
37,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
37,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
37,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
38,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
38,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
38,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
38,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
39,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
39,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
39,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
39,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
40,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
40,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
40,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
40,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
41,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
41,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
41,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
41,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
42,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
42,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
42,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
42,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
43,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
43,2,2,2,F0_ingested,F1_equilibrated,8.673617379884035e-19,0.0
43,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
43,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
44,1,1,1,F0_ingested,F1_equilibrated,8.673617379884035e-19,0.0
44,2,2,2,F0_ingested,F1_equilibrated,8.673617379884035e-19,0.0
44,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
44,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
45,1,1,1,F0_ingested,F1_equilibrated,8.673617379884035e-19,0.0
45,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
45,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
45,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
46,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
46,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
46,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
46,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
47,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
47,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
47,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
47,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
48,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
48,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
48,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
48,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
49,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
49,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
49,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
49,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
50,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
50,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
50,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
50,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
51,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
51,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
51,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
