element,integration_point,odb_integration_point,uel_integration_point,left,right,sdv15_delta,sdv16_delta
20,1,1,1,F1_equilibrated,F3_release_last,-3.2415911501654042e-06,0.0
20,2,2,2,F1_equilibrated,F3_release_last,-5.4037921421425865e-06,0.0
20,3,4,3,F1_equilibrated,F3_release_last,-1.5246516927772352e-05,0.0
20,4,3,4,F1_equilibrated,F3_release_last,4.751469883422586e-06,0.0
21,1,1,1,F1_equilibrated,F3_release_last,4.845427718980092e-06,0.0
21,2,2,2,F1_equilibrated,F3_release_last,3.500901810948859e-05,1.346203580254119e-06
21,3,4,3,F1_equilibrated,F3_release_last,1.2197201028000377e-05,0.0
21,4,3,4,F1_equilibrated,F3_release_last,-1.3251439280523455e-05,0.0
22,1,1,1,F1_equilibrated,F3_release_last,3.5183567604484185e-05,0.0
22,2,2,2,F1_equilibrated,F3_release_last,5.496855302739132e-06,0.0
22,3,4,3,F1_equilibrated,F3_release_last,2.3958697310892977e-05,1.2318500211295358e-06
22,4,3,4,F1_equilibrated,F3_release_last,2.216762707792227e-05,0.0
23,1,1,1,F1_equilibrated,F3_release_last,-6.369454167140087e-06,0.0
23,2,2,2,F1_equilibrated,F3_release_last,-9.10210223544069e-06,0.0
23,3,4,3,F1_equilibrated,F3_release_last,-1.5009290187384611e-05,0.0
23,4,3,4,F1_equilibrated,F3_release_last,1.3997172352575322e-05,8.173080504573851e-07
24,1,1,1,F1_equilibrated,F3_release_last,8.406111698040005e-07,0.0
24,2,2,2,F1_equilibrated,F3_release_last,3.073725742633044e-05,1.339079127228487e-06
24,3,4,3,F1_equilibrated,F3_release_last,-9.389695628765149e-07,0.0
24,4,3,4,F1_equilibrated,F3_release_last,-1.9011417351666557e-05,0.0
25,1,1,1,F1_equilibrated,F3_release_last,2.9244440388193028e-05,5.454547232089103e-06
25,2,2,2,F1_equilibrated,F3_release_last,-4.730657862929161e-06,0.0
25,3,4,3,F1_equilibrated,F3_release_last,2.737415557661012e-05,1.6115322974659608e-06
25,4,3,4,F1_equilibrated,F3_release_last,1.1490007243710148e-05,2.2638696653593952e-06
26,1,1,1,F1_equilibrated,F3_release_last,-1.613217534018603e-05,0.0
26,2,2,2,F1_equilibrated,F3_release_last,-1.330660212031415e-05,0.0
26,3,4,3,F1_equilibrated,F3_release_last,-7.660386172556651e-06,0.0
26,4,3,4,F1_equilibrated,F3_release_last,2.2242823125982964e-05,2.776544579384085e-06
27,1,1,1,F1_equilibrated,F3_release_last,-3.4595015316924056e-06,0.0
27,2,2,2,F1_equilibrated,F3_release_last,2.0617704363792453e-05,0.0
27,3,4,3,F1_equilibrated,F3_release_last,-2.073401452151952e-05,0.0
27,4,3,4,F1_equilibrated,F3_release_last,-1.917599511344864e-05,0.0
28,1,1,1,F1_equilibrated,F3_release_last,1.4831776167289383e-05,4.469387102818117e-06
28,2,2,2,F1_equilibrated,F3_release_last,-2.505287952998727e-05,0.0
28,3,4,3,F1_equilibrated,F3_release_last,1.7724051890787452e-05,0.0
28,4,3,4,F1_equilibrated,F3_release_last,-1.0846676726063978e-05,0.0
29,1,1,1,F1_equilibrated,F3_release_last,-3.201973567681037e-05,0.0
29,2,2,2,F1_equilibrated,F3_release_last,-1.11688849416796e-05,0.0
29,3,4,3,F1_equilibrated,F3_release_last,1.4490830762504828e-05,2.13256155033134e-06
29,4,3,4,F1_equilibrated,F3_release_last,2.4513216560566884e-05,3.6573500829747442e-06
30,1,1,1,F1_equilibrated,F3_release_last,1.9048497838496797e-06,0.0
30,2,2,2,F1_equilibrated,F3_release_last,1.6772106563539644e-05,0.0
30,3,4,3,F1_equilibrated,F3_release_last,-3.0960060028601896e-05,0.0
30,4,3,4,F1_equilibrated,F3_release_last,-3.731889010715611e-07,0.0
31,1,1,1,F1_equilibrated,F3_release_last,-2.0568879453377632e-06,3.607206049989199e-06
31,2,2,2,F1_equilibrated,F3_release_last,-6.836591437871633e-05,0.0
31,3,4,3,F1_equilibrated,F3_release_last,-1.7596288831509422e-05,0.0
31,4,3,4,F1_equilibrated,F3_release_last,-3.5574975746123245e-05,0.0
32,1,1,1,F1_equilibrated,F3_release_last,-7.534634435670158e-05,0.0
32,2,2,2,F1_equilibrated,F3_release_last,-2.810820728185639e-05,0.0
32,3,4,3,F1_equilibrated,F3_release_last,2.338481327698004e-05,4.2262592298290325e-06
32,4,3,4,F1_equilibrated,F3_release_last,-1.79806097685975e-06,1.8898934981749515e-06
33,1,1,1,F1_equilibrated,F3_release_last,-8.337390170655955e-06,0.0
33,2,2,2,F1_equilibrated,F3_release_last,-1.5606503905494194e-06,0.0
33,3,4,3,F1_equilibrated,F3_release_last,-4.4029085998478854e-05,0.0
33,4,3,4,F1_equilibrated,F3_release_last,1.2069044226898588e-05,1.2803577282562931e-06
34,1,1,1,F1_equilibrated,F3_release_last,-3.263995266272052e-05,4.051198956086502e-06
34,2,2,2,F1_equilibrated,F3_release_last,-0.00012432692531419084,1.396327189596275e-05
34,3,4,3,F1_equilibrated,F3_release_last,-5.969217423696695e-05,6.335127730171762e-06
34,4,3,4,F1_equilibrated,F3_release_last,-6.32574465337446e-05,0.0
35,1,1,1,F1_equilibrated,F3_release_last,-0.00012754513077604512,0.0
35,2,2,2,F1_equilibrated,F3_release_last,-4.465045895555566e-05,0.0
35,3,4,3,F1_equilibrated,F3_release_last,3.634896016256085e-05,7.710344737927352e-06
35,4,3,4,F1_equilibrated,F3_release_last,-3.300271800172564e-05,2.161847811074744e-06
36,1,1,1,F1_equilibrated,F3_release_last,-1.541374308967284e-05,7.515411238088543e-07
36,2,2,2,F1_equilibrated,F3_release_last,-1.8432221718114872e-05,0.0
36,3,4,3,F1_equilibrated,F3_release_last,-4.872388775346154e-05,0.0
36,4,3,4,F1_equilibrated,F3_release_last,3.213648542351073e-05,5.386123785712873e-06
37,1,1,1,F1_equilibrated,F3_release_last,2.0203063166759037e-05,1.902320451747843e-06
37,2,2,2,F1_equilibrated,F3_release_last,0.00012877510306557628,1.062899616194275e-05
37,3,4,3,F1_equilibrated,F3_release_last,4.47470164522271e-05,1.6203843379717958e-06
37,4,3,4,F1_equilibrated,F3_release_last,-4.534490614818958e-05,0.0
38,1,1,1,F1_equilibrated,F3_release_last,0.00013711453728736372,0.0
38,2,2,2,F1_equilibrated,F3_release_last,5.13262553888498e-05,9.015592716494288e-07
38,3,4,3,F1_equilibrated,F3_release_last,0.00011161329758933598,1.1655489932389481e-05
38,4,3,4,F1_equilibrated,F3_release_last,8.680384038913577e-05,1.9338895757345506e-06
39,1,1,1,F1_equilibrated,F3_release_last,1.2923040160264625e-05,3.67217621833932e-06
39,2,2,2,F1_equilibrated,F3_release_last,-6.208213119715186e-06,0.0
39,3,4,3,F1_equilibrated,F3_release_last,-1.9073389316987162e-05,0.0
39,4,3,4,F1_equilibrated,F3_release_last,8.324357939273538e-05,1.1089671123371112e-05
40,1,1,1,F1_equilibrated,F3_release_last,1.6719759645515003e-05,0.0
40,2,2,2,F1_equilibrated,F3_release_last,9.849139943466159e-05,5.629832167562449e-06
40,3,4,3,F1_equilibrated,F3_release_last,1.3657610356245832e-05,0.0
40,4,3,4,F1_equilibrated,F3_release_last,-3.771889352485215e-05,0.0
41,1,1,1,F1_equilibrated,F3_release_last,0.00011432657839987974,0.0
41,2,2,2,F1_equilibrated,F3_release_last,7.581745209065457e-05,2.7757797894415685e-06
41,3,4,3,F1_equilibrated,F3_release_last,0.0001404416925993926,1.348240023794575e-05
41,4,3,4,F1_equilibrated,F3_release_last,6.139559553129323e-05,0.0
42,1,1,1,F1_equilibrated,F3_release_last,5.374776962975905e-05,7.648624256809838e-06
42,2,2,2,F1_equilibrated,F3_release_last,3.196140214890841e-05,3.4311533938960297e-06
42,3,4,3,F1_equilibrated,F3_release_last,3.6706568122304474e-05,4.106387566986673e-06
42,4,3,4,F1_equilibrated,F3_release_last,0.00013382628764324438,1.6476589146347995e-05
43,1,1,1,F1_equilibrated,F3_release_last,3.922807099921745e-05,1.704587994163717e-06
43,2,2,2,F1_equilibrated,F3_release_last,8.086734698088856e-05,3.866492104137977e-06
43,3,4,3,F1_equilibrated,F3_release_last,3.5155913235005234e-06,0.0
43,4,3,4,F1_equilibrated,F3_release_last,1.789922278290501e-06,0.0
44,1,1,1,F1_equilibrated,F3_release_last,9.43867807253803e-05,1.4322635070167017e-05
44,2,2,2,F1_equilibrated,F3_release_last,8.968328462322355e-05,4.408053238422367e-06
44,3,4,3,F1_equilibrated,F3_release_last,0.00015147113855360373,1.4025063068116785e-05
44,4,3,4,F1_equilibrated,F3_release_last,4.362255234657917e-05,5.169236322783463e-06
45,1,1,1,F1_equilibrated,F3_release_last,8.593606328822015e-05,1.1312716801624e-05
45,2,2,2,F1_equilibrated,F3_release_last,8.040196031594646e-05,8.716368838934956e-06
45,3,4,3,F1_equilibrated,F3_release_last,0.00010077394095822038,1.1396374343036059e-05
45,4,3,4,F1_equilibrated,F3_release_last,0.00016678480697841,2.0268582003496005e-05
46,1,1,1,F1_equilibrated,F3_release_last,8.015317955965481e-05,5.7768500386007945e-06
46,2,2,2,F1_equilibrated,F3_release_last,8.500760086579094e-05,4.289752171536304e-06
46,3,4,3,F1_equilibrated,F3_release_last,1.4419677707272135e-05,0.0
46,4,3,4,F1_equilibrated,F3_release_last,5.9947827615355886e-05,1.7691679742266398e-06
47,1,1,1,F1_equilibrated,F3_release_last,8.667685491594267e-05,1.1655299388811115e-05
47,2,2,2,F1_equilibrated,F3_release_last,8.638292048556394e-05,3.324970672661468e-06
47,3,4,3,F1_equilibrated,F3_release_last,0.00013879615472491696,1.1360412848176733e-05
47,4,3,4,F1_equilibrated,F3_release_last,3.554702328082554e-05,2.4183360896668556e-06
48,1,1,1,F1_equilibrated,F3_release_last,9.405428425931714e-05,1.1734082191424571e-05
48,2,2,2,F1_equilibrated,F3_release_last,0.00011530677428293022,1.2296419649687035e-05
48,3,4,3,F1_equilibrated,F3_release_last,0.0001493212127532846,1.6471323604919986e-05
48,4,3,4,F1_equilibrated,F3_release_last,0.00016928185691356644,1.9937744499528903e-05
49,1,1,1,F1_equilibrated,F3_release_last,0.00011586872976464442,9.868697178140964e-06
49,2,2,2,F1_equilibrated,F3_release_last,9.615153066866271e-05,6.289813545475812e-06
49,3,4,3,F1_equilibrated,F3_release_last,3.5954865145780904e-05,0.0
49,4,3,4,F1_equilibrated,F3_release_last,0.00011359635297983513,8.237116931271546e-06
50,1,1,1,F1_equilibrated,F3_release_last,8.23212257982809e-05,1.0285827073922547e-05
50,2,2,2,F1_equilibrated,F3_release_last,6.425332930420566e-05,6.903113938928982e-07
50,3,4,3,F1_equilibrated,F3_release_last,0.00010681714164965071,7.048890610442983e-06
50,4,3,4,F1_equilibrated,F3_release_last,3.41383809445376e-05,1.5801382479713882e-06
51,1,1,1,F1_equilibrated,F3_release_last,7.36565993209419e-05,9.367266795760757e-06
51,2,2,2,F1_equilibrated,F3_release_last,0.0001174147072580331,1.2765442729121895e-05
51,3,4,3,F1_equilibrated,F3_release_last,0.00016205397802784155,1.7767440996256027e-05
51,4,3,4,F1_equilibrated,F3_release_last,0.00014109202258746727,1.6354896383508543e-05
52,1,1,1,F1_equilibrated,F3_release_last,0.00012389245853638813,1.1822702906602589e-05
52,2,2,2,F1_equilibrated,F3_release_last,9.783189621056544e-05,8.366051641061972e-06
52,3,4,3,F1_equilibrated,F3_release_last,5.596044196778775e-05,3.1727407763904947e-06
