case,physical_elements,layered_elements,walltime_s,cpu_time_s,mem_kb,odb_bytes,wall_per_elem_s,cpu_per_elem_s,mem_kb_per_elem,odb_bytes_per_elem
H0,3930,11790,989,926,691652,88827548,0.25165394402035624,0.2356234096692112,175.99287531806615,22602.42951653944
H1,12064,36192,2786,2728,928364,244467576,0.23093501326259946,0.22612732095490717,76.95324933687003,20264.222148541114
H2-PUB,33852,101556,7958,7843,1802776,660842080,0.23508212217889637,0.2316849816849817,53.254637835283,19521.507739572255
