case,reference,overlap_U_min,overlap_U_max,rel_peak_RF2_vs_ref,rel_peak_U2_vs_ref,abs_peak_RF2_diff_kN,abs_peak_U2_diff_mm,full_overlap_nrmse,prepeak_overlap_nrmse,postpeak_overlap_nrmse,rel_tangent_vs_ref,rel_area_overlap,max_abs_force_diff_kN,U_at_max_abs_force_diff_mm,full_overlap_nrmse_pct,prepeak_overlap_nrmse_pct,postpeak_overlap_nrmse_pct
H0,fig7_lc015_approximate_digitized_publication_reference,0.0,0.00615206,0.05360198213468837,0.09245380926114301,0.03701703625999997,0.0005162398819999999,0.2530300074591112,0.11852521498151912,1.147129485242714,-0.14993552370432053,-0.05241963221272939,0.6984763939552338,0.00615206,25.30300074591112,11.852521498151912,114.71294852427141
H1,fig7_lc015_approximate_digitized_publication_reference,0.0,0.00615206,0.013052072986607002,0.03872657958078424,0.009013641656000049,0.00021623992599999978,0.1842854981361683,0.1208404414510731,0.7203410608349554,-0.15241356075706303,-0.0734803824206831,0.3756258619132569,0.00615206,18.42854981361683,12.08404414510731,72.03410608349554
H2-PUB,fig7_lc015_approximate_digitized_publication_reference,0.0,0.00615206,0.008319197521612006,0.03872657958078424,0.005745161355000028,0.00021623992599999978,0.15569962789217373,0.12132109827873636,0.5126447672782842,-0.15294868942935244,-0.08466366085363664,0.2749978286437831,0.00615206,15.569962789217373,12.132109827873636,51.26447672782842
